,Unnamed: 0,en,cn,ar,pos,cn_split
85,86,Always Use Deadbolt.,始终使用死栓。,,sent,始终 使用 死栓 。
86,87,Am I under arrest?,我被捕了吗？,هل أنا معتقل؟,sent,我 被捕 了 吗 ？
87,88,ambitious,有雄心壮志的,,np,有 雄心壮志 的
88,89,amiable,和蔼可亲的,,np,和蔼可亲 的
89,90,amicable,友好的,,np,友好 的
90,91,Amsterdam,阿姆斯特丹,أمستردام,np,阿姆斯特丹
91,92,"An aisle seat, please.",请给我一个靠走道的座位。,,sent,请 给 我 一个 靠 走 道 的 座位 。
92,93,analytical,善于分析的,,np,善于 分析 的
93,94,ancestor,祖先,,np,祖先
94,95,"And now you want to change the booking, do you?",你想变更一下入住时间吗?,,sent,你 想 变更 一下 入住 时间 吗 ?
95,96,And would you mind opening your laptop?,您介意打开您的手提电脑吗?,,sent,您 介意 打开 您 的 手提电脑 吗 ?
96,97,"And your telephone number, please?",请问你的电话号码是多少?,,sent,请问 你 的 电话号码 是 多少 ?
97,98,Andorra,安道尔,أندورا,np,安道尔
98,99,Angola,安哥拉,أنغولا,np,安哥拉
99,100,Ankara,安卡拉,أنقرة,np,安卡拉
100,101,Antigua,安提瓜,أنتيغوا,np,安提瓜
101,102,Any brothers or sisters?,有兄弟姐妹吗?,,sent,有 兄弟姐妹 吗 ?
102,103,Anything else in your pocket?,口袋里还有其它物品吗？,,sent,口袋 里 还有 其它 物品 吗 ？
103,104,apple,苹果,تفاحة,np,苹果
104,105,apprehensive,有理解力的,,np,有 理解力 的
105,106,April,四月,أبريل,np,四月
106,107,Are there any discount tickets for me?,我买票有折扣吗?,,sent,我 买票 有 折扣 吗 ?
107,108,Are there any restaurants still open near here?,这附近还有在营业的饭店吗?,,sent,这 附近 还有 在 营业 的 饭店 吗 ?
108,109,Are they non-stop flights?,它们是直飞班机吗?,,sent,它们 是 直飞 班机 吗 ?
109,110,Are you here by yourself?,,هل أنت بمفردك؟,sent,nan
110,111,Are you looking for something particular?,您在找什么呢?,,sent,您 在 找 什么 呢 ?
111,112,area of customs control,海关监管区,,np,海关监管 区
112,113,Area Of Customs Control.,海关监管区。,,sent,海关监管 区 。
113,114,Argentina,阿根廷,الأرجنتين,np,阿根廷
114,115,Armenia,亚美尼亚,أرمينيا,np,亚美尼亚
115,116,armrest,座椅扶手,,np,座椅 扶手
116,117,Around the corner.,转角,قريب من هنا,sent,转角
117,118,arrivals,进港,,np,进港
118,119,assistance,问讯处,,np,问讯处
119,120,"At gate * go through the security check and turn left, take the moving staircase at the end of the hall, then you will find it.",*号登机口，在通过安检后左转，走到大厅的尽头乘电梯能到。,,vp,* 号 登机口 ， 在 通过 安检 后 左转 ， 走 到 大厅 的 尽头 乘 电梯 能 到 。
120,121,At what aisle is the frozen food?,冷冻食品在哪条通道?,,sent,冷冻 食品 在 哪条 通道 ?
121,122,Athens,雅典,أثينا,np,雅典
122,123,Attendant Call.,呼叫服务员,,sent,呼叫 服务员
123,124,"Attention, please. Due to weather condition, all flights to * will be delayed.",各位旅客请注意，由于气候不佳，所有飞往*的班机都将延后起飞。,,vp,各位 旅客 请 注意 ， 由于 气候 不佳 ， 所有 飞往 * 的 班机 都 将 延后 起飞 。
124,125,Auckland,奥克兰,أوكلاند,np,奥克兰
125,126,August,八月,أغسطس,np,八月
126,127,aunt,姑母,,np,姑母
127,128,Australia,澳大利亚,أستراليا,np,澳大利亚
128,129,Austria,奥地利,النمسا,np,奥地利
129,130,automatic ticket machine,自动售票机,,np,自动 售票机
130,131,autonomous region,自治区,,np,自治区
131,132,avenue,大道,سبيل,np,大道
132,133,Azerbaijan,阿塞拜疆,أذربيجان,np,阿塞拜疆
133,134,bachelor,学士,,np,学士
134,135,back,背,ظهر,np,背
135,136,baggage,行李,,np,行李
136,137,Baggage Claim,行李提取,,sent,行李 提取
137,138,baggage claim area,行李领取处,,np,行李 领取 处
138,139,Baggage Rack,行李架,,sent,行李架
139,140,baggage tag,行李牌,,np,行李牌
140,141,Bahamas,巴哈马,الباهاما,np,巴哈马
141,142,Bahrain,巴林,البحرين,np,巴林
142,143,bakery,面包店,,np,面包店
143,144,Bali,巴厘岛,بالي,np,巴厘岛
144,145,banana latte,香蕉咖啡拿铁,,np,香蕉 咖啡 拿 铁
145,146,banana mocha,香蕉摩卡咖啡,,np,香蕉 摩卡 咖啡
146,147,Bangalore,班加罗尔,بنغالور,np,班加罗尔
147,148,Bangkok,曼谷,بانكوك,np,曼谷
148,149,Bangladesh,孟加拉国,بنغلاديش,np,孟加拉国
149,150,bank,银行,,np,银行
150,151,bar,酒巴,,np,酒巴
151,152,Barbados,巴巴多斯,بربادوس,np,巴巴多斯
152,153,Barcelona,巴塞罗那,برشلونة,np,巴塞罗那
153,154,bars,酒吧,مشرب,np,酒吧
154,155,basket,篮子,,np,篮子
155,156,bathroom,卫生间,‏حمام,np,卫生间
156,157,batteries,电池,بطارية,np,电池
157,158,Be Careful When Using The Bath.,使用此浴室时小心。,,sent,使用 此 浴室 时 小心 。
158,159,Be Careful.,小心路滑。,,sent,小心 路滑 。
159,160,"Be seated, please.",请坐。,,sent,请 坐 。
160,161,beans,豆,فول,np,豆
161,162,bedsheets,床单,ملاءات السرير,np,床单
162,163,beef,牛肉,لحم بقري,np,牛肉
163,164,beer,啤酒,بيرة,np,啤酒
164,165,beer glass,啤酒杯,,np,啤酒杯
165,166,before,以前,قبل,adv,以前
166,167,Beijing,北京,بكين,np,北京
167,168,Beirut,贝鲁特,بيروت,np,贝鲁特
168,169,Belarus,白俄罗斯,روسيا البيضاء,np,白俄罗斯
169,170,Belfast,贝尔法斯特,بلفاست,np,贝尔法斯特
170,171,Belgium,比利时,بلجيكا,np,比利时
171,172,Belgrade,贝尔格莱德,بلغراد,np,贝尔格莱德
172,173,Belize,伯利兹,بليز,np,伯利兹
173,174,belt,带,,np,带
174,175,Benin,贝宁,بنين,np,贝宁
175,176,Berlin,柏林,البرلينية,np,柏林
176,177,beware of pickpocket,谨防扒手,,np,谨防扒手
177,178,Bhopal,博帕尔,بوبال,np,博帕尔
178,179,Bhutan,不丹,بوتان,np,不丹
179,180,bigger,更大,أكبر,adj,更大
180,181,bike parking,自行车存车处,,np,自行车 存车处
181,182,billion,十亿,مليار‎,num,十亿
182,183,Birmingham,伯明翰,برمنغهام,np,伯明翰
183,184,birthdate,出生日期,,np,出生日期
184,185,birthday,生日,عيد الميلاد,np,生日
185,186,birthplace,出生地点,مسقط الرأس,np,出生地点
186,187,black,黑色,أسود,adj,黑色
187,188,"Black coffee, please.",请来杯黑咖啡。,,sent,请来 杯 黑 咖啡 。
188,189,black pepper,黑胡椒,فلفل أسود,np,黑胡椒
189,190,black tea,红茶,شاي أسود,np,红茶
190,191,blackberry latte,黑莓咖啡拿铁,,np,黑莓 咖啡 拿 铁
191,192,blanket,毛毯,,np,毛毯
192,193,bloodtype,血型,,np,血型
193,194,blue,蓝色,أزرق,adj,蓝色
194,195,boarder,寄宿生,,np,寄宿生
195,196,boarding,登机,,np,登机
196,197,boarding gate,登机口,,np,登机口
197,198,Boarding Gate.,登机口。,,sent,登机口 。
198,199,boarding pass,登机牌,,np,登机牌
199,200,"Boarding passes and IDs, please!",请出示登记证和身份证!,,sent,请 出示 登记证 和 身份证 !
200,201,Boarding time is *.,登机时间是*。,,vp,登机 时间 是 * 。
201,202,body,身体,الجسم,np,身体
202,203,boeing,波音,,np,波音
203,204,Bogota,波哥大,بوغوتا,np,波哥大
204,205,boiled water,开水,ماء مغلي,np,开水
205,206,Bolivia,玻利维亚,بوليفيا,np,玻利维亚
206,207,Bordeaux,波尔多,بوردو,np,波尔多
207,208,born,生于,,np,生于
208,209,Bosnia Herzegovina,波黑,البوسنة الهرسك,np,波黑
209,210,Both flights have seats available.,两次航班都有座。,,sent,两次 航班 都 有 座 。
210,211,Botswana,博茨瓦纳,بوتسوانا,np,博茨瓦纳
211,212,bottled water,矿泉水,مياه معبأة,np,矿泉水
212,213,Bottoms up!,干杯!,,sent,干杯 !
213,214,Brasilia,巴西利亚,برازيليا,np,巴西利亚
214,215,Bratislava,布拉迪斯拉发,براتيسلافا,np,布拉迪斯拉发
215,216,Brazil,巴西,البرازيل,np,巴西
216,217,bread,面包,خبز,np,面包
217,218,bread plate,面包碟,,np,面包 碟
218,219,breakfast,早饭,وجبة افطار,np,早饭
219,220,Brighton,布莱顿,برايتون,np,布莱顿
220,221,Brisbane,布里斯班,بريسبان,np,布里斯班
221,222,Bristol,布里斯托尔,بريستول,np,布里斯托尔
222,223,brother,兄弟,,np,兄弟
223,224,brother-in-law,大伯,,np,大伯
224,225,brown,褐色,بني,adj,褐色
225,226,brown sugar,红糖,,np,红糖
226,227,Brunei,文莱,بروناي,np,文莱
227,228,Brussels,布鲁塞尔,بروكسل,np,布鲁塞尔
228,229,Bucharest,布加勒斯特,بوخارست,np,布加勒斯特
229,230,Budapest,布达佩斯,بودابست,np,布达佩斯
230,231,Buenos Aires,布宜诺斯艾利斯,بوينس آيرس،,np,布宜诺斯艾利斯
231,232,Bulgaria,保加利亚,بلغاريا,np,保加利亚
232,233,bumpy flight,不平稳的飞行,,np,不 平稳 的 飞行
233,234,Burkina,布基纳法索,فاسو,np,布基纳法索
234,235,Burundi,布隆迪,بوروندي,np,布隆迪
235,236,bus,公共汽车,,np,公共汽车
236,237,bus station,公家车站,محطة حافلات,np,公家 车站
237,238,Busan,釜山,بوسان,np,釜山
238,239,business class,商务客舱,,np,商务 客舱
239,240,Business class.,公务舱。,,sent,公务舱 。
240,241,business hours,营业时间,,np,营业时间
241,242,business phone,办公电话,,np,办公 电话
242,243,butter,黄油,زبدة,np,黄油
243,244,butter knife,牛油刀,,np,牛油 刀
244,245,butter plate,牛油碟,,np,牛油 碟
245,246,buttocks,屁股,مؤخرة,np,屁股
246,247,Bye,拜拜。,باي باي,sent,拜拜 。
247,248,cafe,咖啡室,مقهى,np,咖啡室
248,249,cafe americano,美式咖啡,,np,美式 咖啡
249,250,cafe latte,拿铁咖啡,,np,拿 铁 咖啡
250,251,Cairo,开罗,القاهرة,np,开罗
251,252,cake knife,柄铲,,np,柄 铲
252,253,Calgary,卡尔加里,كالجاري,np,卡尔加里
253,254,Cali,卡利,كالي,np,卡利
254,255,Cambodia,柬埔寨,كمبوديا,np,柬埔寨
255,256,Cameroon,喀麦隆,الكاميرون,np,喀麦隆
256,257,Can anyone tell me where I can buy the ingredients to make * food?,谁能告诉我哪里可以买到做*菜的原材料?,,vp,谁 能 告诉 我 哪里 可以 买到 做 * 菜 的 原材料 ?
257,258,Can I cancel my reservation?,我能取消我的预定吗?,,sent,我能 取消 我 的 预定 吗 ?
258,259,Can I change seats with you?,我可以跟你换位子吗?,,sent,我 可以 跟 你 换 位子 吗 ?
259,260,Can I get a bag?,我可以要一个袋子吗？,هل استطيع الحصول على حقيبة؟,sent,我 可以 要 一个 袋子 吗 ？
260,261,Can I get insurance?,我可以买保险吗？,هل أستطيع الحصول على تأمين؟,sent,我 可以 买 保险 吗 ？
261,262,Can I get on the earlier flight instead?,我可以换成早一点的航班吗?,,sent,我 可以 换成 早 一点 的 航班 吗 ?
262,263,"Can I have a one-way ticket to *, please?",请给我一张去*的单程票好吗?,,vp,请 给 我 一张 去 * 的 单程票 好 吗 ?
263,264,Can I have another blank?,我能再要条毯子吗?,,sent,我能 再 要 条 毯子 吗 ?
264,265,Can I just pay a fine now?,我可以缴交罚款吗？,هل استطيع دفع غرامة أدفع غرامة الآن؟,sent,我 可以 缴交 罚款 吗 ？
265,266,"Can I look at the menu, please?",请给我看看菜单.,قائمة الطعام، من فضلك؟,sent,请 给 我 看看 菜单 .
266,267,Can I make a telephone call?,我可以打个电话吗？,هل يمكنني الحصول على مكالمة هاتفية؟,sent,我 可以 打个 电话 吗 ？
267,268,Can I make an appointment?,我可以预约吗？,هل يمكنني حجز موعد؟,sent,我 可以 预约 吗 ？
268,269,Can I make international calls here?,可以打国际电话吗?,هل استطيع القيام بمكالمة دولية من هنا؟,sent,可以 打 国际 电话 吗 ?
269,270,Can I move to an empty seat over there?,我可以移到那边的空座位吗?,,sent,我 可以 移 到 那边 的 空座位 吗 ?
270,271,Can I print here?,我可以复印吗？,هل يمكنني الطبع من هنا؟,sent,我 可以 复印 吗 ？
271,272,"Can I see your ticket, please?",我可以看看你的票吗?,,sent,我 可以 看看 你 的 票 吗 ?
272,273,Can I take one of those empty saets over there?,我可以坐在那边其中的一个空座吗?,,sent,我 可以 坐在 那边 其中 的 一个 空座 吗 ?
273,274,Can I use your cell phone?,我可以用您的手机吗？,أيمكنني إستخدام هاتفك؟,sent,我 可以 用 您 的 手机 吗 ？
274,275,Can I use your phone?,我可以用您的电话吗？,أيمكنني استخدام هاتفك النقال؟,sent,我 可以 用 您 的 电话 吗 ？
275,276,Can we have a quiet area?,我可以要一个安静的地方吗?,,sent,我 可以 要 一个 安静 的 地方 吗 ?
276,277,Can you change money for me?,你可以帮我换钱吗？,هل يمكنك تحويل مال لي؟,sent,你 可以 帮 我 换钱 吗 ？
277,278,"Can you change the reservation, please?",我能更改一下订票的班机吗?,,sent,我能 更改 一下 订票 的 班机 吗 ?
278,279,Can you come here when you have a second?,你有空时能到这里来一下吗?,,sent,你 有空时 能 到 这里 来 一下 吗 ?
279,280,Can you get a doctor?,你可以帮我找一位医生吗？,هل يمكنك أن تحضر طبيب؟,sent,你 可以 帮 我 找 一位 医生 吗 ？
280,281,Can you give me your contact information?,你能给我你的联系方式吗?,,sent,你 能 给 我 你 的 联系方式 吗 ?
281,282,Can you help me find my seat?,你能帮我找到我的座位吗?,,sent,你 能 帮 我 找到 我 的 座位 吗 ?
282,283,Can you help me get my baggage? It's too heavy.,你能帮我拿行李吗? 实在太重了。,,sent,你 能 帮 我 拿 行李 吗 ?   实在 太重 了 。
283,284,Can you show me on the map?,你可以在地图上指给我看?,هل يمكنك أن تريني أين هو على الخريطة؟,sent,你 可以 在 地图 上 指 给 我 看 ?
284,285,Can you show me the way to my seat?,你能指给我的座位吗?,,sent,你 能 指 给 我 的 座位 吗 ?
285,286,Can you speak *?,你可以说*吗？,عل يمكنك تحدث ال*؟,vp,你 可以 说 * 吗 ？
286,287,Can you suggest another hotel?,你有其他推荐的酒店吗？,هل يمكنك اقتراح فندق آخر؟,sent,你 有 其他 推荐 的 酒店 吗 ？
287,288,Can you tell me how to fasten the seat belt?,您能告诉我怎么系安全带吗?,,sent,您 能 告诉 我 怎么 系 安全带 吗 ?
288,289,Can you tell me how to unfasten the seat belt?,您能告诉我安全带怎么解开吗?,,sent,您 能 告诉 我 安全带 怎么 解开 吗 ?
289,290,Can you tell me where * is?,你可以告诉我*在那里吗？,اين *؟,vp,你 可以 告诉 我 * 在 那里 吗 ？
290,291,Can you tell me where seat * is?,你能告诉我*座位在哪儿吗?,,vp,你 能 告诉 我 * 座位 在 哪儿 吗 ?
291,292,Can you tell me your flight number?,能告诉我你乘坐的航班号吗?,,sent,能 告诉 我 你 乘坐 的 航班号 吗 ?
292,293,Can you wake me at *?,请在明天*点钟叫醒我。,هل تستطيع إيقاظي الساعة *؟,vp,请 在 明天 * 点钟 叫醒 我 。
293,294,Can you write the name and address down?,你可以写下名字和地址吗？,هل يمكنك أن تكتب لي الإسم و العنوان؟,sent,你 可以 写下 名字 和 地址 吗 ？
294,295,Canada,加拿大,كندا,np,加拿大
295,296,Canberra,堪培拉,كانبيرا,np,堪培拉
296,297,candid,正直的,,np,正直 的
297,298,Cape Town,开普敦,كيب تاون,np,开普敦
298,299,Cape Verde,佛得角,الرأس الأخضر,np,佛得角
299,300,cappuccino,意大利泡沫咖啡,,np,意大利 泡沫 咖啡
300,301,captain,机长,,np,机长
301,302,Captain and all the members of his crew thank you for flying with us.,机长和所有组员感谢各位旅客搭乘本班机。,,sent,机长 和 所有 组员 感谢 各位 旅客 搭乘 本 班机 。
302,303,captain orde,点菜本,,np,点菜 本
303,304,car,汽车,سيارة,np,汽车
304,305,car hire,租车处,,np,租车 处
305,306,carbonated water,碳酸水,مياه غازية,np,碳酸水
306,307,Cardiff,加的夫,كارديف,np,加的夫
307,308,carrier,承运公司,,np,承运公司
308,309,carry-on baggage,随身行李,,np,随身行李
309,310,Casablanca,卡萨布兰卡,الدار البيضاء,np,卡萨布兰卡
310,311,cash,现金,أوراق مالية,np,现金
311,312,Caution：Slippery!,注意：滑!,,sent,注意 ： 滑 !
312,313,cellphone,手机,,np,手机
313,314,Central African Republic,中非共和国,ممثل وسط افريقيا,np,中非共和国
314,315,Chad,乍得,تشاد,np,乍得
315,316,cheap,便宜,رخيص,adj,便宜
316,317,cheaper,比较便宜,أرخص,adj,比较 便宜
317,318,check,支票,شيك,np,支票
318,319,check in area,办理登机区,,np,办理 登机 区
319,320,Check in area.,办理登机区。,,sent,办理 登机 区 。
320,321,Check in zone.,办理登机区。,,sent,办理 登机 区 。
321,322,Check In.,办理入住。,,sent,办理 入住 。
322,323,Check Out.,办理离店手续。,,sent,办理 离店 手续 。
323,324,check-in,登机手续办理,,np,登机 手续 办理
324,325,Check-in all destinations.,办理飞往世界各地登机手续。,,sent,办理 飞往 世界各地 登机 手续 。
325,326,checked baggage,托运的行李,,np,托运 的 行李
326,327,"Checking is done, thank you for your corporation.",检查完毕，谢谢合作。,,sent,检查 完毕 ， 谢谢合作 。
327,328,Cheers!,干杯!,,sent,干杯 !
328,329,cheese,奶酪,جبنة,np,奶酪
329,330,cheese powder,芝士粉,,np,芝士 粉
330,331,Chengdu,成都,تشنغدو,np,成都
331,332,Chennai,奈,تشيناي,np,奈
332,333,cherry latte,樱桃咖啡拿铁,,np,樱桃 咖啡 拿 铁
333,334,cherry mocha,樱桃摩卡咖啡,,np,樱桃 摩卡 咖啡
334,335,chest,胸部,صدر,np,胸部
335,336,chewing gum,口香糖,,np,口香糖
336,337,chicken,鸡,دجاج,np,鸡
337,338,child,孩子,,np,孩子
338,339,children and women first,妇女、儿童优先,,np,妇女 、 儿童 优先
339,340,Chile,智利,تشيلي,np,智利
340,341,chili sauce,辣椒酱,,np,辣椒酱
341,342,China,中国,الصين,np,中国
342,343,chocolate coffee,巧克力咖啡,,np,巧克力 咖啡
343,344,Chongqing,渝,تشونغتشينغ,np,渝
344,345,Christchurch,克赖斯特彻奇,كرايستشيرش,np,克赖斯特彻奇
345,346,cigarette,香烟,,np,香烟
346,347,circling,盘旋,,np,盘旋
347,348,citizenship,国籍,,np,国籍
348,349,city,市,,np,市
349,350,city and state,城市及国家,,np,城市 及 国家
350,351,city where visa was issued,签证签发地,,np,签证 签发 地
351,352,city where you boarded,登机城市,,np,登机 城市
352,353,cleaner,清洁工,أنظف,np,清洁工
353,354,clerk,办事员,,np,办事员
354,355,closed,关闭,مغلق,adj,关闭
355,356,Closing.,登机口关闭。,,sent,登机口 关闭 。
356,357,club soda,苏打水,صودا,np,苏打水
357,358,coachpick-up point,大轿车乘车点,,np,大轿车 乘车 点
358,359,coaste,杯垫,,np,杯 垫
359,360,coconut mocha,椰子摩卡咖啡,,np,椰子 摩卡 咖啡
360,361,coffee,咖啡,قهوة,np,咖啡
361,362,coffee cup,咖啡杯,,np,咖啡杯
362,363,coffee pot,咖啡壶,,np,咖啡壶
363,364,coffee warmer,咖啡炉,,np,咖啡 炉
364,365,coin,硬币,,np,硬币
365,366,cointreau coffee,君度咖啡,,np,君度 咖啡
366,367,Coke,可乐,الكولا,np,可乐
367,368,cold medicine,感冒药,دواء للزكام,np,感冒药
368,369,Cologne,科隆,كولونيا,np,科隆
369,370,Colombia,哥伦比亚,كولومبيا,np,哥伦比亚
370,371,colombian coffee,哥伦比亚咖啡,,np,哥伦比亚 咖啡
371,372,Come this way please.,来这边请。,,sent,来 这边 请 。
372,373,"Come to pay the fare and fetch your ticket * days before departure, please.",请于起飞前*天来付款取票。,,vp,请 于 起飞前 * 天来 付款 取票 。
373,374,commerce,商业人员,,np,商业 人员
374,375,commit no nuisance,禁止小便,,np,禁止 小便
375,376,commoner,自费生,,np,自费生
376,377,Comoros,科摩罗,جزر القمر,np,科摩罗
377,378,complaint box,意见箱,,np,意见箱
378,379,concord,协和,,np,协和
379,380,condiments,调料,,np,调料
380,381,Conference Facilities.,会议设施。,,sent,会议 设施 。
381,382,confiscated,没收,,np,没收
382,383,Congo,刚果,الكونغو,np,刚果
383,384,control tower,机场控制台,,np,机场 控制台
384,385,conveyor,输送带,,np,输送带
385,386,cooperative,有合作精神的,,np,有 合作 精神 的
386,387,Copenhagen,哥本哈根,كوبنهاغن,np,哥本哈根
387,388,Costa Rica,哥斯达黎加,كوستا ريكا,np,哥斯达黎加
388,389,cough,咳嗽,سعال,np,咳嗽
389,390,Could I ask when you will arrive?,请问您什么时候到达?,,sent,请问 您 什么 时候 到达 ?
390,391,Could I talk to someone in charge?,我能跟主管谈谈吗?,,sent,我能 跟 主管 谈谈 吗 ?
391,392,Could we have another one?,我们能换个其他的吗?,,sent,我们 能换个 其他 的 吗 ?
392,393,Could you describe your baggage?,你能描述一下你的行李吗?,,sent,你 能 描述 一下 你 的 行李 吗 ?
393,394,Could you get a few small plates for us?,能给我们拿些小盘吗?,,sent,能 给 我们 拿些 小盘 吗 ?
394,395,"Could you get me on that flight, please?",能设法让我搭上那班飞机吗?,,sent,能 设法 让 我 搭 上 那班 飞机 吗 ?
395,396,Could you give me a window seat?,可以给我靠窗的座位吗?,,sent,可以 给 我 靠窗 的 座位 吗 ?
396,397,Could you give me more paper napkins?,你能多给一些餐巾纸吗?,,sent,你 能 多 给 一些 餐巾纸 吗 ?
397,398,Could you give me one more blanket?,能再给我一条毯子吗?,,sent,能 再 给 我 一条 毯子 吗 ?
398,399,Could you give me some airsickness medicine?,能给我些晕机药吗?,,sent,能 给 我些 晕机 药 吗 ?
399,400,"Could you hold the line, please? I'll check our room availability for that day.",请别挂断? 我要查一下那天的空房间。,,sent,请别 挂断 ?   我 要查 一下 那天 的 空房间 。
