,Unnamed: 0,en,cn,ar,pos
230,231,Buenos Aires,布宜诺斯艾利斯,بوينس آيرس،,np
231,232,Bulgaria,保加利亚,بلغاريا,np
232,233,bumpy flight,不 平稳 的 飞行,,np
233,234,Burkina,布基纳法索,فاسو,np
234,235,Burundi,布隆迪,بوروندي,np
235,236,bus,公共汽车,,np
236,237,bus station,公家 车站,محطة حافلات,np
237,238,Busan,釜山,بوسان,np
238,239,business class,商务 客舱,,np
239,240,Business class.,公务舱 。,,sent
240,241,business hours,营业时间,,np
241,242,business phone,办公 电话,,np
242,243,butter,黄油,زبدة,np
243,244,butter knife,牛油 刀,,np
244,245,butter plate,牛油 碟,,np
245,246,buttocks,屁股,مؤخرة,np
246,247,Bye,拜拜 。,باي باي,sent
247,248,cafe,咖啡室,مقهى,np
248,249,cafe americano,美式 咖啡,,np
249,250,cafe latte,拿 铁 咖啡,,np
250,251,Cairo,开罗,القاهرة,np
251,252,cake knife,柄 铲,,np
252,253,Calgary,卡尔加里,كالجاري,np
253,254,Cali,卡利,كالي,np
254,255,Cambodia,柬埔寨,كمبوديا,np
255,256,Cameroon,喀麦隆,الكاميرون,np
256,257,Can anyone tell me where I can buy the ingredients to make * food?,谁 能 告诉 我 哪里 可以 买到 做 * 菜 的 原材料 ?,,vp
257,258,Can I cancel my reservation?,我能 取消 我 的 预定 吗 ?,,sent
258,259,Can I change seats with you?,我 可以 跟 你 换 位子 吗 ?,,sent
259,260,Can I get a bag?,我 可以 要 一个 袋子 吗 ？,هل استطيع الحصول على حقيبة؟,sent
260,261,Can I get insurance?,我 可以 买 保险 吗 ？,هل أستطيع الحصول على تأمين؟,sent
261,262,Can I get on the earlier flight instead?,我 可以 换成 早 一点 的 航班 吗 ?,,sent
262,263,"Can I have a one-way ticket to *, please?",请 给 我 一张 去 * 的 单程票 好 吗 ?,,vp
263,264,Can I have another blank?,我能 再 要 条 毯子 吗 ?,,sent
264,265,Can I just pay a fine now?,我 可以 缴交 罚款 吗 ？,هل استطيع دفع غرامة أدفع غرامة الآن؟,sent
265,266,"Can I look at the menu, please?",请 给 我 看看 菜单 .,قائمة الطعام، من فضلك؟,sent
266,267,Can I make a telephone call?,我 可以 打个 电话 吗 ？,هل يمكنني الحصول على مكالمة هاتفية؟,sent
267,268,Can I make an appointment?,我 可以 预约 吗 ？,هل يمكنني حجز موعد؟,sent
268,269,Can I make international calls here?,可以 打 国际 电话 吗 ?,هل استطيع القيام بمكالمة دولية من هنا؟,sent
269,270,Can I move to an empty seat over there?,我 可以 移 到 那边 的 空座位 吗 ?,,sent
270,271,Can I print here?,我 可以 复印 吗 ？,هل يمكنني الطبع من هنا؟,sent
271,272,"Can I see your ticket, please?",我 可以 看看 你 的 票 吗 ?,,sent
272,273,Can I take one of those empty saets over there?,我 可以 坐在 那边 其中 的 一个 空座 吗 ?,,sent
273,274,Can I use your cell phone?,我 可以 用 您 的 手机 吗 ？,أيمكنني إستخدام هاتفك؟,sent
274,275,Can I use your phone?,我 可以 用 您 的 电话 吗 ？,أيمكنني استخدام هاتفك النقال؟,sent
275,276,Can we have a quiet area?,我 可以 要 一个 安静 的 地方 吗 ?,,sent
276,277,Can you change money for me?,你 可以 帮 我 换钱 吗 ？,هل يمكنك تحويل مال لي؟,sent
277,278,"Can you change the reservation, please?",我能 更改 一下 订票 的 班机 吗 ?,,sent
278,279,Can you come here when you have a second?,你 有空时 能 到 这里 来 一下 吗 ?,,sent
279,280,Can you get a doctor?,你 可以 帮 我 找 一位 医生 吗 ？,هل يمكنك أن تحضر طبيب؟,sent
280,281,Can you give me your contact information?,你 能 给 我 你 的 联系方式 吗 ?,,sent
281,282,Can you help me find my seat?,你 能 帮 我 找到 我 的 座位 吗 ?,,sent
282,283,Can you help me get my baggage? It's too heavy.,你 能 帮 我 拿 行李 吗 ?   实在 太重 了 。,,sent
283,284,Can you show me on the map?,你 可以 在 地图 上 指 给 我 看 ?,هل يمكنك أن تريني أين هو على الخريطة؟,sent
284,285,Can you show me the way to my seat?,你 能 指 给 我 的 座位 吗 ?,,sent
285,286,Can you speak *?,你 可以 说 * 吗 ？,عل يمكنك تحدث ال*؟,vp
286,287,Can you suggest another hotel?,你 有 其他 推荐 的 酒店 吗 ？,هل يمكنك اقتراح فندق آخر؟,sent
287,288,Can you tell me how to fasten the seat belt?,您 能 告诉 我 怎么 系 安全带 吗 ?,,sent
288,289,Can you tell me how to unfasten the seat belt?,您 能 告诉 我 安全带 怎么 解开 吗 ?,,sent
289,290,Can you tell me where * is?,你 可以 告诉 我 * 在 那里 吗 ？,اين *؟,vp
290,291,Can you tell me where seat * is?,你 能 告诉 我 * 座位 在 哪儿 吗 ?,,vp
291,292,Can you tell me your flight number?,能 告诉 我 你 乘坐 的 航班号 吗 ?,,sent
292,293,Can you wake me at *?,请 在 明天 * 点钟 叫醒 我 。,هل تستطيع إيقاظي الساعة *؟,vp
293,294,Can you write the name and address down?,你 可以 写下 名字 和 地址 吗 ？,هل يمكنك أن تكتب لي الإسم و العنوان؟,sent
294,295,Canada,加拿大,كندا,np
295,296,Canberra,堪培拉,كانبيرا,np
296,297,candid,正直 的,,np
297,298,Cape Town,开普敦,كيب تاون,np
298,299,Cape Verde,佛得角,الرأس الأخضر,np
299,300,cappuccino,意大利 泡沫 咖啡,,np
300,301,captain,机长,,np
301,302,Captain and all the members of his crew thank you for flying with us.,机长 和 所有 组员 感谢 各位 旅客 搭乘 本 班机 。,,sent
302,303,captain orde,点菜 本,,np
303,304,car,汽车,سيارة,np
304,305,car hire,租车 处,,np
305,306,carbonated water,碳酸水,مياه غازية,np
306,307,Cardiff,加的夫,كارديف,np
307,308,carrier,承运公司,,np
308,309,carry-on baggage,随身行李,,np
309,310,Casablanca,卡萨布兰卡,الدار البيضاء,np
310,311,cash,现金,أوراق مالية,np
311,312,Caution：Slippery!,注意 ： 滑 !,,sent
312,313,cellphone,手机,,np
313,314,Central African Republic,中非共和国,ممثل وسط افريقيا,np
314,315,Chad,乍得,تشاد,np
315,316,cheap,便宜,رخيص,adj
316,317,cheaper,比较 便宜,أرخص,adj
317,318,check,支票,شيك,np
318,319,check in area,办理 登机 区,,np
319,320,Check in area.,办理 登机 区 。,,sent
320,321,Check in zone.,办理 登机 区 。,,sent
321,322,Check In.,办理 入住 。,,sent
322,323,Check Out.,办理 离店 手续 。,,sent
323,324,check-in,登机 手续 办理,,np
324,325,Check-in all destinations.,办理 飞往 世界各地 登机 手续 。,,sent
325,326,checked baggage,托运 的 行李,,np
326,327,"Checking is done, thank you for your corporation.",检查 完毕 ， 谢谢合作 。,,sent
327,328,Cheers!,干杯 !,,sent
328,329,cheese,奶酪,جبنة,np
329,330,cheese powder,芝士 粉,,np
330,331,Chengdu,成都,تشنغدو,np
331,332,Chennai,奈,تشيناي,np
332,333,cherry latte,樱桃 咖啡 拿 铁,,np
333,334,cherry mocha,樱桃 摩卡 咖啡,,np
334,335,chest,胸部,صدر,np
335,336,chewing gum,口香糖,,np
336,337,chicken,鸡,دجاج,np
337,338,child,孩子,,np
338,339,children and women first,妇女 、 儿童 优先,,np
339,340,Chile,智利,تشيلي,np
340,341,chili sauce,辣椒酱,,np
341,342,China,中国,الصين,np
342,343,chocolate coffee,巧克力 咖啡,,np
343,344,Chongqing,渝,تشونغتشينغ,np
344,345,Christchurch,克赖斯特彻奇,كرايستشيرش,np
345,346,cigarette,香烟,,np
346,347,circling,盘旋,,np
347,348,citizenship,国籍,,np
348,349,city,市,,np
349,350,city and state,城市 及 国家,,np
350,351,city where visa was issued,签证 签发 地,,np
351,352,city where you boarded,登机 城市,,np
352,353,cleaner,清洁工,أنظف,np
353,354,clerk,办事员,,np
354,355,closed,关闭,مغلق,adj
355,356,Closing.,登机口 关闭 。,,sent
356,357,club soda,苏打水,صودا,np
357,358,coachpick-up point,大轿车 乘车 点,,np
358,359,coaste,杯 垫,,np
359,360,coconut mocha,椰子 摩卡 咖啡,,np
360,361,coffee,咖啡,قهوة,np
361,362,coffee cup,咖啡杯,,np
362,363,coffee pot,咖啡壶,,np
363,364,coffee warmer,咖啡 炉,,np
364,365,coin,硬币,,np
365,366,cointreau coffee,君度 咖啡,,np
366,367,Coke,可乐,الكولا,np
367,368,cold medicine,感冒药,دواء للزكام,np
368,369,Cologne,科隆,كولونيا,np
369,370,Colombia,哥伦比亚,كولومبيا,np
370,371,colombian coffee,哥伦比亚 咖啡,,np
371,372,Come this way please.,来 这边 请 。,,sent
372,373,"Come to pay the fare and fetch your ticket * days before departure, please.",请 于 起飞前 * 天来 付款 取票 。,,vp
373,374,commerce,商业 人员,,np
374,375,commit no nuisance,禁止 小便,,np
375,376,commoner,自费生,,np
376,377,Comoros,科摩罗,جزر القمر,np
377,378,complaint box,意见箱,,np
378,379,concord,协和,,np
379,380,condiments,调料,,np
380,381,Conference Facilities.,会议 设施 。,,sent
381,382,confiscated,没收,,np
382,383,Congo,刚果,الكونغو,np
383,384,control tower,机场 控制台,,np
384,385,conveyor,输送带,,np
385,386,cooperative,有 合作 精神 的,,np
386,387,Copenhagen,哥本哈根,كوبنهاغن,np
387,388,Costa Rica,哥斯达黎加,كوستا ريكا,np
388,389,cough,咳嗽,سعال,np
389,390,Could I ask when you will arrive?,请问 您 什么 时候 到达 ?,,sent
390,391,Could I talk to someone in charge?,我能 跟 主管 谈谈 吗 ?,,sent
391,392,Could we have another one?,我们 能换个 其他 的 吗 ?,,sent
392,393,Could you describe your baggage?,你 能 描述 一下 你 的 行李 吗 ?,,sent
393,394,Could you get a few small plates for us?,能 给 我们 拿些 小盘 吗 ?,,sent
394,395,"Could you get me on that flight, please?",能 设法 让 我 搭 上 那班 飞机 吗 ?,,sent
395,396,Could you give me a window seat?,可以 给 我 靠窗 的 座位 吗 ?,,sent
396,397,Could you give me more paper napkins?,你 能 多 给 一些 餐巾纸 吗 ?,,sent
397,398,Could you give me one more blanket?,能 再 给 我 一条 毯子 吗 ?,,sent
398,399,Could you give me some airsickness medicine?,能 给 我些 晕机 药 吗 ?,,sent
399,400,"Could you hold the line, please? I'll check our room availability for that day.",请别 挂断 ?   我 要查 一下 那天 的 空房间 。,,sent
400,401,Could you please *?,可以 请 你 * 吗 ？,لو سمحتو هل يمكنك أن *؟,vp
401,402,Could you please help me put my baggage up there?,可以 帮 我 把 行李 放上去 吗 ?,,sent
402,403,"Could you put your seat up, please?",请 竖直 椅背 好 吗 ?,,sent
403,404,Could you recommend some good restaurants around here?,你 能 推荐 几家 附近 的 好 餐馆 吗 ?,,sent
404,405,Could you repeat that?,你 可以 重复 一遍 吗 ？,هل يمكنك أن تكرر هذا؟,sent
405,406,Could you repeat your order again?,能 再说 下 您 点 的 餐 吗 ?,,sent
406,407,Could you see if it's ready?,能 看看 是否 做好 了 吗 ?,,sent
407,408,Could you tell me the current price?,你 能 告诉 我 现在 房价 是 多少 吗 ?,,sent
408,409,Could you tell me where to deal with the formalities?,您 能 告诉 我 去 哪里 办理手续 吗 ?,,sent
409,410,"Could you tell me your name, Sir?",能 告诉 我 你 的 名字 吗 ， 先生 ?,,sent
410,411,"Could you wait a little longer, please?",请 您 等 稍 长点 时间 可以 吗 ?,,sent
411,412,Could you wait at the bar until I find an approprite table for you?,您 能 在 吧台 等 一下 ， 我 为 您 找 张 合适 的 桌子 ?,,sent
412,413,"Could you wait in line until a table is free, please?",请 您 排队 等候 空位 好 吗 ?,,sent
413,414,Could you weight this?,你 能 称 一下 这个 吗 ?,,sent
414,415,Could you wrap this?,你 能 把 这个 打包 吗 ?,,sent
415,416,country of citizenship,国籍,,np
416,417,country of origin,原住 地,,np
417,418,county,县,,np
418,419,couple,夫妻,,np
419,420,courses taken,所学 课程,,np
420,421,cousin,堂兄妹,,np
421,422,Coventry,考文 垂,كوفنتري,np
422,423,cover,菜盖,,np
423,424,Cream and sugar.,要 加糖 和 奶油 。,,sent
424,425,creamer,奶勺,,np
425,426,credit card,信用卡,بطاقة ائتمان,np
426,427,Croatia,克罗地亚,كرواتيا,np
427,428,Cuba,古巴,كوبا,np
428,429,currency declaration,货币 申报,,np
429,430,current address,目前 住址,,np
430,431,curriculum,课程,,np
431,432,curry,咖喱,,np
432,433,customers lounges,旅客 休息室,,np
433,434,customs,海关,,np
434,435,customs declaration counter,海关 申报 台,,np
435,436,Customs Declaration Counter.,海关 申报 台 。,,sent
436,437,customs declaration form,海关 申请表,,np
437,438,Customs Declaration form.,海关 申请表 。,,sent
438,439,customs service area,海关 申报 处,,np
439,440,Cyprus,塞浦路斯,قبرص,np
440,441,Czech Republic,捷克共和国,جمهورية التشيك,np
441,442,dad,爸爸,,np
442,443,dame coffee,贵妇人 咖啡,,np
443,444,danger,危险,,np
444,445,Dar es Salaam,达累斯萨拉姆,دار السلام,np
445,446,date,起飞 日期,,np
446,447,date issue,签发 日期,,np
447,448,date of birth,出生日期,تاريخ الولادة,np
448,449,daughter,女儿,,np
449,450,daughter-in-law,儿媳,,np
450,451,day,日,,np
451,452,day-student,走读生,,np
452,453,decaffeinated coffee,低因 咖啡,,np
453,454,December,十二月,ديسمبر,np
454,455,degree,学位,,np
455,456,delayed,延误,,np
456,457,Delhi,新德里,دلهي,np
457,458,demi-spoon,小 咖啡 勺,,np
458,459,Democratic Republic of Congo,刚果民主共和国,جمهورية الكونغو الديمقراطية,np
459,460,Denmark,丹麦,الدنمارك,np
460,461,Departure Gate.,登机口 。,,sent
461,462,departure lounge,候机厅,,np
462,463,Departure Lounge.,候机厅 。,,sent
463,464,departure time,起飞时间,,np
464,465,Departure Time On Reverse.,返航 时间 。,,sent
465,466,"Departure, Terminal *",* 号 候机楼,,vp
466,467,departures,出港,,np
467,468,Departures.,出港 。,,sent
468,469,deposit,押金,وديعة,np
469,470,Depress Handle Until Bowl Is Empty.,压 下 把手 直至 便盆 冲净 为止 。,,sent
470,471,descent,世系,,np
471,472,desscrt plate,甜品 碟,,np
472,473,dessert for,甜品 叉,,np
473,474,dessert knife,水果刀,,np
474,475,dessert spoon,甜品 勺,,np
475,476,destination country,前往 目的地 国,,np
476,477,detector,探测器,,np
477,478,Dhaka,达卡,دكا,np
478,479,diarrhoea,泻肚子 / 拉肚子,إسهال,np
479,480,dictionary,词典,قاموس,np
480,481,Did you forget something?,遗忘 了 物品 吗 ?,,sent
481,482,diesel,柴油,ديزل‎ سولار‎ جاز,np
482,483,dinner for,正 餐叉,,np
483,484,dinner knife,正餐 刀,,np
484,485,diplomatic,老练 的,,np
485,486,direct flight,直飞,,np
486,487,disciplined,守纪律 的,,np
487,488,disembark,下 机,,np
488,489,dish,碟子,,np
489,490,district,区,,np
490,491,divorced,离异,,np
491,492,Djibouti,吉布提,جيبوتي,np
492,493,Do Not Hesitate To Contact Us.,请 不要 犹豫 联系 我们 。,,sent
493,494,do not pass,禁止 超车,,np
494,495,Do Not Smoke In The Bed.,请勿 在 床上 吸烟 。,,sent
495,496,Do you accept * currency?,你 接受 * 的 货币 吗 ？,هل تقبل العملة *؟,vp
496,497,Do you accept credit cards?,你 接受 信用卡 吗 ？,هل تقبل بطاقات الائتمان؟,sent
497,498,Do you accept US dollars?,你 接受 美元 吗 ？,هل تقبل الدولار الأمريكي؟,sent
498,499,Do you go to *?,去不去 * ?,هل تذهب إلى *؟,vp
499,500,Do you have * newspapers?,你们 有没有 中文 报纸 ?,,vp
500,501,Do you have a reservation?,您 有 预订 吗 ?,,sent
501,502,Do you have a safe?,你们 有没有 保险箱 ？,هل لديك خزنة؟,sent
502,503,Do you have a table for * please?,你 能 安排 一张 四人桌 吗 ?,,vp
503,504,Do you have an English menu?,你 有没有 英文 菜单 ？,هل لديك قائمة بالإنجليزية؟,sent
504,505,Do you have any bages to check?,你 有 什么 行李 要 托运 吗 ?,,sent
505,506,Do you have any direct flights coming back?,回程 时 你们 有 直飞 的 班机 吗 ?,,sent
506,507,Do you have any empty seats together somewhere?,哪有 在 一起 的 空座位 呢 ?,,sent
507,508,Do you have any lower fare?,有 比较 便宜 的 机票 吗 ?,,sent
508,509,Do you have any medicine for airsickness?,你们 有 晕机 药 吗 ?,,sent
509,510,Do you have any other seats open where we can sit together?,还有 没有 其他 连在一起 的 座位 ?,,sent
