,en,cn,ar,pos
2336,wineglass,酒杯,,np
2338,wipe your shoes and boots,请擦去鞋上的泥土,,np
2340,women's bathroom,女厕,,np
2342,work experience,工作经历,,np
2343,worker,工人,,np
2344,Would it be possible for us to trade seats?,我们可以交换座位吗?,,sent
2345,Would you like a cup of tea or coffee?,要茶还是咖啡呢?,,sent
2346,Would you like a high chair for your baby?,您想要一个高脚椅给婴儿吗?,,sent
2347,Would you like me to bring a baby chair?,您需要我拿个婴儿椅吗?,,sent
2348,Would you like some cream in your coffee?,你的咖啡要加点奶油吗?,,sent
2349,Would you like some tea or coffee?,喝茶还是喝咖啡？,,sent
2350,Would you like the smoking or non-smoking section?,您喜欢吸烟区还是非吸烟区?,,sent
2351,Would you mind hurrying?,你们能快点吗?,,sent
2352,Would you mind waiting until one is free?,您介意等一下空出桌子吗?,,sent
2353,Would you please bring me a knife and fork?,能给我拿副刀叉吗?,,sent
2354,Would you please help me to get my boarding pass?,可以帮我换登机牌吗?,,sent
2355,Would you please make my reservation to * for tomorrow?,请帮我预订明天去*的机票好吗?,,vp
2356,Would you please serve a little quicker?,能上菜快点吗?,,sent
2357,Would you please show me your ticket and boarding pass?,请出示一下你的机票和登机牌好吗?,,sent
2358,"Would you please tell me your name, telephone and ID number?",能告诉我你的名字、手机号和身份证号码吗?,,sent
2359,Would you prefer a window seat or an aisle seat?,你想要一个靠窗的位子，还是靠过道的?,,sent
2360,Would you prefer sitting inside or outside?,您比较喜欢做里面还是外面?,,sent
2361,Would you take a seat over there and I will call you when a table is free?,您能在那边的座位上等一下，当有空桌时我会通知您好吗?,,sent
2362,"Wrap the steak up for him, so he'll take it with.",打包这份牛排，他要带走。,,sent
2368,year,年,,np
2371,"Yes, I'll check to see if there's any space left.",好，我查查看还有没有剩余位置。,,sent
2373,"Yes, sir. How can I help you?",来了，先生。有什么需要帮忙的?,,sent
2374,"Yes, there is.",有的。,,sent
2375,"Yes, we do. They're right in front of you.",有的，就在你面前。,,sent
2381,You are welcome. Please press the button when you need any help.,不客气。如果需要什么帮助，请按按钮。,,sent
2382,You can also turn down the air-conditioner.,你还可以调小空调。,,sent
2383,You can either take out something or pay the excess baggage charge.,您可以把一些东西拿出来，或者付行李超重费。,,sent
2384,You can go to the flight connection counter.,您可以去转机柜台。,,sent
2385,You can place the baggage under the seat in front of you.,您可以将行李放在前面的座位下面。,,sent
2386,You can take some airsick pills.,您可以吃点晕机药。,,sent
2387,You can take your baggage now.,您可以拿行李了。,,sent
2388,You can't have any liquid with you.,您不能携带任何液体。,,sent
2389,You can't take it with you into the aircraft.,您不能把它带上飞机。,,sent
2390,You have a lot of baggage.,您有好多行李。,,sent
2391,You have a problem with your attitude.,你的态度有问题。,,sent
2392,You have to be there * hours before departure time.,你要在飞机起飞前两个小时到达那里。,,vp
2393,You have to be there half an hour before departure time.,你应该在飞机起飞之前半个小时到那。,,sent
2394,You look familiar.,你看起来很眼熟。,,sent
2395,You look like one of my friends.,你看起来像我的一个朋友。,,sent
2396,You look like someone I know.,你看起来像我认识的一个人。,,sent
2397,You may check in at the self-service kiosk area in zones *,你可以在G和H区自助服务亭办理登机手续。,,vp
2398,You may choose from the fish and beef.,你可以选择鱼或者是牛肉。,,sent
2399,You may feel much better if you chew some gum or peanuts.,如果嚼点口香糖或花生会感觉舒服些。,,sent
2400,You may go now. Please take your things.,你可以走了，带好你的东西。,,sent
2401,You may look at the menu first and decide what you like to have.,请先看看菜单再决定点什么菜。,,sent
2402,You must be tired after such a long flight.,经过长途飞行后你一定累了。,,sent
2403,You need to transfer at *.,你需要在*转机。,,vp
2404,You should have a sign. That way people could identify which are organic and which aren't.,你们应该要有标识，让顾客知道哪些是有机蔬菜，那些不是。,,sent
2405,You'll be boarding at Gate *,请将在*号登机门登机。,,vp
2406,You'll have to get there by * at the latest.,最晚*到。,,vp
2561,budget,预算,,np
2563,How would you like to pay?,您要如何结账？,,sent
