en,ar,pos
north,شمال,adv
nose,أنف,np
Not too far.,ليس بعيد جداً,sent
November,تشرين الثاني/‎ نوفمبر,np
now,الآن,adv
Number *.,رقم *,vp
October,تشرن الأول‎ /أكتوبر,np
"OK, I'll take it.",حسناً، سآخذه.,sent
Okay.,حسناًً,sent
"One more, please.",واحد إضافي، من فضلك.,sent
one o'clock AM,الساعة الواحدة صباحاً,np
one o'clock PM,الساعة الواحدة مساءً,np
"One ticket to *, please.",تذكرة واحدة إلى *.,vp
one way,اتجاه واحد,adv
open,مفتوح,adj
orange,"برتقالي (the color or the adjective), برتقال (the fruit)",np
orange juice,عصير برتقال,np
pain killer,مسكن ألم,sent
painful,مؤلم,adj
Pardon me?,عذراً/معذرة؟,sent
passport,جواز سفر,np
Past the *.,بعد ال*. / بعد أن تتخطى ال*.,vp
pay,ادفع,vp
pen,قلم حبر,np
pencil,قلم رصاص,np
petrol,بترول,np
Please clean my room.,من فضلك نظف غرفتي.,sent
Please clear the plates.,من فضلك نظف الصحون.,sent
Please come with me.,أرجوك، تعال/تعالي معي.,sent
Please give me *.,من فضلك أعطني *., sent
Please turn up the AC.,من فضلك شغل المكيف الهوائي., sent
Please use the meter machine.,من فضلك استعمل آلة السحب ببطاقة الائتمان.,sent
Please.,من فضلك, part
Police!,الشرطة!, np
pork,لحم خنزير,np
postage stamp,طابع بريدي,np
postcard,بطاقة بريدية,np
pull,اسحب,vp
purple,بنفسجي,adj
push,ادفع, vp
quiet,هادئ,adj
razor,موس حلاقة,np
red,أحمر,adj
red wine,نبيذ أحمر,np
restaurant,مطعم,np
rice,أرز,np
right,يمين,part
road,شارع,np
rum,شراب مسكر كحولي (رم),np
runny nose,سيلان الأنف,np
salad, سلطة,np
salt,ملح,np
Saturday,يوم السبت,np
sausage,سجق/نقاق,np
scented tea,شاي معطر, np
second class cabin,مقصورة الدرجة الثانية,np
See you later.,أراك لاحقاً.,sent
September,أيلول‎/ سبتمبر,np
shampoo,شامبو,np
she,هي,np
shoulder,كتف,np
Show me., أرني.,sent
sites to see,مواقع لترى,np
slowly,ببطء,adv
sneeze,عطسة,np
soap,صابون,np
"Some more *, pelase.",المزيد من *، من فضلك.,vp
sore,ملتهب,adj
soup,حساء,np
south,جنوب,adv
speed limit,حد السرعة,np
stomach medicine,دواء للمعدة,np
stop (on a street sign),قف,sent
Stop! Thief!,توقف! لص/سارق‏! ‎,sent
Stop.,توقف,sent
straight ahead,إلى الأمام,sent
street,شارع,np
sugar,سكر,np
sunblock lotion,مرهم حماية من حروق الشمس,np
Sunday,الأحد,np
supper,العشاء,np
"Take me there, please.",خذني إلى هناك من فضلك.,sent
"Take me to *, please.",خذني إلى *، من فضلك.,vp
tampon,سدادة قطنية للدورة ,np
taxi,تاكسي‏/سيارة أجرة,np
Taxi driver,سائق سيارة أجرة/تاكسي,np
tea,شاي,np
telephone, هاتف,np
Thank you so much.,شكراً جزيلاً,sent
Thank you.,شكراًً,sent
That's too expensive.,هذا غال جدا.,sent
"The check, please.",الفاتورة، من فضلك.,sent
the day after tomorrow,بعد غد,np
the day before yesterday,قبل البارحة,np
there,هناك,adv
There are * of us.,نحن * أشخاص,vp
they (f),هن,np
they (m/mixed),هم,np
they (two people),هما,np
This was very impressive!,كان هذا رائعا جدا!,sent
this week,هذا الأسبوع,np
Three-thirty PM.,الثالثة والنص مساءً,vp
throat,حلق,np
Thursday,يوم الخميس,np
To *.,إلى *,vp
toast,خبز التوست/المحمص,np
today, اليوم,np
toes,أصابع القدم,np
toilet,حمام,np
tomorrow,غداً,np
tonic water,مياه مقوية,np
toothbrush,فرشاة أسنان,np
toothpaste,معجون أسنان,np
Towards the *.,نحو ال*.,vp
train station,محطة القطار,np
Tuesday,يوم الثلاثاء,np
Turn left.,در إلى يسار.,sent
Turn right.,در إلى يمين.,sent
TV,‏تلفاز,np
U-turn.,منعطف.,sent
umbrella,مظلة,np
vegetables,خضروات,np
vodka,شراب فودكا,np
waist, خصر,np
Wait or stay?,انتظر أو ابقى؟,sent
Wait.,انتظر.,sent
Watch for the *.,احذر ال*.,vp
water,ماء,np
we,نحن,np
Wednesday,يوم الأربعاء,np
west,غرب,adv
What is the exchange rate?,ما هو سعر العملة؟,sent
What is this called?,ماذا يدعى هذا؟,sent
What is this?,ما هذا؟,sent
What is your name?,ما اسمك؟,sent
What is your special dish?,ما هو طبقك المميز؟,sent
What time is breakfast/supper?,ما هو توقيت الفطور/العشاء؟,sent
What time is it?,كم الساعة؟,sent
What time will this bus arrive?,متى ستصل هذه الحافلة؟,vp
What time will this train arrive?,متى سيصل هذا القطار؟,sent
What?,ماذا؟,sent
When do I have to check out?,متى يجب علي تسجيل الخروج؟,sent
When does the bus for * leave?,متى تنطلق الحافلة المتجه إلى*؟,vp
When does the train for * leave?,متى ينطلق القطار المتجه إلى*؟,vp
When is closing time?,ما هو توقيت الإغلاق؟,sent
When is opening time?,ما هو توقيت الافتتاح؟,sent
When?,متى؟,sent
Where are you from?,من أين أنت؟,sent
Where are you taking me?,إلى أين أنت آخذني؟,sent
Where can I find *?,أين يمكنني أن أجد؟,vp
Where can I get a traveler's check changed?,أين يمكنني أن أصرّف شيك سياحي؟,sent
Where can I get money changed?,أين يمكنني أن أصرّف بعض المال؟,sent
Where do we get tickets?,أين يمكننا أن نحصل على تذاكر؟,sent
Where does it hurt?,أين يؤلمك؟,sent
Where does this bus go?,أين تذهب هذه الحافلة؟,sent
Where does this train go?,أين يذهب هذا القطار؟,sent
Where is an ATM?,أين توجد آلة الصرف الآلي؟,sent
Where is it on the map?,أين تقع على الخريطة؟,sent
Where is the *?,أين ال*؟,vp
Where is the bathroom?,أين الحمام؟,sent
Where is the bus to *?,أين الحافلة المتجهة إلى *؟,vp
Where is the toilet?,أين الحمام؟,sent
Where is the train to *?,أن القطار المتجه إلى *؟,vp
Where?,اين؟,sent
Which direction?,بأي اتجاه؟,sent
Which station are we at?,نحن في أي محطة؟,sent
whiskey,شراب الويسكي,np
white,أبيض,adj
white wine,نبيذ أبيض,np
Who?,من؟,sent
Why?,لماذا؟,sent
women,نساء,np
work,عمل,np
wrist,معصم,np
writing paper,ورق للكتابة,np
yellow,أصفر,adj
"Yes, please.",نعم من فضلك,sent
Yes.,نعم.,sent
yesterday, البارحة,np
yield,ينتج,vp
you,أنت,np
you (p), أنتم,np
You're cheating me.,"أنت تغشني (s), أنتما تغشانني (two), أنتم تغشونني (more than two)",sent
You're welcome.,على الرحب والسعة,sent
youth hostel,بيوت الشباب,np
