en,cn,ar,pos
airport fee,机场费,,np
Airport Limousine.,机场班车。,,sent
airport lounges,机场休息室,,np
airport security,机场安检,,np
Airport Shuttle.,机场班车。,,sent
airport terminal,机场候机楼,,np
airports shuttle,机场班车,,np
airsick,晕机,,np
"Aisle, please.",靠过道的。,,sent
Albania,阿尔巴尼亚,ألبانيا,np
Aleppo,阿勒颇,حلب,np
Alexandria,亚历山大,الإسكندرية,np
Algeria,阿尔及利亚,الجزائر,np
alias,别名,,np
All bags-packages and persons are subject to search.,所有行李包裹以及个人一律接受安检。,,sent
All our rooms are full occupied.,我们所有的房间都满了。,,sent
"All portable electronic devices, keys, coins and other metal objects should be placed on X-ray belt in separate container.",便携电器、钥匙、硬币、和其他金属物品置放单独盒内后，放X光安检传送带上。,,sent
All right.,好的。,حسنا.,sent
All right. Will there be anything else?,好的，还需要别的吗?,,sent
All the connecting passengers are requested to proceed to Gate *,所有转机旅客请到*号登机门。,,vp
All the leaving passengers must go through this gate.,所有旅客都必须从这个检查口通过。,,sent
altitude,高度,,np
aluminum foil,铝箔,,np
Always Use Deadbolt.,始终使用死栓。,,sent
Am I under arrest?,我被捕了吗？,هل أنا معتقل؟,sent
ambitious,有雄心壮志的,,np
amiable,和蔼可亲的,,np
amicable,友好的,,np
Amsterdam,阿姆斯特丹,أمستردام,np
"An aisle seat, please.",请给我一个靠走道的座位。,,sent
analytical,善于分析的,,np
ancestor,祖先,,np
"And now you want to change the booking, do you?",你想变更一下入住时间吗?,,sent
And would you mind opening your laptop?,您介意打开您的手提电脑吗?,,sent
"And your telephone number, please?",请问你的电话号码是多少?,,sent
Andorra,安道尔,أندورا,np
Angola,安哥拉,أنغولا,np
Ankara,安卡拉,أنقرة,np
Antigua,安提瓜,أنتيغوا,np
Any brothers or sisters?,有兄弟姐妹吗?,,sent
Anything else in your pocket?,口袋里还有其它物品吗？,,sent
apple,苹果,تفاحة,np
apprehensive,有理解力的,,np
April,四月,أبريل,np
Are there any discount tickets for me?,我买票有折扣吗?,,sent
Are there any restaurants still open near here?,这附近还有在营业的饭店吗?,,sent
Are they non-stop flights?,它们是直飞班机吗?,,sent
Are you here by yourself?,,هل أنت بمفردك؟,sent
Are you looking for something particular?,您在找什么呢?,,sent
area of customs control,海关监管区,,np
Argentina,阿根廷,الأرجنتين,np
Armenia,亚美尼亚,أرمينيا,np
armrest,座椅扶手,,np
Around the corner.,转角,قريب من هنا,sent
arrivals,进港,,np
assistance,问讯处,,np
"At gate * go through the security check and turn left, take the moving staircase at the end of the hall, then you will find it.",*号登机口，在通过安检后左转，走到大厅的尽头乘电梯能到。,,vp
At what aisle is the frozen food?,冷冻食品在哪条通道?,,sent
Athens,雅典,أثينا,np
Attendant Call.,呼叫服务员,,sent
"Attention, please. Due to weather condition, all flights to * will be delayed.",各位旅客请注意，由于气候不佳，所有飞往*的班机都将延后起飞。,,vp
Auckland,奥克兰,أوكلاند,np
August,八月,أغسطس,np
aunt,姑母,,np
Australia,澳大利亚,أستراليا,np
Austria,奥地利,النمسا,np
automatic ticket machine,自动售票机,,np
autonomous region,自治区,,np
avenue,大道,سبيل,np
Azerbaijan,阿塞拜疆,أذربيجان,np
bachelor,学士,,np
back,背,ظهر,np
baggage,行李,,np
Baggage Claim,行李提取,,sent
baggage claim area,行李领取处,,np
Baggage Rack,行李架,,sent
baggage tag,行李牌,,np
Bahamas,巴哈马,الباهاما,np
Bahrain,巴林,البحرين,np
bakery,面包店,,np
Bali,巴厘岛,بالي,np
banana,香蕉,موز,np
Bangalore,班加罗尔,بنغالور,np
Bangkok,曼谷,بانكوك,np
Bangladesh,孟加拉国,بنغلاديش,np
bank,银行,,np
bar,酒巴,,np
Barbados,巴巴多斯,بربادوس,np
Barcelona,巴塞罗那,برشلونة,np
bars,酒吧,مشرب,np
basket,篮子,,np
bathroom,卫生间,‏حمام,np
batteries,电池,بطارية,np
Be Careful When Using The Bath.,使用此浴室时小心。,,sent
Be Careful.,小心路滑。,,sent
"Be seated, please.",请坐。,,sent
beans,豆,فول,np
bedsheets,床单,ملاءات السرير,np
beef,牛肉,لحم بقري,np
beer,啤酒,بيرة,np
beer glass,啤酒杯,,np
before,以前,قبل,adv
Beijing,北京,بكين,np
Beirut,贝鲁特,بيروت,np
Belarus,白俄罗斯,روسيا البيضاء,np
Belfast,贝尔法斯特,بلفاست,np
Belgium,比利时,بلجيكا,np
Belgrade,贝尔格莱德,بلغراد,np
Belize,伯利兹,بليز,np
belt,带,,np
Benin,贝宁,بنين,np
Berlin,柏林,البرلينية,np
beware of pickpocket,谨防扒手,,np
Bhopal,博帕尔,بوبال,np
Bhutan,不丹,بوتان,np
bigger,更大,أكبر,adj
bike parking,自行车存车处,,np
billion,十亿,مليار‎,num
Birmingham,伯明翰,برمنغهام,np
birthdate,出生日期,,np
birthday,生日,عيد الميلاد,np
birthplace,出生地点,مسقط الرأس,np
black,黑色,أسود,adj
"Black coffee, please.",请来杯黑咖啡。,,sent
black pepper,黑胡椒,فلفل أسود,np
black tea,红茶,شاي أسود,np
blackberry latte,黑莓咖啡拿铁,,np
blanket,毛毯,,np
bloodtype,血型,,np
blue,蓝色,أزرق,adj
boarder,寄宿生,,np
boarding,登机,,np
boarding gate,登机口,,np
boarding pass,登机牌,,np
"Boarding passes and IDs, please!",请出示登记证和身份证!,,sent
Boarding time is *.,登机时间是*。,,vp
body,身体,الجسم,np
boeing,波音,,np
Bogota,波哥大,بوغوتا,np
boiled water,开水,ماء مغلي,np
Bolivia,玻利维亚,بوليفيا,np
Bordeaux,波尔多,بوردو,np
born,生于,,np
Bosnia Herzegovina,波黑,البوسنة الهرسك,np
Both flights have seats available.,两次航班都有座。,,sent
Botswana,博茨瓦纳,بوتسوانا,np
bottled water,矿泉水,مياه معبأة,np
Bottoms up!,干杯!,,sent
Brasilia,巴西利亚,برازيليا,np
Bratislava,布拉迪斯拉发,براتيسلافا,np
Brazil,巴西,البرازيل,np
bread,面包,خبز,np
bread plate,面包碟,,np
breakfast,早饭,وجبة افطار,np
Brighton,布莱顿,برايتون,np
Brisbane,布里斯班,بريسبان,np
Bristol,布里斯托尔,بريستول,np
brother,兄弟,,np
brother-in-law,大伯,,np
brown,褐色,بني,adj
brown sugar,红糖,,np
Brunei,文莱,بروناي,np
Brussels,布鲁塞尔,بروكسل,np
Bucharest,布加勒斯特,بوخارست,np
Budapest,布达佩斯,بودابست,np
Buenos Aires,布宜诺斯艾利斯,بوينس آيرس،,np
Bulgaria,保加利亚,بلغاريا,np
bumpy flight,不平稳的飞行,,np
Burkina,布基纳法索,فاسو,np
Burundi,布隆迪,بوروندي,np
bus,公共汽车,,np
bus station,公家车站,محطة حافلات,np
Busan,釜山,بوسان,np
business class,商务客舱,,np
business hours,营业时间,,np
business phone,办公电话,,np
butter,黄油,زبدة,np
butter knife,牛油刀,,np
butter plate,牛油碟,,np
buttocks,屁股,مؤخرة,np
Bye,拜拜。,باي باي,sent
cafe,咖啡室,مقهى,np
cafe americano,美式咖啡,قهوة امريكانو,np
cafe latte,拿铁咖啡,,np
Cairo,开罗,القاهرة,np
cake knife,柄铲,,np
Calgary,卡尔加里,كالجاري,np
Cali,卡利,كالي,np
Cambodia,柬埔寨,كمبوديا,np
Cameroon,喀麦隆,الكاميرون,np
Can anyone tell me where I can buy the ingredients to make * food?,谁能告诉我哪里可以买到做*菜的原材料?,,vp
Can I cancel my reservation?,我能取消我的预定吗?,,sent
Can I change seats with you?,我可以跟你换位子吗?,,sent
Can I get a bag?,我可以要一个袋子吗？,هل استطيع الحصول على حقيبة؟,sent
Can I get insurance?,我可以买保险吗？,هل أستطيع الحصول على تأمين؟,sent
Can I get on the earlier flight instead?,我可以换成早一点的航班吗?,,sent
"Can I have a one-way ticket to *, please?",请给我一张去*的单程票好吗?,,vp
Can I have another blank?,我能再要条毯子吗?,,sent
Can I just pay a fine now?,我可以缴交罚款吗？,هل استطيع دفع غرامة أدفع غرامة الآن؟,sent
"Can I look at the menu, please?",请给我看看菜单.,قائمة الطعام، من فضلك؟,sent
Can I make a telephone call?,我可以打个电话吗？,هل يمكنني الحصول على مكالمة هاتفية؟,sent
Can I make an appointment?,我可以预约吗？,هل يمكنني حجز موعد؟,sent
Can I make international calls here?,可以打国际电话吗?,هل استطيع القيام بمكالمة دولية من هنا؟,sent
Can I move to an empty seat over there?,我可以移到那边的空座位吗?,,sent
Can I print here?,我可以复印吗？,هل يمكنني الطبع من هنا؟,sent
"Can I see your ticket, please?",我可以看看你的票吗?,,sent
Can I take one of those empty saets over there?,我可以坐在那边其中的一个空座吗?,,sent
Can I use your cell phone?,我可以用您的手机吗？,أيمكنني إستخدام هاتفك؟,sent
Can I use your phone?,我可以用您的电话吗？,أيمكنني استخدام هاتفك النقال؟,sent
Can we have a quiet area?,我可以要一个安静的地方吗?,,sent
Can you change money for me?,你可以帮我换钱吗？,هل يمكنك تحويل مال لي؟,sent
"Can you change the reservation, please?",我能更改一下订票的班机吗?,,sent
Can you come here when you have a second?,你有空时能到这里来一下吗?,,sent
Can you get a doctor?,你可以帮我找一位医生吗？,هل يمكنك أن تحضر طبيب؟,sent
Can you give me your contact information?,你能给我你的联系方式吗?,,sent
Can you help me find my seat?,你能帮我找到我的座位吗?,,sent
Can you help me get my baggage? It's too heavy.,你能帮我拿行李吗? 实在太重了。,,sent
Can you show me on the map?,你可以在地图上指给我看?,هل يمكنك أن تريني أين هو على الخريطة؟,sent
Can you show me the way to my seat?,你能指给我的座位吗?,,sent
Can you speak *?,你可以说*吗？,عل يمكنك تحدث ال*؟,vp
Can you suggest another hotel?,你有其他推荐的酒店吗？,هل يمكنك اقتراح فندق آخر؟,sent
Can you tell me how to fasten the seat belt?,您能告诉我怎么系安全带吗?,,sent
Can you tell me how to unfasten the seat belt?,您能告诉我安全带怎么解开吗?,,sent
Can you tell me where * is?,你可以告诉我*在那里吗？,اين *؟,vp
Can you tell me where seat * is?,你能告诉我*座位在哪儿吗?,,vp
Can you tell me your flight number?,能告诉我你乘坐的航班号吗?,,sent
Can you wake me at *?,请在明天*点钟叫醒我。,هل تستطيع إيقاظي الساعة *؟,vp
Can you write the name and address down?,你可以写下名字和地址吗？,هل يمكنك أن تكتب لي الإسم و العنوان؟,sent
Canada,加拿大,كندا,np
Canberra,堪培拉,كانبيرا,np
candid,正直的,,np
Cape Town,开普敦,كيب تاون,np
Cape Verde,佛得角,الرأس الأخضر,np
cappuccino,意大利泡沫咖啡,,np
captain,机长,,np
Captain and all the members of his crew thank you for flying with us.,机长和所有组员感谢各位旅客搭乘本班机。,,sent
captain orde,点菜本,,np
car,汽车,سيارة,np
car hire,租车处,,np
carbonated water,碳酸水,مياه غازية,np
Cardiff,加的夫,كارديف,np
carrier,承运公司,,np
carry-on baggage,随身行李,,np
Casablanca,卡萨布兰卡,الدار البيضاء,np
cash,现金,أوراق مالية,np
Caution：Slippery!,注意：滑!,,sent
cellphone,手机,,np
Central African Republic,中非共和国,ممثل وسط افريقيا,np
Chad,乍得,تشاد,np
cheap,便宜,رخيص,adj
cheaper,比较便宜,أرخص,adj
check,支票,شيك,np
check in area,办理登机区,,np
Check in zone.,办理登机区。,,sent
Check In.,办理入住。,,sent
Check Out.,办理离店手续。,,sent
check-in,登机手续办理,,np
Check-in all destinations.,办理飞往世界各地登机手续。,,sent
checked baggage,托运的行李,,np
"Checking is done, thank you for your corporation.",检查完毕，谢谢合作。,,sent
Cheers!,干杯!,,sent
cheese,奶酪,جبنة,np
cheese powder,芝士粉,,np
Chengdu,成都,تشنغدو,np
Chennai,奈,تشيناي,np
cherry latte,樱桃咖啡拿铁,,np
cherry mocha,樱桃摩卡咖啡,,np
chest,胸部,صدر,np
chewing gum,口香糖,,np
chicken,鸡,دجاج,np
child,孩子,,np
children and women first,妇女、儿童优先,,np
Chile,智利,تشيلي,np
chili sauce,辣椒酱,,np
China,中国,الصين,np
chocolate coffee,巧克力咖啡,,np
Chongqing,渝,تشونغتشينغ,np
Christchurch,克赖斯特彻奇,كرايستشيرش,np
cigarette,香烟,,np
circling,盘旋,,np
citizenship,国籍,,np
city,市,,np
city and state,城市及国家,,np
city where visa was issued,签证签发地,,np
city where you boarded,登机城市,,np
cleaner,清洁工,أنظف,np
clerk,办事员,,np
closed,关闭,مغلق,adj
Closing.,登机口关闭。,,sent
club soda,苏打水,صودا,np
coachpick-up point,大轿车乘车点,,np
coaste,杯垫,,np
coconut mocha,椰子摩卡咖啡,,np
coffee,咖啡,قهوة,np
coffee cup,咖啡杯,,np
coffee pot,咖啡壶,,np
coffee warmer,咖啡炉,,np
coin,硬币,,np
cointreau coffee,君度咖啡,,np
Coke,可乐,الكولا,np
cold medicine,感冒药,دواء للزكام,np
Cologne,科隆,كولونيا,np
Colombia,哥伦比亚,كولومبيا,np
colombian coffee,哥伦比亚咖啡,,np
Come this way please.,来这边请。,,sent
"Come to pay the fare and fetch your ticket * days before departure, please.",请于起飞前*天来付款取票。,,vp
commerce,商业人员,,np
commit no nuisance,禁止小便,,np
commoner,自费生,,np
Comoros,科摩罗,جزر القمر,np
complaint box,意见箱,,np
concord,协和,,np
condiments,调料,,np
Conference Facilities.,会议设施。,,sent
confiscated,没收,,np
Congo,刚果,الكونغو,np
control tower,机场控制台,,np
conveyor,输送带,,np
cooperative,有合作精神的,,np
Copenhagen,哥本哈根,كوبنهاغن,np
Costa Rica,哥斯达黎加,كوستا ريكا,np
cough,咳嗽,سعال,np
Could I ask when you will arrive?,请问您什么时候到达?,,sent
Could I talk to someone in charge?,我能跟主管谈谈吗?,,sent
Could we have another one?,我们能换个其他的吗?,,sent
Could you describe your baggage?,你能描述一下你的行李吗?,,sent
Could you get a few small plates for us?,能给我们拿些小盘吗?,,sent
"Could you get me on that flight, please?",能设法让我搭上那班飞机吗?,,sent
Could you give me a window seat?,可以给我靠窗的座位吗?,,sent
Could you give me more paper napkins?,你能多给一些餐巾纸吗?,,sent
Could you give me one more blanket?,能再给我一条毯子吗?,,sent
Could you give me some airsickness medicine?,能给我些晕机药吗?,,sent
"Could you hold the line, please? I'll check our room availability for that day.",请别挂断? 我要查一下那天的空房间。,,sent
Could you please *?,可以请你*吗？,لو سمحتو هل يمكنك أن *؟,vp
Could you please help me put my baggage up there?,可以帮我把行李放上去吗?,,sent
"Could you put your seat up, please?",请竖直椅背好吗?,,sent
Could you recommend some good restaurants around here?,你能推荐几家附近的好餐馆吗?,,sent
Could you repeat that?,你可以重复一遍吗？,هل يمكنك أن تكرر هذا؟,sent
Could you repeat your order again?,能再说下您点的餐吗?,,sent
Could you see if it's ready?,能看看是否做好了吗?,,sent
Could you tell me the current price?,你能告诉我现在房价是多少吗?,,sent
Could you tell me where to deal with the formalities?,您能告诉我去哪里办理手续吗?,,sent
"Could you tell me your name, Sir?",能告诉我你的名字吗，先生?,,sent
"Could you wait a little longer, please?",请您等稍长点时间可以吗?,,sent
Could you wait at the bar until I find an approprite table for you?,您能在吧台等一下，我为您找张合适的桌子?,,sent
"Could you wait in line until a table is free, please?",请您排队等候空位好吗?,,sent
Could you weight this?,你能称一下这个吗?,,sent
Could you wrap this?,你能把这个打包吗?,,sent
country of citizenship,国籍,,np
country of origin,原住地,,np
county,县,,np
couple,夫妻,,np
courses taken,所学课程,,np
cousin,堂兄妹,,np
Coventry,考文垂,كوفنتري,np
cover,菜盖,,np
Cream and sugar.,要加糖和奶油。,,sent
creamer,奶勺,,np
credit card,信用卡,بطاقة ائتمان,np
Croatia,克罗地亚,كرواتيا,np
Cuba,古巴,كوبا,np
currency declaration,货币申报,,np
current address,目前住址,,np
curriculum,课程,,np
curry,咖喱,,np
customers lounges,旅客休息室,,np
customs,海关,,np
customs declaration counter,海关申报台,,np
customs declaration form,海关申请表,,np
customs service area,海关申报处,,np
Cyprus,塞浦路斯,قبرص,np
Czech Republic,捷克共和国,جمهورية التشيك,np
dad,爸爸,,np
danger,危险,,np
Dar es Salaam,达累斯萨拉姆,دار السلام,np
date,起飞日期,,np
date issue,签发日期,,np
date of birth,出生日期,تاريخ الولادة,np
daughter,女儿,,np
daughter-in-law,儿媳,,np
day,日,,np
day-student,走读生,,np
decaffeinated coffee,低因咖啡,,np
December,十二月,ديسمبر,np
degree,学位,,np
delayed,延误,,np
Delhi,新德里,دلهي,np
demi-spoon,小咖啡勺,,np
Democratic Republic of Congo,刚果民主共和国,جمهورية الكونغو الديمقراطية,np
Denmark,丹麦,الدنمارك,np
Departure Gate.,登机口。,,sent
departure lounge,候机厅,,np
departure time,起飞时间,,np
Departure Time On Reverse.,返航时间。,,sent
"Departure, Terminal *",*号候机楼,,vp
departures,出港,,np
deposit,押金,وديعة,np
Depress Handle Until Bowl Is Empty.,压下把手直至便盆冲净为止。,,sent
descent,世系,,np
desscrt plate,甜品碟,,np
dessert for,甜品叉,,np
dessert knife,水果刀,,np
dessert spoon,甜品勺,,np
destination country,前往目的地国,,np
detector,探测器,,np
Dhaka,达卡,دكا,np
diarrhoea,泻肚子/拉肚子,إسهال,np
dictionary,词典,قاموس,np
Did you forget something?,遗忘了物品吗?,,sent
diesel,柴油,ديزل‎ سولار‎ جاز,np
dinner for,正餐叉,,np
dinner knife,正餐刀,,np
diplomatic,老练的,,np
direct flight,直飞,,np
disciplined,守纪律的,,np
disembark,下机,,np
dish,碟子,,np
district,区,,np
divorced,离异,,np
Djibouti,吉布提,جيبوتي,np
Do Not Hesitate To Contact Us.,请不要犹豫联系我们。,,sent
do not pass,禁止超车,,np
Do Not Smoke In The Bed.,请勿在床上吸烟。,,sent
Do you accept * currency?,你接受*的货币吗？,هل تقبل العملة *؟,vp
Do you accept credit cards?,你接受信用卡吗？,هل تقبل بطاقات الائتمان؟,sent
Do you accept US dollars?,你接受美元吗？,هل تقبل الدولار الأمريكي؟,sent
Do you go to *?,去不去*?,هل تذهب إلى *؟,vp
Do you have * newspapers?,你们有没有中文报纸?,,vp
Do you have a reservation?,您有预订吗?,,sent
Do you have a safe?,你们有没有保险箱？,هل لديك خزنة؟,sent
Do you have a table for * please?,你能安排一张四人桌吗?,,vp
Do you have an English menu?,你有没有英文菜单？,هل لديك قائمة بالإنجليزية؟,sent
Do you have any bages to check?,你有什么行李要托运吗?,,sent
Do you have any direct flights coming back?,回程时你们有直飞的班机吗?,,sent
Do you have any empty seats together somewhere?,哪有在一起的空座位呢?,,sent
Do you have any lower fare?,有比较便宜的机票吗?,,sent
Do you have any medicine for airsickness?,你们有晕机药吗?,,sent
Do you have any other seats open where we can sit together?,还有没有其他连在一起的座位?,,sent
Do you have any particular restaurant in mind?,你想好有什么特别的餐馆吗?,,sent
Do you have any rooms available?,你们还有房间吗？,هل لديك أي غرف متاحة؟,sent
Do you have any snacks?,有没有小吃？有没有点心？,هل لديك أي وجبات خفيفة؟,sent
Do you have any sugar substitute?,你们有代糖的吗?,,sent
Do you have any tickets available for that date?,你们有那天的票吗?,,sent
Do you have anything for airsickness?,你们有晕机药吗?,,sent
Do you have insurance?,你有保险吗？,هل لديك تأمين؟,sent
Do you have it in another color?,你们有没有另外的颜色?,هل لديك لون آخر؟,sent
Do you have more of this item in stock?,这种商品还有存货吗?,,sent
Do you have one to recommend?,你有推荐的吗?,,sent
Do you have the boarding pass for the next flight?,您有下一趟航班的登机牌吗?,,sent
Do you have this in my size?,有没有我的尺寸？,هل لديكم من هذه بمقاسي؟,sent
Do you have this in stock?,这个还有存货吗?,,sent
Do you have time for coffee?,你有空喝杯咖啡吗?,,sent
Do you know *?,你知道*吗？,هل تعلم *؟,vp
Do you know how long it will be?,你知道会延误多久吗?,,sent
Do you live with your parents?,你和父母住在一起吗?,,sent
Do you mind changing seats with me?,你介意跟我换下座位吗?,,sent
Do you prefer a smoking or non-smoking area?,您喜欢吸烟区还是非吸烟区?,,sent
Do you remember which aisle this was at?,你记得这货物在哪条货道里吗?,,sent
Do you sell organic vegetables here?,你们卖有机蔬菜吗?,,sent
Do you serve alcohol?,你们销售酒精类饮品吗？,هل تقدمون أي خمور؟,sent
Do you serve anything else besides drinks?,除了喝的你们这还有什么别的吗?,,sent
Do you ship overseas?,可以邮寄到海外吗？,هل هن,sent
Do you speak *?,你说*语吗?,هل تتكلم اللغة *؟,vp
Do you speak English?,你会说英语吗？,هل هناك شحن دولى؟,sent
Do you take * currency?,*元可以吗？,هل تقبلون عملة *؟,vp
Do you think you could tell the kitchen to speed it up a little bit?,你能告诉厨房速度快一点吗?,,sent
Do you understand?,听得懂吗？,مفهوم؟,sent
Do you want to fly first or economy class?,您要头等舱还是经济舱?,,sent
Do you want to try it?,你要不要尝一下?,,sent
doctor,博士,,np
Does it need to take so long?,用花那么长时间吗?,,sent
Does that include breakfast?,早餐包含在内吗？,هل هذا يشمل وجبة الافطار؟,sent
Does that really work? I'll give it a try.,真的有用吗? 我来试试。,,sent
Does the room come with *?,这个房间有没有*？,هل تحتوي هذه الغرفة على *؟,vp
Does this bus stop in *?,这辆巴士停在*吗？,هل تتوقف هذه الحافلة في *؟,vp
Does this train stop in *?,这列火车停在*吗？,هل يتوقف هذا القطار في *؟,vp
Doesn't matter.,没关系。,,sent
dogs not allowed,禁止携犬入内,,np
domestic airport,国内机场,,np
domestic departure,国内航班出站,,np
domestic flight,国内班机,,np
domestic flights,国内航班,,np
Dominica,多米尼加,دومينيكا,np
Dominican Republic,多明尼加共和国,جمهورية الدومنيكان,np
Don't Leave Valuables Unattended.,请保管好随身携带的贵重物品。,,sent
Don't touch me!,不要碰我！,لا تلمسني!,sent
Don't worry. It's just due to the lower pressure.,不用担心。只是由于低气压的缘故。,,sent
Double Lock Door. Use Safety Latch.,双保险门闩，请使用安全碰锁。,,sent
downstairs,由此下楼,,np
downtown,市中心,وسط البلد,np
drink list,酒水单,,np
driver's license,驾驶证件,رخصة قيادة,np
Dubai,迪拜,دبي,np
Dublin,都柏林,دبلن,np
duel citizenship,双重国籍,,np
dumpling,饺子,زلابية,np
Dusseldorf,杜塞尔多夫,دوسلدورف,np
dutiful,尽职的,,np
duty-free shop,免税店,,np
Early Book For Lunch Or Dinner.,预订午餐或晚餐。,,sent
Earphone Set.,耳机。,,sent
ears,耳朵,آذان,np
east,东,شرق,adj
East Box,东厢,,sent
East Timor,东帝汶,تيمور الشرقية,np
East Wing,东楼,,sent
Easy to use and great value too.,好用实惠，物美价廉。,,sent
economy class,经济舱,,np
"Economy, please.",请买经济舱。,,sent
Ecuador,厄瓜多尔,الإكوادور,np
Edinburgh,爱丁堡,ادنبره,np
Edmonton,埃德蒙顿,ادمونتون,np
education,学历,,np
educational background,教育程度,,np
educational history,学历,,np
educational system,学制,,np
efficient,有效率的,,np
eggs,鸡蛋,بيض,np
Egypt,埃及,مصر,np
eight,八,ثمانية,num
El Salvador,萨尔瓦多,السلفادور,np
elder brothe,哥哥,,np
elder sister,姐姐,,np
emergency exit,安全出口,,np
emergency exits,紧急出口,,np
Employees Must Wash Hands Before Returning To Work.,员工便后必须洗手方可回到工作岗位。,,sent
energetic,精力充沛的,,np
English books,英文书,كتب إنجليزية,np
English magazines,英文杂志,مجلات انجليزية,np
English newspaper,英文报纸,جريدة إنجليزية,np
Enjoy your flight!,飞行愉快!,,sent
Enjoy your meal.,请享用。,أتمنى لك وجبة شهية.,sent
Enjoy your stay.,入住愉快。,استمتع بأقامتك.,sent
Enjoy.,请享用。,استمتع.,sent
entrance,入口,دخول,np
Equatorial Guinea,赤道几内亚,غينيا الإستوائية,np
Eritrea,厄立特里亚,إريتريا,np
Haha,呵呵,هاها,sent
medicine,药,دواء,np
espresso,意大利浓咖啡,,np
espresso con panna,浓缩咖啡康保蓝,,np
espresso cup,特浓杯,,np
espresso macchiato,浓缩咖啡玛奇朵,,np
Estonia,爱沙尼亚,استونيا,np
Ethiopia,埃塞俄比亚,أثيوبيا,np
evening,晚上,مساء,np
Everything checks out.,一切检查完毕。,,sent
ex-husband,前夫,,np
ex-wife,前妻,,np
excellent,极佳,,np
Excellent!,太棒了！,ممتاز!,sent
"Excuse me, but is the reservation for you?",对不起，是您预定的?,,sent
"Excuse me, this is my bag.",借过一下，这是我的行李。,,sent
Excuse me. (begging pardon),打扰一下。,أعذرني,sent
Excuse me. (coming through),对不起。,لو سمحت,sent
Excuse me. (getting attention),请问。,معذرة,sent
Excuse me. What would you like to eat?,打扰一下，请问您要吃什么?,,sent
Excuse me. You have my seat.,不好意思，你坐到我的位子了。,,sent
Executive Business Centre.,行政商务中心,,sent
Exercise Facilities,锻炼设施,,sent
exit,出口,خروج,np
Exit To All Routes.,各通道出口。,,sent
expensive,贵,غالي,adj
Express Pass.,快速通道。,,sent
expressivity,善于表达,,np
extern,走读生,,np
eyes,眼睛,عيون,sent
face,脸,وجه,np
faithful,忠诚的,,np
family,家庭,,np
family name,姓,,np
family status,家庭状况,,np
far-sighted,远视,,np
fare class,座舱等级,,np
farmer,农民,,np
Fasten Seat Belt While Seated.,就坐后请系好安全带。,,sent
father,父亲,,np
father-in-law,公公,,np
Fax And Copy Service.,传真复印服务。,,sent
February,二月,فبراير,np
feet,脚,أقدام,np
female,女的,إناثا,np
fever,发烧,حمة,np
fifty thousand,五万,خمسون ألف,num
Fiji,斐,فيجي,np
Fill out this form.,填一下这张表。,,sent
filling station,加油站,,np
"Fine, thank you.","很好, 谢谢。",بخير، شكرا لك.,sent
fingers,手指,أصابع,np
Finland,芬兰,فنلندا,np
first class,头等舱,,np
first class cabin,头等舱,مقصورة درجة أولى,np
