,en,cn,ar,pos
58,airline coach service,航空公司汽车服务处,,np
59,airplane,飞机,طائرة,np
60,airport,机场,مطار,np
61,Airport Bus.,机场巴士。,,sent
62,airport fee,机场费,,np
63,Airport Limousine.,机场班车。,,sent
64,airport lounges,机场休息室,,np
65,airport security,机场安检,,np
66,Airport security.,机场安检。,,sent
67,Airport Shuttle.,机场班车。,,sent
68,airport terminal,机场候机楼,,np
69,airports shuttle,机场班车,,np
70,airsick,晕机,,np
71,"Aisle, please.",靠过道的。,,sent
72,Albania,阿尔巴尼亚,ألبانيا,np
73,Aleppo,阿勒颇,حلب,np
74,Alexandria,亚历山大,الإسكندرية,np
75,Algeria,阿尔及利亚,الجزائر,np
76,alias,别名,,np
77,All bags-packages and persons are subject to search.,所有行李包裹以及个人一律接受安检。,,sent
78,All our rooms are full occupied.,我们所有的房间都满了。,,sent
79,"All portable electronic devices, keys, coins and other metal objects should be placed on X-ray belt in separate container.",便携电器、钥匙、硬币、和其他金属物品置放单独盒内后，放X光安检传送带上。,,sent
80,All right.,好的。,حسنا.,sent
81,All right. Will there be anything else?,好的，还需要别的吗?,,sent
82,All the connecting passengers are requested to proceed to Gate *,所有转机旅客请到*号登机门。,,vp
83,All the leaving passengers must go through this gate.,所有旅客都必须从这个检查口通过。,,sent
84,altitude,高度,,np
85,aluminum foil,铝箔,,np
86,Always Use Deadbolt.,始终使用死栓。,,sent
87,Am I under arrest?,我被捕了吗？,هل أنا معتقل؟,sent
88,ambitious,有雄心壮志的,,np
89,amiable,和蔼可亲的,,np
90,amicable,友好的,,np
91,Amsterdam,阿姆斯特丹,أمستردام,np
92,"An aisle seat, please.",请给我一个靠走道的座位。,,sent
93,analytical,善于分析的,,np
94,ancestor,祖先,,np
95,"And now you want to change the booking, do you?",你想变更一下入住时间吗?,,sent
96,And would you mind opening your laptop?,您介意打开您的手提电脑吗?,,sent
97,"And your telephone number, please?",请问你的电话号码是多少?,,sent
98,Andorra,安道尔,أندورا,np
99,Angola,安哥拉,أنغولا,np
100,Ankara,安卡拉,أنقرة,np
101,Antigua,安提瓜,أنتيغوا,np
102,Any brothers or sisters?,有兄弟姐妹吗?,,sent
103,Anything else in your pocket?,口袋里还有其它物品吗？,,sent
104,apple,苹果,تفاحة,np
105,apprehensive,有理解力的,,np
106,April,四月,أبريل,np
107,Are there any discount tickets for me?,我买票有折扣吗?,,sent
108,Are there any restaurants still open near here?,这附近还有在营业的饭店吗?,,sent
109,Are they non-stop flights?,它们是直飞班机吗?,,sent
110,Are you here by yourself?,,هل أنت بمفردك؟,sent
111,Are you looking for something particular?,您在找什么呢?,,sent
112,area of customs control,海关监管区,,np
113,Area Of Customs Control.,海关监管区。,,sent
114,Argentina,阿根廷,الأرجنتين,np
115,Armenia,亚美尼亚,أرمينيا,np
116,armrest,座椅扶手,,np
117,Around the corner.,转角,قريب من هنا,sent
118,arrivals,进港,,np
119,assistance,问讯处,,np
120,"At gate * go through the security check and turn left, take the moving staircase at the end of the hall, then you will find it.",*号登机口，在通过安检后左转，走到大厅的尽头乘电梯能到。,,vp
121,At what aisle is the frozen food?,冷冻食品在哪条通道?,,sent
122,Athens,雅典,أثينا,np
123,Attendant Call.,呼叫服务员,,sent
124,"Attention, please. Due to weather condition, all flights to * will be delayed.",各位旅客请注意，由于气候不佳，所有飞往*的班机都将延后起飞。,,vp
125,Auckland,奥克兰,أوكلاند,np
126,August,八月,أغسطس,np
127,aunt,姑母,,np
128,Australia,澳大利亚,أستراليا,np
129,Austria,奥地利,النمسا,np
130,automatic ticket machine,自动售票机,,np
131,autonomous region,自治区,,np
132,avenue,大道,سبيل,np
133,Azerbaijan,阿塞拜疆,أذربيجان,np
134,bachelor,学士,,np
135,back,背,ظهر,np
136,baggage,行李,,np
137,Baggage Claim,行李提取,,sent
138,baggage claim area,行李领取处,,np
139,Baggage Rack,行李架,,sent
140,baggage tag,行李牌,,np
141,Bahamas,巴哈马,الباهاما,np
142,Bahrain,巴林,البحرين,np
143,bakery,面包店,,np
144,Bali,巴厘岛,بالي,np
145,banana latte,香蕉咖啡拿铁,,np
146,banana mocha,香蕉摩卡咖啡,,np
147,Bangalore,班加罗尔,بنغالور,np
148,Bangkok,曼谷,بانكوك,np
149,Bangladesh,孟加拉国,بنغلاديش,np
150,bank,银行,,np
151,bar,酒巴,,np
152,Barbados,巴巴多斯,بربادوس,np
153,Barcelona,巴塞罗那,برشلونة,np
154,bars,酒吧,مشرب,np
155,basket,篮子,,np
156,bathroom,卫生间,‏حمام,np
157,batteries,电池,بطارية,np
158,Be Careful When Using The Bath.,使用此浴室时小心。,,sent
159,Be Careful.,小心路滑。,,sent
160,"Be seated, please.",请坐。,,sent
161,beans,豆,فول,np
162,bedsheets,床单,ملاءات السرير,np
163,beef,牛肉,لحم بقري,np
164,beer,啤酒,بيرة,np
165,beer glass,啤酒杯,,np
166,before,以前,قبل,adv
167,Beijing,北京,بكين,np
168,Beirut,贝鲁特,بيروت,np
169,Belarus,白俄罗斯,روسيا البيضاء,np
170,Belfast,贝尔法斯特,بلفاست,np
171,Belgium,比利时,بلجيكا,np
172,Belgrade,贝尔格莱德,بلغراد,np
173,Belize,伯利兹,بليز,np
174,belt,带,,np
175,Benin,贝宁,بنين,np
176,Berlin,柏林,البرلينية,np
177,beware of pickpocket,谨防扒手,,np
178,Bhopal,博帕尔,بوبال,np
179,Bhutan,不丹,بوتان,np
180,bigger,更大,أكبر,adj
181,bike parking,自行车存车处,,np
182,billion,十亿,مليار‎,num
183,Birmingham,伯明翰,برمنغهام,np
184,birthdate,出生日期,,np
185,birthday,生日,عيد الميلاد,np
186,birthplace,出生地点,مسقط الرأس,np
187,black,黑色,أسود,adj
188,"Black coffee, please.",请来杯黑咖啡。,,sent
189,black pepper,黑胡椒,فلفل أسود,np
190,black tea,红茶,شاي أسود,np
191,blackberry latte,黑莓咖啡拿铁,,np
192,blanket,毛毯,,np
193,bloodtype,血型,,np
194,blue,蓝色,أزرق,adj
195,boarder,寄宿生,,np
196,boarding,登机,,np
197,boarding gate,登机口,,np
198,Boarding Gate.,登机口。,,sent
199,boarding pass,登机牌,,np
200,"Boarding passes and IDs, please!",请出示登记证和身份证!,,sent
201,Boarding time is *.,登机时间是*。,,vp
202,body,身体,الجسم,np
203,boeing,波音,,np
204,Bogota,波哥大,بوغوتا,np
205,boiled water,开水,ماء مغلي,np
206,Bolivia,玻利维亚,بوليفيا,np
207,Bordeaux,波尔多,بوردو,np
208,born,生于,,np
209,Bosnia Herzegovina,波黑,البوسنة الهرسك,np
210,Both flights have seats available.,两次航班都有座。,,sent
211,Botswana,博茨瓦纳,بوتسوانا,np
212,bottled water,矿泉水,مياه معبأة,np
213,Bottoms up!,干杯!,,sent
214,Brasilia,巴西利亚,برازيليا,np
215,Bratislava,布拉迪斯拉发,براتيسلافا,np
216,Brazil,巴西,البرازيل,np
217,bread,面包,خبز,np
218,bread plate,面包碟,,np
219,breakfast,早饭,وجبة افطار,np
220,Brighton,布莱顿,برايتون,np
221,Brisbane,布里斯班,بريسبان,np
222,Bristol,布里斯托尔,بريستول,np
223,brother,兄弟,,np
224,brother-in-law,大伯,,np
225,brown,褐色,بني,adj
226,brown sugar,红糖,,np
227,Brunei,文莱,بروناي,np
228,Brussels,布鲁塞尔,بروكسل,np
229,Bucharest,布加勒斯特,بوخارست,np
230,Budapest,布达佩斯,بودابست,np
231,Buenos Aires,布宜诺斯艾利斯,بوينس آيرس،,np
232,Bulgaria,保加利亚,بلغاريا,np
233,bumpy flight,不平稳的飞行,,np
234,Burkina,布基纳法索,فاسو,np
235,Burundi,布隆迪,بوروندي,np
236,bus,公共汽车,,np
237,bus station,公家车站,محطة حافلات,np
238,Busan,釜山,بوسان,np
239,business class,商务客舱,,np
240,Business class.,公务舱。,,sent
241,business hours,营业时间,,np
242,business phone,办公电话,,np
243,butter,黄油,زبدة,np
244,butter knife,牛油刀,,np
245,butter plate,牛油碟,,np
246,buttocks,屁股,مؤخرة,np
247,Bye,拜拜。,باي باي,sent
248,cafe,咖啡室,مقهى,np
249,cafe americano,美式咖啡,,np
250,cafe latte,拿铁咖啡,,np
251,Cairo,开罗,القاهرة,np
252,cake knife,柄铲,,np
253,Calgary,卡尔加里,كالجاري,np
254,Cali,卡利,كالي,np
255,Cambodia,柬埔寨,كمبوديا,np
256,Cameroon,喀麦隆,الكاميرون,np
257,Can anyone tell me where I can buy the ingredients to make * food?,谁能告诉我哪里可以买到做*菜的原材料?,,vp
258,Can I cancel my reservation?,我能取消我的预定吗?,,sent
259,Can I change seats with you?,我可以跟你换位子吗?,,sent
260,Can I get a bag?,我可以要一个袋子吗？,هل استطيع الحصول على حقيبة؟,sent
261,Can I get insurance?,我可以买保险吗？,هل أستطيع الحصول على تأمين؟,sent
262,Can I get on the earlier flight instead?,我可以换成早一点的航班吗?,,sent
263,"Can I have a one-way ticket to *, please?",请给我一张去*的单程票好吗?,,vp
264,Can I have another blank?,我能再要条毯子吗?,,sent
265,Can I just pay a fine now?,我可以缴交罚款吗？,هل استطيع دفع غرامة أدفع غرامة الآن؟,sent
266,"Can I look at the menu, please?",请给我看看菜单.,قائمة الطعام، من فضلك؟,sent
267,Can I make a telephone call?,我可以打个电话吗？,هل يمكنني الحصول على مكالمة هاتفية؟,sent
268,Can I make an appointment?,我可以预约吗？,هل يمكنني حجز موعد؟,sent
269,Can I make international calls here?,可以打国际电话吗?,هل استطيع القيام بمكالمة دولية من هنا؟,sent
270,Can I move to an empty seat over there?,我可以移到那边的空座位吗?,,sent
271,Can I print here?,我可以复印吗？,هل يمكنني الطبع من هنا؟,sent
272,"Can I see your ticket, please?",我可以看看你的票吗?,,sent
273,Can I take one of those empty saets over there?,我可以坐在那边其中的一个空座吗?,,sent
274,Can I use your cell phone?,我可以用您的手机吗？,أيمكنني إستخدام هاتفك؟,sent
275,Can I use your phone?,我可以用您的电话吗？,أيمكنني استخدام هاتفك النقال؟,sent
276,Can we have a quiet area?,我可以要一个安静的地方吗?,,sent
277,Can you change money for me?,你可以帮我换钱吗？,هل يمكنك تحويل مال لي؟,sent
278,"Can you change the reservation, please?",我能更改一下订票的班机吗?,,sent
279,Can you come here when you have a second?,你有空时能到这里来一下吗?,,sent
280,Can you get a doctor?,你可以帮我找一位医生吗？,هل يمكنك أن تحضر طبيب؟,sent
281,Can you give me your contact information?,你能给我你的联系方式吗?,,sent
282,Can you help me find my seat?,你能帮我找到我的座位吗?,,sent
283,Can you help me get my baggage? It's too heavy.,你能帮我拿行李吗? 实在太重了。,,sent
284,Can you show me on the map?,你可以在地图上指给我看?,هل يمكنك أن تريني أين هو على الخريطة؟,sent
285,Can you show me the way to my seat?,你能指给我的座位吗?,,sent
286,Can you speak *?,你可以说*吗？,عل يمكنك تحدث ال*؟,vp
287,Can you suggest another hotel?,你有其他推荐的酒店吗？,هل يمكنك اقتراح فندق آخر؟,sent
288,Can you tell me how to fasten the seat belt?,您能告诉我怎么系安全带吗?,,sent
289,Can you tell me how to unfasten the seat belt?,您能告诉我安全带怎么解开吗?,,sent
290,Can you tell me where * is?,你可以告诉我*在那里吗？,اين *؟,vp
291,Can you tell me where seat * is?,你能告诉我*座位在哪儿吗?,,vp
292,Can you tell me your flight number?,能告诉我你乘坐的航班号吗?,,sent
293,Can you wake me at *?,请在明天*点钟叫醒我。,هل تستطيع إيقاظي الساعة *؟,vp
294,Can you write the name and address down?,你可以写下名字和地址吗？,هل يمكنك أن تكتب لي الإسم و العنوان؟,sent
295,Canada,加拿大,كندا,np
296,Canberra,堪培拉,كانبيرا,np
297,candid,正直的,,np
298,Cape Town,开普敦,كيب تاون,np
299,Cape Verde,佛得角,الرأس الأخضر,np
300,cappuccino,意大利泡沫咖啡,,np
301,captain,机长,,np
302,Captain and all the members of his crew thank you for flying with us.,机长和所有组员感谢各位旅客搭乘本班机。,,sent
303,captain orde,点菜本,,np
304,car,汽车,سيارة,np
305,car hire,租车处,,np
306,carbonated water,碳酸水,مياه غازية,np
307,Cardiff,加的夫,كارديف,np
308,carrier,承运公司,,np
309,carry-on baggage,随身行李,,np
310,Casablanca,卡萨布兰卡,الدار البيضاء,np
311,cash,现金,أوراق مالية,np
312,Caution：Slippery!,注意：滑!,,sent
313,cellphone,手机,,np
314,Central African Republic,中非共和国,ممثل وسط افريقيا,np
315,Chad,乍得,تشاد,np
316,cheap,便宜,رخيص,adj
317,cheaper,比较便宜,أرخص,adj
318,check,支票,شيك,np
319,check in area,办理登机区,,np
320,Check in area.,办理登机区。,,sent
321,Check in zone.,办理登机区。,,sent
322,Check In.,办理入住。,,sent
323,Check Out.,办理离店手续。,,sent
324,check-in,登机手续办理,,np
325,Check-in all destinations.,办理飞往世界各地登机手续。,,sent
326,checked baggage,托运的行李,,np
327,"Checking is done, thank you for your corporation.",检查完毕，谢谢合作。,,sent
328,Cheers!,干杯!,,sent
329,cheese,奶酪,جبنة,np
330,cheese powder,芝士粉,,np
331,Chengdu,成都,تشنغدو,np
332,Chennai,奈,تشيناي,np
333,cherry latte,樱桃咖啡拿铁,,np
334,cherry mocha,樱桃摩卡咖啡,,np
335,chest,胸部,صدر,np
336,chewing gum,口香糖,,np
337,chicken,鸡,دجاج,np
338,child,孩子,,np
339,children and women first,妇女、儿童优先,,np
340,Chile,智利,تشيلي,np
341,chili sauce,辣椒酱,,np
342,China,中国,الصين,np
343,chocolate coffee,巧克力咖啡,,np
344,Chongqing,渝,تشونغتشينغ,np
345,Christchurch,克赖斯特彻奇,كرايستشيرش,np
346,cigarette,香烟,,np
347,circling,盘旋,,np
348,citizenship,国籍,,np
349,city,市,,np
350,city and state,城市及国家,,np
351,city where visa was issued,签证签发地,,np
352,city where you boarded,登机城市,,np
353,cleaner,清洁工,أنظف,np
354,clerk,办事员,,np
355,closed,关闭,مغلق,adj
356,Closing.,登机口关闭。,,sent
357,club soda,苏打水,صودا,np
358,coachpick-up point,大轿车乘车点,,np
359,coaste,杯垫,,np
360,coconut mocha,椰子摩卡咖啡,,np
361,coffee,咖啡,قهوة,np
362,coffee cup,咖啡杯,,np
363,coffee pot,咖啡壶,,np
364,coffee warmer,咖啡炉,,np
365,coin,硬币,,np
366,cointreau coffee,君度咖啡,,np
367,Coke,可乐,الكولا,np
368,cold medicine,感冒药,دواء للزكام,np
369,Cologne,科隆,كولونيا,np
370,Colombia,哥伦比亚,كولومبيا,np
371,colombian coffee,哥伦比亚咖啡,,np
372,Come this way please.,来这边请。,,sent
373,"Come to pay the fare and fetch your ticket * days before departure, please.",请于起飞前*天来付款取票。,,vp
374,commerce,商业人员,,np
375,commit no nuisance,禁止小便,,np
376,commoner,自费生,,np
377,Comoros,科摩罗,جزر القمر,np
378,complaint box,意见箱,,np
379,concord,协和,,np
380,condiments,调料,,np
381,Conference Facilities.,会议设施。,,sent
382,confiscated,没收,,np
383,Congo,刚果,الكونغو,np
384,control tower,机场控制台,,np
385,conveyor,输送带,,np
386,cooperative,有合作精神的,,np
387,Copenhagen,哥本哈根,كوبنهاغن,np
388,Costa Rica,哥斯达黎加,كوستا ريكا,np
389,cough,咳嗽,سعال,np
390,Could I ask when you will arrive?,请问您什么时候到达?,,sent
391,Could I talk to someone in charge?,我能跟主管谈谈吗?,,sent
392,Could we have another one?,我们能换个其他的吗?,,sent
393,Could you describe your baggage?,你能描述一下你的行李吗?,,sent
394,Could you get a few small plates for us?,能给我们拿些小盘吗?,,sent
395,"Could you get me on that flight, please?",能设法让我搭上那班飞机吗?,,sent
396,Could you give me a window seat?,可以给我靠窗的座位吗?,,sent
397,Could you give me more paper napkins?,你能多给一些餐巾纸吗?,,sent
398,Could you give me one more blanket?,能再给我一条毯子吗?,,sent
399,Could you give me some airsickness medicine?,能给我些晕机药吗?,,sent
400,"Could you hold the line, please? I'll check our room availability for that day.",请别挂断? 我要查一下那天的空房间。,,sent
401,Could you please *?,可以请你*吗？,لو سمحتو هل يمكنك أن *؟,vp
402,Could you please help me put my baggage up there?,可以帮我把行李放上去吗?,,sent
403,"Could you put your seat up, please?",请竖直椅背好吗?,,sent
404,Could you recommend some good restaurants around here?,你能推荐几家附近的好餐馆吗?,,sent
405,Could you repeat that?,你可以重复一遍吗？,هل يمكنك أن تكرر هذا؟,sent
406,Could you repeat your order again?,能再说下您点的餐吗?,,sent
407,Could you see if it's ready?,能看看是否做好了吗?,,sent
408,Could you tell me the current price?,你能告诉我现在房价是多少吗?,,sent
409,Could you tell me where to deal with the formalities?,您能告诉我去哪里办理手续吗?,,sent
410,"Could you tell me your name, Sir?",能告诉我你的名字吗，先生?,,sent
411,"Could you wait a little longer, please?",请您等稍长点时间可以吗?,,sent
412,Could you wait at the bar until I find an approprite table for you?,您能在吧台等一下，我为您找张合适的桌子?,,sent
413,"Could you wait in line until a table is free, please?",请您排队等候空位好吗?,,sent
414,Could you weight this?,你能称一下这个吗?,,sent
415,Could you wrap this?,你能把这个打包吗?,,sent
416,country of citizenship,国籍,,np
417,country of origin,原住地,,np
418,county,县,,np
419,couple,夫妻,,np
420,courses taken,所学课程,,np
421,cousin,堂兄妹,,np
422,Coventry,考文垂,كوفنتري,np
423,cover,菜盖,,np
424,Cream and sugar.,要加糖和奶油。,,sent
425,creamer,奶勺,,np
426,credit card,信用卡,بطاقة ائتمان,np
427,Croatia,克罗地亚,كرواتيا,np
428,Cuba,古巴,كوبا,np
429,currency declaration,货币申报,,np
430,current address,目前住址,,np
431,curriculum,课程,,np
432,curry,咖喱,,np
433,customers lounges,旅客休息室,,np
434,customs,海关,,np
435,customs declaration counter,海关申报台,,np
436,Customs Declaration Counter.,海关申报台。,,sent
437,customs declaration form,海关申请表,,np
438,Customs Declaration form.,海关申请表。,,sent
439,customs service area,海关申报处,,np
440,Cyprus,塞浦路斯,قبرص,np
441,Czech Republic,捷克共和国,جمهورية التشيك,np
442,dad,爸爸,,np
443,dame coffee,贵妇人咖啡,,np
444,danger,危险,,np
445,Dar es Salaam,达累斯萨拉姆,دار السلام,np
446,date,起飞日期,,np
447,date issue,签发日期,,np
448,date of birth,出生日期,تاريخ الولادة,np
449,daughter,女儿,,np
450,daughter-in-law,儿媳,,np
451,day,日,,np
452,day-student,走读生,,np
453,decaffeinated coffee,低因咖啡,,np
454,December,十二月,ديسمبر,np
455,degree,学位,,np
456,delayed,延误,,np
457,Delhi,新德里,دلهي,np
458,demi-spoon,小咖啡勺,,np
459,Democratic Republic of Congo,刚果民主共和国,جمهورية الكونغو الديمقراطية,np
460,Denmark,丹麦,الدنمارك,np
461,Departure Gate.,登机口。,,sent
462,departure lounge,候机厅,,np
463,Departure Lounge.,候机厅。,,sent
464,departure time,起飞时间,,np
465,Departure Time On Reverse.,返航时间。,,sent
466,"Departure, Terminal *",*号候机楼,,vp
467,departures,出港,,np
468,Departures.,出港。,,sent
469,deposit,押金,وديعة,np
470,Depress Handle Until Bowl Is Empty.,压下把手直至便盆冲净为止。,,sent
471,descent,世系,,np
472,desscrt plate,甜品碟,,np
473,dessert for,甜品叉,,np
474,dessert knife,水果刀,,np
475,dessert spoon,甜品勺,,np
476,destination country,前往目的地国,,np
477,detector,探测器,,np
478,Dhaka,达卡,دكا,np
479,diarrhoea,泻肚子/拉肚子,إسهال,np
480,dictionary,词典,قاموس,np
481,Did you forget something?,遗忘了物品吗?,,sent
482,diesel,柴油,ديزل‎ سولار‎ جاز,np
483,dinner for,正餐叉,,np
484,dinner knife,正餐刀,,np
485,diplomatic,老练的,,np
486,direct flight,直飞,,np
487,disciplined,守纪律的,,np
488,disembark,下机,,np
489,dish,碟子,,np
490,district,区,,np
491,divorced,离异,,np
492,Djibouti,吉布提,جيبوتي,np
493,Do Not Hesitate To Contact Us.,请不要犹豫联系我们。,,sent
494,do not pass,禁止超车,,np
495,Do Not Smoke In The Bed.,请勿在床上吸烟。,,sent
496,Do you accept * currency?,你接受*的货币吗？,هل تقبل العملة *؟,vp
497,Do you accept credit cards?,你接受信用卡吗？,هل تقبل بطاقات الائتمان؟,sent
498,Do you accept US dollars?,你接受美元吗？,هل تقبل الدولار الأمريكي؟,sent
499,Do you go to *?,去不去*?,هل تذهب إلى *؟,vp
500,Do you have * newspapers?,你们有没有中文报纸?,,vp
501,Do you have a reservation?,您有预订吗?,,sent
502,Do you have a safe?,你们有没有保险箱？,هل لديك خزنة؟,sent
503,Do you have a table for * please?,你能安排一张四人桌吗?,,vp
504,Do you have an English menu?,你有没有英文菜单？,هل لديك قائمة بالإنجليزية؟,sent
505,Do you have any bages to check?,你有什么行李要托运吗?,,sent
506,Do you have any direct flights coming back?,回程时你们有直飞的班机吗?,,sent
507,Do you have any empty seats together somewhere?,哪有在一起的空座位呢?,,sent
508,Do you have any lower fare?,有比较便宜的机票吗?,,sent
509,Do you have any medicine for airsickness?,你们有晕机药吗?,,sent
510,Do you have any other seats open where we can sit together?,还有没有其他连在一起的座位?,,sent
511,Do you have any particular restaurant in mind?,你想好有什么特别的餐馆吗?,,sent
512,Do you have any rooms available?,你们还有房间吗？,هل لديك أي غرف متاحة؟,sent
513,Do you have any snacks?,有没有小吃？有没有点心？,هل لديك أي وجبات خفيفة؟,sent
514,Do you have any sugar substitute?,你们有代糖的吗?,,sent
515,Do you have any tickets available for that date?,你们有那天的票吗?,,sent
516,Do you have anything for airsickness?,你们有晕机药吗?,,sent
517,Do you have insurance?,你有保险吗？,هل لديك تأمين؟,sent
518,Do you have it in another color?,你们有没有另外的颜色?,هل لديك لون آخر؟,sent
519,Do you have more of this item in stock?,这种商品还有存货吗?,,sent
520,Do you have one to recommend?,你有推荐的吗?,,sent
521,Do you have the boarding pass for the next flight?,您有下一趟航班的登机牌吗?,,sent
522,Do you have this in my size?,有没有我的尺寸？,هل لديكم من هذه بمقاسي؟,sent
523,Do you have this in stock?,这个还有存货吗?,,sent
524,Do you have time for coffee?,你有空喝杯咖啡吗?,,sent
525,Do you know *?,你知道*吗？,هل تعلم *؟,vp
526,Do you know how long it will be?,你知道会延误多久吗?,,sent
527,Do you live with your parents?,你和父母住在一起吗?,,sent
528,Do you mind changing seats with me?,你介意跟我换下座位吗?,,sent
529,Do you prefer a smoking or non-smoking area?,您喜欢吸烟区还是非吸烟区?,,sent
530,Do you remember which aisle this was at?,你记得这货物在哪条货道里吗?,,sent
531,Do you sell organic vegetables here?,你们卖有机蔬菜吗?,,sent
532,Do you serve alcohol?,你们销售酒精类饮品吗？,هل تقدمون أي خمور؟,sent
533,Do you serve anything else besides drinks?,除了喝的你们这还有什么别的吗?,,sent
534,Do you ship overseas?,可以邮寄到海外吗？,هل هن,sent
535,Do you speak *?,你说日语吗?,,vp
536,Do you speak English?,你会说英语吗？,هل هناك شحن دولى؟,sent
537,Do you take * currency?,*元可以吗？,هل تقبلون عملة *؟,vp
538,Do you think you could tell the kitchen to speed it up a little bit?,你能告诉厨房速度快一点吗?,,sent
539,Do you understand?,听得懂吗？,مفهوم؟,sent
540,Do you want to fly first or economy class?,您要头等舱还是经济舱?,,sent
541,Do you want to try it?,你要不要尝一下?,,sent
542,doctor,博士,,np
543,Does it need to take so long?,用花那么长时间吗?,,sent
544,Does that include breakfast?,早餐包含在内吗？,هل هذا يشمل وجبة الافطار؟,sent
545,Does that really work? I'll give it a try.,真的有用吗? 我来试试。,,sent
546,Does the room come with *?,这个房间有没有*？,هل تحتوي هذه الغرفة على *؟,vp
547,Does this bus stop in *?,这辆巴士停在*吗？,هل تتوقف هذه الحافلة في *؟,vp
548,Does this train stop in *?,这列火车停在*吗？,هل يتوقف هذا القطار في *؟,vp
549,Doesn't matter.,没关系。,,sent
550,dogs not allowed,禁止携犬入内,,np
551,domestic airport,国内机场,,np
552,domestic departure,国内航班出站,,np
553,Domestic Departure.,国内出发。,,sent
554,domestic flight,国内班机,,np
555,domestic flights,国内航班,,np
556,Domestic Flights.,国内航班。,,sent
557,Dominica,多米尼加,دومينيكا,np
558,Dominican Republic,多明尼加共和国,جمهورية الدومنيكان,np
559,Don't Leave Valuables Unattended.,请保管好随身携带的贵重物品。,,sent
560,Don't touch me!,不要碰我！,لا تلمسني!,sent
561,Don't worry. It's just due to the lower pressure.,不用担心。只是由于低气压的缘故。,,sent
562,Double Lock Door. Use Safety Latch.,双保险门闩，请使用安全碰锁。,,sent
563,downstairs,由此下楼,,np
564,downtown,市中心,وسط البلد,np
565,drink list,酒水单,,np
566,driver's license,驾驶证件,رخصة قيادة,np
567,Dubai,迪拜,دبي,np
568,Dublin,都柏林,دبلن,np
569,duel citizenship,双重国籍,,np
570,dumpling,饺子,زلابية,np
571,Dusseldorf,杜塞尔多夫,دوسلدورف,np
572,dutiful,尽职的,,np
573,duty-free shop,免税店,,np
574,Early Book For Lunch Or Dinner.,预订午餐或晚餐。,,sent
575,Earphone Set.,耳机。,,sent
576,ears,耳朵,آذان,np
577,east,东,شرق,adj
578,East Box,东厢,,sent
579,East Timor,东帝汶,تيمور الشرقية,np
580,East Wing,东楼,,sent
581,Easy to use and great value too.,好用实惠，物美价廉。,,sent
582,economy class,经济舱,,np
583,"Economy, please.",请买经济舱。,,sent
584,Ecuador,厄瓜多尔,الإكوادور,np
585,Edinburgh,爱丁堡,ادنبره,np
586,Edmonton,埃德蒙顿,ادمونتون,np
587,education,学历,,np
588,educational background,教育程度,,np
589,educational history,学历,,np
590,educational system,学制,,np
591,efficient,有效率的,,np
