	en	cn	ar	pos
77	Can I make an appointment?	我可以预约吗？	هل يمكنني حجز موعد؟	sent
78	Can I make international calls here?	可以打国际电话吗?	هل استطيع القيام بمكالمة دولية من هنا؟	sent
300	Can I move to an empty seat over there?	我可以移到那边的空座位吗?		sent
79	Can I print here?	我可以复印吗？	هل يمكنني الطبع من هنا؟	sent
228	Can I see your ticket, please?	我可以看看你的票吗?		sent
301	Can I take one of those empty saets over there?	我可以坐在那边其中的一个空座吗?		sent
80	Can I use your cell phone?	我可以用您的手机吗？	أيمكنني إستخدام هاتفك؟	sent
81	Can I use your phone?	我可以用您的电话吗？	أيمكنني استخدام هاتفك النقال؟	sent
974	Can anyone tell me where I can buy the ingredients to make * food?	谁能告诉我哪里可以买到做中国菜的原材料?		sent
517	Can we have a quiet area?	我可以要一个安静的地方吗?		sent
82	Can you change money for me?	你可以帮我换钱吗？	هل يمكنك تحويل مال لي؟ 	sent
84	Can you change the reservation, please?	我能更改一下订票的班机吗?		sent
701	Can you come here when you have a second?	你有空时能到这里来一下吗?		sent
83	Can you get a doctor?	你可以帮我找一位医生吗？	هل يمكنك أن تحضر طبيب؟	sent
923	Can you give me your contact information?	你能给我你的联系方式吗?		sent
287	Can you help me find my seat?	你能帮我找到我的座位吗?		sent
428	Can you help me get my baggage? It's too heavy.	你能帮我拿行李吗? 实在太重了。		sent
84	Can you show me on the map?	你可以在地图上指给我看?	هل يمكنك أن تريني أين هو على الخريطة؟	sent
286	Can you show me the way to my seat?	你能指给我的座位吗?		sent
85	Can you speak *?	你可以说*吗？	عل يمكنك تحدث ال*؟	vp
86	Can you suggest another hotel?	你有其他推荐的酒店吗？	هل يمكنك اقتراح فندق آخر؟	sent
312	Can you tell me how to fasten the seat belt?	您能告诉我怎么系安全带吗?		sent
313	Can you tell me how to unfasten the seat belt?	您能告诉我安全带怎么解开吗?		sent
87	Can you tell me where * is?	你可以告诉我*在那里吗？	اين *؟	vp
285	Can you tell me where seat *A is?	你能告诉我*A座位在哪儿吗?		vp
419	Can you tell me your flight number?	能告诉我你乘坐的航班号吗?		sent
88	Can you wake me at *?	请在明天早上*点钟叫醒我。	هل تستطيع إيقاظي الساعة *؟	vp
89	Can you write the name and address down?	你可以写下名字和地址吗？	هل يمكنك أن تكتب لي الإسم و العنوان؟	sent
551	Canada	加拿大	كندا	np
873	Canberra	堪培拉	كانبيرا	np
776	Cape Town	开普敦	كيب تاون	np
552	Cape Verde	佛得角	الرأس الأخضر	np
368	Captain * and all the members of his crew thank you for flying with us.	机长汤尼与所有组员感谢各位旅客搭乘本班机。		sent
872	Cardiff	加的夫	كارديف	np
780	Casablanca	卡萨布兰卡	الدار البيضاء	np
827	Caution：Slippery!	注意：滑!		sent
553	Central African Rep	中非共和国	ممثل وسط افريقيا	np
554	Chad	乍得	تشاد	np
800	Check In.	办理入住。		sent
801	Check Out.	办理离店手续。		sent
101	Check in area.	办理登机区。		sent
102	Check in zone.	办理登机区。		sent
103	Check-in all destinations.	办理飞往世界各地登机手续。		sent
188	Checking is done, thankyou for your corporation.	检查完毕，谢谢合作。		sent
545	Cheers!	干杯!		sent
752	Chengdu	成都	تشنغدو	np
742	Chennai	奈	تشيناي	np
555	Chile	智利	تشيلي	np
556	China	中国	الصين	np
732	Chongqing	渝	تشونغتشينغ	np
883	Christchurch	克赖斯特彻奇	كرايستشيرش	np
234	Closing.	登机口关闭。		sent
669	Coffee shops are not only a good place to get a cup of coffee, but also a great place to meet customers.	咖啡店不仅是喝咖啡的好地方，而且是会见客户的好地方。		sent
103	Coke	可乐	الكولا	np
838	Cologne	科隆	كولونيا	np
557	Colombia	哥伦比亚	كولومبيا	np
472	Come this way please.	来这边请。		sent
72	Come to pay the fare and fetch your ticket * days before departure, please.	请于起飞前两天来付款取票。		sent
558	Comoros	科摩罗	جزر القمر	np
890	Conference Facilities.	会议设施。		sent
559	Congo	刚果	الكونغو	np
826	Copenhagen	哥本哈根	كوبنهاغن	np
561	Costa Rica	哥斯达黎加	كوستا ريكا	np
756	Could I ask when you will arrive?	请问您什么时候到达?		sent
654	Could I talk to someone in charge?	我能跟主管谈谈吗?		sent
516	Could we have another one?	我们能换个其他的吗?		sent
421	Could you describe your baggage?	你能描述一下你的行李吗?		sent
553	Could you get a few small plates for us?	能给我们拿些小盘吗?		sent
211	Could you get me on that flight, please?	能设法让我搭上那班飞机吗?		sent
57	Could you give me a window seat?	可以给我靠窗的座位吗?		sent
349	Could you give me more paper napkins?	你能多给一些餐巾纸吗?		sent
357	Could you give me one more blanket?	能再给我一条毯子吗?		sent
383	Could you give me some airsickness medicine?	能给我些晕机药吗?		sent
733	Could you hold the line, please? I'll check our room availability for that day.	请别挂断? 我要查一下那天的空房间。		sent
106	Could you please *?	可以请你*吗？	لو سمحتو هل يمكنك أن *؟	vp
302	Could you please help me put my baggage up there?	可以帮我把行李放上去吗?		sent
309	Could you put your seat up, please?	请竖直椅背好吗?		sent
443	Could you recommend some good restaurants around here?	你能推荐几家附近的好餐馆吗?		sent
107	Could you repeat that?	你可以重复一遍吗？	هل يمكنك أن تكرر هذا؟	sent
610	Could you repeat your order again?	能再说下您点的餐吗?		sent
577	Could you see if it's ready?	能看看是否做好了吗?		sent
737	Could you tell me the current price?	你能告诉我现在房价是多少吗?		sent
398	Could you tell me where to deal with the formalities?	您能告诉我去哪里办理手续吗?		sent
744	Could you tell me your name, Sir?	能告诉我你的名字吗，先生?		sent
503	Could you wait a little longer, please?	请您等稍长点时间可以吗?		sent
498	Could you wait at the bar until I find an approprite table for you?	您能在吧台等一下，我为您找张合适的桌子?		sent
502	Could you wait in line until a table is free, please?	请您排队等候空位好吗?		sent
983	Could you weight this?	你能称一下这个吗?		sent
659	Could you wrap this?	你能把这个打包吗?		sent
880	Coventry	考文垂	كوفنتري	np
686	Cream and sugar.	要加糖和奶油。		sent
562	Croatia	克罗地亚	كرواتيا	np
563	Cuba	古巴	كوبا	np
251	Customs Declaration Counter.	海关申报台。		sent
250	Customs Declaration form.	海关申请表。		sent
564	Cyprus	塞浦路斯	قبرص	np
565	Czech Republic	捷克共和国	جمهورية التشيك	np
762	Dar es Salaam	达累斯萨拉姆	دار السلام	np
109	December	十二月	ديسمبر	np
718	Delhi	新德里	دلهي	np
560	Democratic Republic of Congo	刚果民主共和国	جمهورية الكونغو الديمقراطية	np
566	Denmark	丹麦	الدنمارك	np
214	Departure Gate.	登机口。		sent
244	Departure Lounge.	候机厅。		sent
282	Departure Time On Reverse.	返航时间。		sent
237	Departures.	出港。		sent
853	Depress Handle Until Bowl Is Empty.	压下把手直至便盆冲净为止。		sent
726	Dhaka	达卡	دكا	np
567	Djibouti	吉布提	جيبوتي	np
884	Do Not Hesitate To Contact Us.	请不要犹豫联系我们。		sent
842	Do Not Smoke In The Bed.	请勿在床上吸烟。		sent
114	Do you accept * currency?	你接受*的货币吗？	هل تقبل العملة *؟	vp
116	Do you accept US dollars?	你接受美元吗？	هل تقبل الدولار الأمريكي؟	sent
115	Do you accept credit cards?	你接受信用卡吗？	هل تقبل بطاقات الائتمان؟	sent
117	Do you go to *?	去不去*?	هل تذهب إلى *؟	vp
318	Do you have * newspapers?	你们有没有中文报纸?		sent
457	Do you have a reservation?	您有预订吗?		sent
118	Do you have a safe?	你们有没有保险箱？	هل لديك خزنة؟	sent
486	Do you have a table for * please?	你能安排一张四人桌吗?		sent
119	Do you have an English menu?	你有没有英文菜单？	هل لديك قائمة بالإنجليزية؟	sent
115	Do you have any bages to check?	你有什么行李要托运吗?		sent
45	Do you have any direct flights coming back?	回程时你们有直飞的班机吗?		sent
295	Do you have any empty seats together somewhere?	哪有在一起的空座位呢?		sent
91	Do you have any lower fare?	有比较便宜的机票吗?		sent
382	Do you have any medicine for airsickness?	你们有晕机药吗?		sent
60	Do you have any other seats open where we can sit together?	还有没有其他连在一起的座位?		sent
441	Do you have any particular restaurant in mind?	你想好有什么特别的餐馆吗?		sent
120	Do you have any rooms available?	你们还有房间吗？	هل لديك أي غرف متاحة؟	sent
121	Do you have any snacks?	有没有小吃？有没有点心？	هل لديك أي وجبات خفيفة؟	sent
689	Do you have any sugar substitute?	你们有代糖的吗?		sent
9	Do you have any tickets available for that date?	你们有那天的票吗?		sent
381	Do you have anything for airsickness?	你们有晕机药吗?		sent
122	Do you have insurance?	你有保险吗？	هل لديك تأمين؟	sent
123	Do you have it in another color?	你们有没有另外的颜色?	هل لديك لون آخر؟	sent
999	Do you have more of this item in stock?	这种商品还有存货吗?		sent
442	Do you have one to recommend?	你有推荐的吗?		sent
405	Do you have the boarding pass for the next flight?	您有下一趟航班的登机牌吗?		sent
124	Do you have this in my size?	有没有我的尺寸？	هل لديكم من هذه بمقاسي؟	sent
998	Do you have this in stock?	这个还有存货吗?		sent
664	Do you have time for coffee?	你有空喝杯咖啡吗?		sent
125	Do you know *?	你知道*吗？	هل تعلم *؟	vp
202	Do you know how long it will be?	你知道会延误多久吗?		sent
902	Do you live with your parents?	你和父母住在一起吗?		sent
297	Do you mind changing seats with me?	你介意跟我换下座位吗?		sent
489	Do you prefer a smoking or non-smoking area?	您喜欢吸烟区还是非吸烟区?		sent
973	Do you remember which aisle this was at?	你记得这货物在哪条货道里吗?		sent
987	Do you sell organic vegetables here?	你们卖有机蔬菜吗?		sent
126	Do you serve alcohol?	你们销售酒精类饮品吗？	هل تقدمون أي خمور؟	sent
698	Do you serve anything else besides drinks? Say, cake.	除了喝的你们这还有什么别的吗? 比如蛋糕。		sent
127	Do you ship overseas?	可以邮寄到海外吗？	هل هن	sent
905	Do you speak *?	你说日语吗?		sent
128	Do you speak English?	你会说英语吗？	هل هناك شحن دولى؟	sent
129	Do you take * currency?	*元可以吗？	هل تقبلون عملة *؟	vp
584	Do you think you could tell the kitchen to speed it up a little bit?	你能告诉厨房速度快一点吗?		sent
130	Do you understand?	听得懂吗？	مفهوم؟	sent
31	Do you want to fly first or economy class?	您要头等舱还是经济舱?		sent
962	Do you want to try it?	你要不要尝一下?		sent
593	Does it need to take so long?	用花那么长时间吗?		sent
131	Does that include breakfast?	早餐包含在内吗？	هل هذا يشمل وجبة الافطار؟	sent
391	Does that really work? I'll give it a try.	真的有用吗? 我来试试。		sent
132	Does the room come with *?	这个房间有没有*？	هل تحتوي هذه الغرفة على *؟	vp
133	Does this bus stop in *?	这辆巴士停在*吗？	هل تتوقف هذه الحافلة في *؟	vp
134	Does this train stop in *?	这列火车停在*吗？	هل يتوقف هذا القطار في *؟	vp
491	Doesn't matter.	没关系。		sent
238	Domestic Departure.	国内出发。		sent
239	Domestic Flights.	国内航班。		sent
568	Dominica	多米尼加	دومينيكا	np
569	Dominican Republic	多明尼加共和国	جمهورية الدومنيكان	np
835	Don't Leave Valuables Unattended.	请保管好随身携带的贵重物品。		sent
135	Don't touch me!	不要碰我！	لا تلمسني!	sent
388	Don't worry, Sir. It's just due to the lower pressure.	不用担心，先生。只是由于低气压的缘故。		sent
829	Double Lock Door. Use Safety Latch.	双保险门闩，请使用安全碰锁。		sent
793	Dubai	迪拜	دبي	np
832	Dublin	都柏林	دبلن	np
865	Dusseldorf	杜塞尔多夫	دوسلدورف	np
870	Early Book For Lunch Or Dinner.	预订午餐或晚餐。		sent
278	Earphone Set.	耳机。		sent
813	East Box	东厢		sent
570	East Timor	东帝汶	تيمور الشرقية	np
811	East Wing	东楼		sent
1003	Easy to use and great value too.	好用实惠，物美价廉。		sent
34	Economy, please.	请买经济舱。		sent
571	Ecuador	厄瓜多尔	الإكوادور	np
871	Edinburgh	爱丁堡	ادنبره	np
822	Edmonton	埃德蒙顿	ادمونتون	np
572	Egypt	埃及	مصر	np
573	El Salvador	萨尔瓦多	السلفادور	np
268	Emergency Exit.	紧急出口。		sent
887	Employees Must Wash Hands Before Returning To Work.	员工便后必须洗手方可回到工作岗位。		sent
142	English books	英文书	كتب إنجليزية	np
143	English magazines	英文杂志	مجلات انجليزية	np
144	English newspaper	英文报纸	جريدة إنجليزية	np
231	Enjoy your flight!	飞行愉快!		sent
351	Enjoy your meal.	祝您用餐愉快。		sent
574	Equatorial Guinea	赤道几内亚	غينيا الإستوائية	np
575	Eritrea	厄立特里亚	إريتريا	np
576	Estonia	爱沙尼亚	استونيا	np
577	Ethiopia	埃塞俄比亚	أثيوبيا	np
187	Everything checks out.	一切检查完毕。		sent
147	Excellent!	太棒了！	ممتاز!	sent
794	Excuse me, but is the reservation for you?	对不起，是您预定的?		sent
415	Excuse me, this is my bag.	借过一下，这是我的行李。		sent
148	Excuse me. (begging pardon)	打扰一下。	أعذرني	sent
149	Excuse me. (coming through)	对不起。	لو سمحت	sent
150	Excuse me. (getting attention)	请问。	معذرة	sent
329	Excuse me. What would you like to eat, * cuisine food or / food?	打扰一下，请问您要吃什么，中餐还是西餐?		sent
291	Excuse me. You have my seat.	不好意思，你坐到我的位子了。		sent
889	Executive Business Centre.	行政商务中心		sent
894	Exercise Facilities	锻炼设施		sent
269	Exit To All Routes.	各通道出口。		sent
267	Express Pass.	快速通道。		sent
277	Fasten Seat Belt While Seated.	就坐后请系好安全带。		sent
891	Fax And Copy Service.	传真复印服务。		sent
155	February	二月	فبراير	np
578	Fiji	斐	فيجي	np
424	Fill out this form.	填一下这张表。		sent
158	Fine, thank you.	很好, 谢谢。	بخير، شكرا لك.	sent
579	Finland	芬兰	فنلندا	np
48	First class fare of a one-way ticket from * to * is * yuan.	从北京至上海的单程机票，头等舱是*元。		vp
893	Fitness Centre.	健身中心。		sent
181	Flammable items cannot be taken with you into the aircraft.	易燃品不能随身带上飞机。		sent
200	Flight *-bound for *.	*号班机，去费城的。		vp
856	Florence	佛罗伦萨	فلورنسا	np
280	Flying Time.	飞行时间。		sent
779	For * nights from * *th until * *th.	从*月*日到*日四个晚上。		vp
511	For * people.	为*个人。	ل* أشخاص.	vp
877	For More On High Speed Internet Access, Including Trouble Shooting Information, Please Refer To The Guest Service Directory.	请查阅旅客服务指南获取更多的有关高速上网以及如何排除故障的信息。		sent
869	For Reservation Call...	预订服务请拨电话...		sent
864	For Your Convenience, Cigarettes Are Available At The Front Desk.	为了您的方便，前台有香烟出售。		sent
509	For one person.	为一个人。	لشخص واحد.	sent
721	For the night of * *th for * night(s).	订*月*日一个晚上。		vp
510	For two people.	为两个人。	لشخصين.	sent
719	For what time, Madam?	小姐，请问什么时间入住?		sent
361	For your own safety, please go back to your seat and fasten the seat belts. Thank you.	请您回到您的座位，并系好安全带，以求安全。谢谢您的合作。		sent
862	Forget Something?	遗忘了物品吗?		sent
580	France	法国	فرنسا	np
852	Frankfurt	法兰克福	فرانكفورت	np
873	Free In All Guest Rooms.	所有房间内免费登陆。		sent
164	Friday	星期五	يوم الجمعة	np
333	Fried eggs with ham.	火腿肠煎蛋。		sent
793	From * *nd for * nights.	从*月*日三个晚上。		vp
810	Front Aisle	前廊		sent
804	Front Counter	前台		sent
803	Front Desk	前台		sent
847	Full Central Heating With House Provided Hot Water * Hours.	中央暖气系统，房间*小时提供热水。		vp
846	Fully Centrally Heated.	中央暖气全部开放。		sent
581	Gabon	加蓬	الغابون	np
582	Gambia	冈比亚	غامبيا	np
895	Games Room.	游戏房。		sent
213	Gate.	登机口。		sent
858	Gaza	加沙	غزة	np
583	Georgia	格鲁吉亚	جورجيا	np
584	Germany	德国	ألمانيا	np
585	Ghana	加纳	غانا	np
700	Give me * pieces of cake.	给我来两块蛋糕吧。		sent
679	Give me a cup of coffee.	给我一杯咖啡。		sent
692	Give me a decaf.	给我一杯没有咖啡因的咖啡。		sent
4	Give me a one-way ticket to *	给我一张单程到洛杉矶的票。		sent
985	Give me a pound of tomatoes and a pound of eggplants.	给我一磅番茄和一磅茄子。		sent
830	Glasgow	格拉斯哥	غلاسكو	np
547	Glasses up!	举杯!		sent
980	Go all the way to the back and turn right.	往里走到头然后右转。		sent
475	Go right ahead.	请过。		sent
218	Go straight following the sign ang you will see the gate.	跟着指示走，你将看到登机口。		sent
171	Go straight.	直走	انطلق الى الأمام.	sent
148	Go this way, please.	请这边走。		sent
161	Go through the gate, please.	请通过安全门。		sent
173	Good evening.	晚上好。	مساء الخير.	sent
455	Good evening. Welcome to our restaurant.	晚上好，欢迎光临我们饭店。		sent
174	Good morning.	早安。	صباح الخير.	sent
175	Good night.	晚安。	تصبح على خير	sent
499	Good.	好！	جيد!	sent
176	Goodbye	再见。	مع السلامة	sent
177	Goodbye (informal)	拜拜。	باي باي	sent
264	Goods Prohibited To Be Hand-Carried.	禁止随身携带的物品。		sent
265	Goods Prohibited To Exit The Country.	禁止携带出境的物品。		sent
500	Great.	很棒！	عظيم.	sent
586	Greece	希腊	اليونان	np
587	Grenada	格林纳达	غرينادا	np
765	Guadalajara	瓜达拉哈拉	غوادالاخارا	np
733	Guangzhou	广州	قوانغتشو	np
588	Guatemala	危地马拉	غواتيمالا	np
818	Guest Room Dept.	客房部		sent
874	Guest Rooms In This Hotel Are Not Equipped With Wireless(Wifi) High Speed Internet Access.	本酒店旅客房间内没有无线上网设施。		sent
824	Guest Safety Tips.	旅客安全提示。		sent
589	Guinea	几内亚	غينيا	np
590	Guinea-Bissau	几内亚比绍	غينيا بيساو	np
591	Guyana	圭亚那	غيانا	np
592	Haiti	海地	هايتي	np
875	Halifax	哈利法克斯	هاليفاكس	np
808	Hamburg	汉堡	هامبورغ	np
851	Hamilton	汉密尔顿	هاميلتون	np
816	Handicapped Room.	残疾人房间。		sent
802	Havana	哈瓦那	هافانا	np
232	Have a nice flight!	飞行愉快!		sent
931	Have we ever met?	我们以前见过面吗?		sent
456	Have you made a reservation?	您预订订座了吗?		sent
930	Have you met before?	你们以前见过吗?		sent
106	Have your ticket and passport ready for the check-in agent.	请将机票和护照准备好办理登机手续。		sent
928	He's a nice guy.	他是个好人。		sent
188	Hello.	你好。	مرحبا.	sent
189	Help!	救命！	النجدة!	sent
833	Helsinki	赫尔辛基	هلسنكي	np
230	Here are my passport and ticket.	这是我的护照和机票。		sent
191	Here by yourself?	你自己一个人吗？	هل أنت(ي) هنا لوحدك؟	sent
128	Here is your boarding pass.	这是您的登机牌。		sent
183	Here is your receipt.	这是给您的没收单据。		sent
426	Here it is.	在这儿。		sent
920	Here's my business card.	这是我的名片。		sent
539	Here's the menu.	这是菜单。		sent
385	Here's your medicine.	这是给你的药。		sent
127	Here's your ticket, boarding pass, passport and baggage claim tag.	这是您的机票，登机证，护照和行李提领证。		sent
126	Here's your ticket, your boarding pass and the tag of your baggage.	这是您的机票、登机牌和行李签。		sent
960	Here, take one of these trolleys.	在这，取一辆手推车吧。		sent
515	Hi!	你好！	مرحبا!	sent
871	High-Speed Wireless Internet.	高速无线上网		sent
800	Hiroshima	广岛	هيروشيما	np
835	Ho Chi Minh City	胡志明市	مدينة هو تشي مينه	np
13	Hold on a second please, Let me see...	请稍等，让我看一下...		sent
593	Honduras	洪都拉斯	هندوراس	np
887	Hong Kong	香港	هونغ كونغ	np
878	Hospitality Promise	服务承诺		sent
819	House Keeping Dept.	客房部		sent
665	How about a coffee?	来杯咖啡怎么样?		sent
513	How about this table?	这张桌子可以吗?		sent
392	How are you feeling now?	现在感觉如何?		sent
193	How are you?	你好吗？	كيف حالك	sent
924	How can I contact you?	我怎么联系你呢?		sent
411	How can I get to the baggage claim area?	去行李领取处怎么走呢?		sent
406	How do I deal with my luggage?	我的行李怎么办呢?		sent
