,en,ar,cn
514,Do you have an English menu?,,你有没有英文菜单？
343,Do you have any bar snacks?,,有没有吧台小吃？
249,Do you have any rooms available?,,你们有房间吗？
257,Do you have anything quieter?,,
488,Do you have it in another colour?,,你们有没有另外颜色?
347,Do you have this in my size?,,有没有我的尺寸？
329,Do you serve alcohol?,,卖不卖酒？
357,Do you ship (overseas)?,,可以邮寄到海外吗？
13,Do you speak English?,هل تتكلم الانجليزية,你会说英语吗？
14,Do you speak English?,هل تتكلم الإنجليزية؟,你会说英语吗？
251,Does the room come with...,,有没有...
213,Does this train/bus stop in _____?,/ *,
23,Don't touch me!,لا تلمسني,不要碰我！
2,ENTRANCE,دخول,
3,EXIT,خروج,
444,Ears.,,耳朵。
555,English-Chinese dictionar,,英汉词典
551,English-language book,,英文书
375,English-language books,كتب إنجليزية,
552,English-language magazine,,英文杂志
376,English-language magazines,مجلات انكليزية,
553,English-language newspape,,英文报纸
324,"Excuse me, waiter? (getting attention of server)",,
408,Excuse me. (begging pardon),,打扰一下。
409,Excuse me. (coming through),,对不起
407,Excuse me. (getting attention),,请问
443,Eyes.,,眼睛。
9,FORBIDDEN,ممنوع,
446,Face.,,脸。
188,February,شباط‎ فبراير,二月
438,Feet.,,脚。
428,Fever.,,发烧。
399,"Fine, thank you.",,"很好, 谢谢。"
435,Fingers.,,手指。
185,Friday,يوم الجمعة,星期五
90,Go,ذهب,
497,Go straight,,一直走
415,Good evening.,,晚上好。
414,Good morning.,,早安。
18,Good night.,تصبح على خير,晚安。
10,Goodbye,مع السلامة,再见。
11,Goodbye (informal),باي باي,拜拜。
447,Hair.,,头发。
434,Hands/Arms.,,手。
448,Head.,,头。
397,Hello.,,你好。
16,Help!,النجدة ; إلحقوني,
413,Help! (in emergencies),,救命！
453,Hip/Waist.,,腰。
398,How are you?,,你好吗？
491,How do I get to * ?,,怎么去*?
216,How do I get to _____ ?,,
247,How much does it cost to get to _____?,,
250,How much is a room for one person/two people?,,
489,How much is a ticket to *?,,去*的票多少钱?
209,How much is a ticket to _____?,*,
562,How much is it per hour?,,一小时是多少钱?
560,How much is it to America/Australia/Britain/Canada?,,打给 美国/澳洲/英国/加拿大 是多少钱?
125,How much is this?,بكم هذا,多少钱？
126,How much is this?,بكم هذا؟,多少钱？
124,How much?,بكم,
109,I,انا,
393,I am an American/Australian/British/Canadian citizen.,,我是 美国/澳洲/英国/加拿大 公民。
423,I am sick.,,我生病了。
352,I can't afford it.,,我付不起。
12,I can't speak Arabic [well].,لا اتكلم عربي جيدا,
412,I can't speak Chinese.,,我不会讲中文。
287,I don't eat beef.,,
286,I don't eat pork.,,
133,I don't have,ليس عندي,
136,I don't speak Arabic,لا أتكلم العربية    /    ما باحكي عربي,
134,I don't understand,أنا لا أفهم    / أنا مش فاهم,
416,I don't understand (something heard).,,我听不懂。
417,I don't understand (something read).,,我看不懂。
19,I don't understand.,لا افهم,
131,I don't want,لا أريد,
419,I don't want it! (useful for people who come up trying to sell you something),,我不要
353,I don't want it.,,我不要。
132,I have,لي  /  لدي /  عندي,
389,I haven't done anything wrong.,ما عملت اشي غلط,我没有做错事。
30,I lost my bag.,,我丟了手提包。
31,I lost my wallet.,,我丟了钱包。
34,I need a doctor.,,我需要医生。
395,I need to talk to a lawyer.,محتاج أحكي مع محامي,
27,I need your help.,محتاج مساعدة لو سمحت,我需要你的帮助。
358,I need...,,我要*
288,I only eat Halal food.,,
130,I want,أريد,
296,I want _____.,*أريد,
297,I want a dish containing _____.,,
270,I want to check out.,,我现在要走了。
379,I want to rent a car.,أريد استئجار سيارة,我想要租车。
558,I want to talk to a lawyer.,,我希望跟律师联系。
394,I want to talk to the American/Australian/British/Canadian embassy/consulate.,/// /,我希望跟 美国/澳洲/英国/加拿大 的 大使馆/领事馆 联系。
508,I will stay for * night(s).,,我打算住*夜。
263,I will stay for _____ night(s).,*,
135,I work at the _____.,*  *أعمل في /    *أنا باشتغل في,
24,I'll call the police.,سأتصل بالشرطة‏ ‎,我会叫警察。
515,I'm a vegetarian,,我吃素的
285,I'm a vegetarian.,,
325,I'm finished.,,
29,I'm lost.,أنا تايه,我迷路了。
355,I'm not interested.,,我没有兴趣。
32,I'm sick.,,我生病了。
410,I'm sorry.,,对不起。
33,I've been injured.,إنني مصاب,我受伤了。
498,I've reached my destination,,到了
267,Is breakfast/supper included?,,
283,Is there a house specialty?,,
284,Is there a local specialty?,,
15,Is there someone here who speaks English?,حد بيتكلم انجليزي؟,这里有人会说英语吗？
330,Is there table service?,,有没有餐桌服务？
473,It is nine in the morning.,,早上9点钟。
390,It was a misunderstanding.,كان سوء تفاهم,这是误会。
326,It was delicious.,كان لذيذ‏ ‎,很好吃。
420,It's an emergency.,,这是紧急情况。
411,"It's okay. (polite response to ""I'm sorry"")",,没关系
426,Itchy/ticklish.,,痒。
187,January,كانون الثاني‎ يناير,一月
193,July,تموز‎ يوليو,七月
192,June,حزيران‎ يونيو,六月
22,Leave me alone.,,不要打扰我。
440,Legs.,,腿。
17,Look out!,انتبه,
7,MEN,رجال,
189,March,آذار‎ مارس,三月
191,May,أيار‎ مايو,五月
315,May I have a bottle of _____?,,
314,May I have a cup of _____?,,
313,May I have a glass of _____?,,
321,May I have some _____?,,
400,"May I please ask, what is your name?",,请问你叫什么名?
256,May I see the room first?,,
28,Medical emergency,إسعاف,
181,Monday,يوم الاثنين,星期一
402,My name is * .,,我叫 * 。
441,Nails.,,指甲。
449,Neck.,,颈项/脖子。
403,Nice to meet you.,,很高兴认识你。
445,Nose.,,鼻子。
197,November,تشرن الثاني‎ نوفمبر,十一月
261,"OK, I'll take it.",,我要买这个。
0,OPEN,مفتوح,
196,October,تشرن الأول‎ أكتوبر,十月
344,"One more, please.",,请再给我一个。
210,"One ticket to _____, please.",*,
5,PULL,اسحب,
4,PUSH,ادفع,
424,Painful.,,痛。
433,Phlegm.,,痰。
269,Please clean my room.,,
327,Please clear the plates.,,
532,Please provide me with a carrier-bag.,,请给我袋子。
502,Please turn up the aircon/heater,,请把空调开大一点。
501,Please use the meter machine,,请打表
404,Please.,,请。
25,Police!,,警察！
432,Running nose.,,流鼻涕
186,Saturday,يوم السبت,星期六
195,September,أيلول‎ سبتمبر,九月
437,Shoulder.,,肩膀。
98,Show me.,أرني,
430,Sneeze.,,打喷嚏
427,Sore (In muscle strains).,,酸。
91,Stop,وقف,
26,Stop! Thief!,اوقف حرامي‏ ‎,住手！小偷！
180,Sunday,يوم الأحد,星期天
507,T,,电
6,TOILET,حمام,
248,"Take me there, please.",,
503,"Take me to *, please.",,请您开到*。
246,"Take me to _____, please.",,
500,Taxi driver,,司机
245,Taxi!,تاكسي‏ ‎,
405,Thank you.,,谢谢。
348,That's too expensive.,""" """,太贵了。
328,"The check, please.",,请结帐。
474,Three-thirty PM.,,下午3点半.
450,Throat.,,喉咙。
184,Thursday,يوم الخميس,星期四
439,Toes.,,脚指。
182,Tuesday,يوم الثلاثاء,星期二
92,Turn left,لف يسار,
230,Turn left.,لف يسار,左边转弯
93,Turn right,لف يمين,
231,Turn right.,لف يمين,右边转弯
499,U-turn,,掉头
425,Uncomfortable.,,不舒服。
128,Understand?,مفهوم؟,
8,WOMEN,سيدات,
108,Wait one minute.,إنتظر دقيقه واحده,
97,Wait or stay,انتظر,
237,Watch for the _____.,,
183,Wednesday,يوم الأربعاء,星期三
278,What is the exchange rate?,,
129,What is this?,ما هذا؟,
401,What is your name?,,你叫什么名字？
268,What time is breakfast/supper?,,
472,What time is it?,,现在几点？
120,What?,ما/ماذا /,
214,When does the train/bus for _____ leave?,/  *,
346,When is closing time?,,几点打烊/关门？
215,When will this train/bus arrive in _____?,/ *,
121,When?,متى,
224,Where are there a lot of...,,
127,Where are you from?,من أين أنت,
391,Where are you taking me?,وين/فين آخدني,你带我去哪里？
561,Where can I find an Internet cafe?,,哪里有网吧?
277,Where can I get a traveler's check changed?,,
275,Where can I get money changed?,,
211,Where does this train/bus go?,/         /,
279,Where is an automatic teller machine (ATM)?,وين فيه ايه تي ام؟,
418,Where is the bathroom（polite)?,,洗手间在哪里？
20,Where is the toilet?,وين/فين الحمام؟ /,厕所在哪里？
212,Where is the train/bus to _____?,/  *,
530,Where is the washingroom?,,洗手间在哪儿？
122,Where?,اين,
119,Who?,من,
123,Why?,لماذا,
531,Would you take *?,,*元可以吗？
349,Would you take _____?,,
436,Wrist.,,手腕。
354,You're cheating me.,,你在骗我。
406,You're welcome.,,不客气。
335,"_____ (hard liquor) and _____ (mixer), please.",*  *,
170,_____ day(s),‏* يوم,
169,_____ hour(s),‏* ساعة,
168,_____ minute(s),‏* دقيقة,
172,_____ month(s),‏* ‏ ‎( (,
171,_____ week(s),‏* أسبوع,
173,_____ year(s),‏* سنة,
255,a TV,‏تلفزيون,
253,a bathroom,‏حمام,
374,a pen,قلم,
370,a postcard,بطاقة بريدية,
367,a razor,,
254,a telephone,‏تليفون,
360,a toothbrush,,
103,after,بعد,
159,afternoon,بعد ظهر,下午
154,airplane,طائرة,
494,airpor,,机
378,an English-English dictionary,,
377,an English-language newspaper,جرائد إنجليزية,
368,an umbrella,,
496,avenue,,大道
227,bars,,
505,bathroo,,浴
546,batterie,,电池
372,batteries,,
312,beans,فول,
504,bedsheet,,床
252,bedsheets,‏شراشف‎ ملايات,
299,beef,بقر,牛肉
319,beer,بيرة,啤酒
101,before,قبل,以前
236,before the _____,,
258,bigger,,
199,black,أسود,黑色
322,black pepper,فلفل أسود,
525,black tea,,红茶
203,blue,أزرق,蓝色
529,boiled water,,开水
308,bread,,面包
292,breakfast,,早饭
208,brown,بني,褐色
493,bus statio,,汽车总
323,butter,زبدة,
143,car,سيارة,
511,cash,,现钱
351,cheap,رخيص,便宜
260,cheaper,,
513,check,,支票
303,cheese,جبنة,奶酪
298,chicken,دجاج‎ فراخ,鸡
259,cleaner,,
339,club soda,,苏打水
138,coffee,قهوة,咖啡
539,cold medicin,,感冒药
365,cold medicine,,
512,credit card,,信用卡
388,diesel,ديزل‎ سولار‎ جاز,柴油
244,downhill,,
220,downtown,,
521,dumpling,,饺子
241,east,شرق,东
304,eggs,بيض,鸡蛋
160,evening,مساء,
471,evening/night,,晚上
350,expensive,غالي,贵
300,fish,سمك,鱼
290,fixed-price meal,,
520,fried rice,,炒饭
106,from,من,
556,gas (petrol) station,,加油站
386,gas/petrol station,محطة بنزين,
550,glasse,,眼镜
487,gold,,金色
201,gray,رمادي,
205,green,أخضر,绿色
523,green tea,,绿茶
486,grey,,灰色
87,half,نصف,半
301,ham,خنزير,
112,he,هو ;,
99,here,هنا,
144,hotel,فندق   /  اوتيل,
225,hotels,,
238,intersection,,
317,juice,عصير,果汁
178,last week,الأسبوع الماضي,上个星期
157,later,لاحقاً,以后
232,left,يسار,左边
88,less,اقل,
469,less than,,少於
266,lockers,,
293,lunch,,午饭
310,macaroni,مكرونة,
167,midnight,متصف الليلة‎ نص الليل,半夜
152,milk,حليب,牛奶
528,mineral spring (i.e. bottled) water,,矿泉水
137,money,مال‎ فلوس,
89,more,اكثر,更
470,more than,,多於
158,morning,صباح,早上
517,mutton,,羊肉
526,natural mineral water,,矿泉水
179,next week,الأسبوع القادم,下个星期
161,night,ليلة,
384,no parking,ممنوع الاسطفاف,禁止停车
519,noodles,,面条
164,noon,,中午
239,north,شمال,北
104,now,الأن,现在
105,now,الآن,现在
86,"number _____ (train, bus, etc.)",رقم /,
162,one o'clock AM,,
165,one o'clock PM,,
382,one way,اتجاه واحد,单行道
206,orange,برتقالي,橙色
341,orange juice,,柳橙汁
538,"pain reliever. (e.g., aspirin or ibuprofe",,镇痛剂
364,"pain reliever. (e.g., aspirin or ibuprofen",,
235,past the _____,,
510,pay,,付
548,pe,,笔
549,penci,,铅笔
557,petrol,,汽油
387,petrol (gasoline),بنزين,
516,pork,,猪肉
545,postage stamp,,邮票
371,postage stamps,,
544,postcar,,明信片
207,purple,بنفسجي,紫色
541,razo,,剃刀
202,red,أحمر,红色
320,red/white wine,,红/白
226,restaurants,,
311,rice,أرز,米饭
233,right,يمين,右边
495,road,,路
338,rum,,朗姆酒
305,salad,سلاطة,
141,salt,ملح,
302,sausage,سوسيس,
524,scented tea,,花茶
537,shampo,,洗发精
363,shampoo,,
113,she,هي ;,
228,sites to see,,
96,slowly,ببطء ; شوي شوي,
536,soa,,肥皂
362,soap,,
522,soup,,汤
240,south,جنوب,南
385,speed limit,السرعة القصوى,速度限制
540,stomach medicin,,胃肠药
366,stomach medicine,,
381,stop (on a street sign),قف,停
94,straight ahead,إلى الامام  ; على طول,往前走
95,straight ahead,على طول,往前走
155,street,شارع,街
140,sugar,سكر,糖
543,sunblock lotio,,防晒油
369,sunblock lotion,,
295,supper,,晚饭
535,tampon,,卫生棉条
361,tampons,,
151,tea,شاي,
316,tea (drink),شاي,茶
294,tea (meal),,
506,telephon,,电
223,the American/Canadian/Australian/British consulate,,
222,the _____ hotel,,
219,the airport,المطار,
218,the bus station,,
483,the day after tomorrow,,后天
482,the day before yesterday,,前天
217,the train station,,
221,the youth hostel,,
100,there,هناك,
118,they (f),هن,
117,they (m/mixed),هم,
116,they (two people) : هما huma (rarely used out of the most formal Literary Arabic),أنتم ;,
177,this week,الاسبوع,这个星期
107,to or at (a place),إلى,
309,toast,,
174,today,البوم,今天
176,tomorrow,غداً,明天
340,tonic water,,通宁水
534,toothbrus,,牙刷
533,toothpast,,牙膏
359,toothpaste,,
234,towards the _____,,
492,train statio,,火车
163,two o'clock AM,,
166,two o'clock PM,,
542,umbrell,,雨伞
243,uphill,,
518,vegetable,,蔬菜
337,vodka,,伏特加
147,water,ماي‎ ماية‎ ماء,水
145,water,ماء,水
114,we,نحن ; احنا‎ نحنا,
242,west,غرب,西
336,whiskey,,威士忌
200,white,أبيض,白色
153,work,شغل,
547,writing pape,,纸
373,writing paper,ورق للكتبة,
204,yellow,أصفر,黄色
175,yesterday,أمس,昨天
383,yield,,让路
111,you (f),أنتِ ;,
110,you (m),أنتَ ;,
115,you (m/mixed),أنتما,
291,à la carte,,
36,٠,,
37,١,,
38,٢,,
39,٣,,
40,٤,,
41,٥,,
42,٦,,
43,٧,,
44,٨,,
45,٩,,
