,en,ar
239,Do you have any rooms available?,Do you have any rooms available? (endkom ghoraf(alternatively- owad) edafeyeh?)
240,How much is a room for one person/two people?,How much is a room for one person/two people? (adeish il ghorfeh li shakhs/shakhsein?)
241,Does the room come with...,Does the room come with... (il ghorfeh btīji ma...)
242,...bedsheets?,"‏...شراشف‎, ملايات (sharāshef, melāyāt)"
243,...a bathroom?,‏...حمام (hammām?)
244,...a telephone?,‏...تليفون (telefōn?)
245,...a TV?,‏...تلفزيون (televizyōn?)
246,May I see the room first?,May I see the room first? (Baqdar ashoof il ghorfeh abel?)
247,Do you have anything quieter?,Do you have anything quieter? (Fi eshi ahda?.)
248,...bigger?,...bigger? (akbar?)
249,...cleaner?,...cleaner? (andaf?)
250,...cheaper?,...cheaper? (arkhas?)
251,"OK, I'll take it.","OK, I'll take it. (OK, bakhodha)"
252,I will stay for _____ night(s).,I will stay for _____ night(s). (Rah aba'a kaman ___ yom)
253,Can you suggest another hotel?,Can you suggest another hotel? (')
254,Do you have a safe?,Do you have a safe? (fi khazneh?)
255,...lockers?,...lockers? (...)
256,Is breakfast/supper included?,Is breakfast/supper included? (')
257,What time is breakfast/supper?,What time is breakfast/supper? (ay sei-a il ftoor/asha?)
258,Please clean my room.,Please clean my room. (momken tanadef il ghorfeh)
259,I want to check out.,I want to check out. (beddi ashoofha)
260,Do you accept American/Australian/Canadian dollars?,هل تقبل الدولار الأمريكي/الأسترالي/الكندية؟  (hal taqbal el-dolār el-am(e)rīki/ost(o)rāli/kanadi?)
261,Do you accept British pounds?,هل تقبل الجنيه الاسترليني؟ (hal taqbal el-jinē el-esterlīni?)
262,Do you accept credit cards?,هل تقبل الكريديت كارد؟ (hal taqbal el-k(e)redit kārd?)
263,Can you change money for me?,Can you change money for me? (Momken tsarefli masari?)
264,Where can I get money changed?,Where can I get money changed? (Wein badar asaref masari?)
265,Can you change a traveler's check for me?,Can you change a traveler's check for me? (...)
266,Where can I get a traveler's check changed?,Where can I get a traveler's check changed? (...)
267,What is the exchange rate?,What is the exchange rate? (...)
268,Where is an automatic teller machine (ATM)?,وين فيه ايه تي ام؟ (wein fī ē tī em?) (Levantine); فين ألاقي ايه تي ام؟ (fēn ala'i ē tī em?) (Egyptian)
269,"A table for one person/two people, please.","A table for one person/two people, please. (tawla la wahed/tenein)"
270,"Can I look at the menu, please?","Can I look at the menu, please? (Momken ashoof il menu?)"
271,Can I look in the kitchen?,Can I look in the kitchen? (Mumken ashuf il matbakh?)
272,Is there a house specialty?,Is there a house specialty? (...)
273,Is there a local specialty?,Is there a local specialty? (...)
274,I'm a vegetarian.,I'm a vegetarian. (Ana nabati)
275,I don't eat pork.,I don't eat pork. (Ma bakol lahem khanzeer)
276,I don't eat beef.,I don't eat beef. (Ma bakol lahmeh)
277,I only eat Halal food.,I only eat Halal food. (Bas bakol akel hallal)
278,"Can you make it ""lite"", please? (less oil/butter/lard)","Can you make it ""lite"", please? (khaleeha khafeefeh)"
279,fixed-price meal,fixed-price meal (...)
280,à la carte,à la carte (à la carte)
281,breakfast,breakfast (ftoor) al iftar
282,lunch,lunch (...) al ghada
283,tea (meal),tea (...) shay'
284,supper,supper (...) al isha'
285,I want _____.,._____أريد (urīd)
286,I want a dish containing _____.,I want a dish containing _____. (...)
287,chicken,"دجاج‎, فراخ (dajāj, firākh)"
288,beef,بقر (baqar)
289,fish,سمك (samak)
290,ham,خنزير (khanzīr)
291,sausage,سوسيس (sōsīs)
292,cheese,جبنة (jubneh)
293,eggs,بيض (baid)
294,salad,سلاطة (salata)
295,(fresh) vegetables,(fresh) vegetables (...) (fresh) khudrawat
296,(fresh) fruit,(fresh) fruit (fawakeh) (fresh) fawakat
297,bread,bread (...) ayish OR khubz
298,toast,toast (...)
299,macaroni,مكرونة (makarōna)
300,rice,أرز (roz)
301,beans,فول (fūl)
302,May I have a glass of _____?,May I have a glass of _____? (momken kās(et)___)
303,May I have a cup of _____?,May I have a cup of _____? (momken finjan ___)
304,May I have a bottle of _____?,May I have a bottle of _____? (...)
305,coffee,قهوة (qahwa)
306,tea (drink),شاي ( shay' )
307,juice,عصير (`asīr)
308,(bubbly) water,مياه غازية (miyāh ghāziyya)
309,water,"ماي,‎ ماية‎, ماء (may(ya), mā')"
310,beer,بيرة (bīra)
311,red/white wine,"red/white wine (nabīd, nibīt ahmar/abyad)"
312,May I have some _____?,May I have some _____? (momken ___?)
313,salt,ملح (malh)
314,black pepper,فلفل أسود (filfil aswad)
315,butter,زبدة (zibda)
316,"Excuse me, waiter? (getting attention of server)","Excuse me, waiter? (...)garcoon"
317,I'm finished.,I'm finished. (khalast ) galaste
318,It was delicious.,كان لذيذ.‏ ‎(kān ladhīdh)
319,Please clear the plates.,Please clear the plates. (...)
320,"The check, please.","The check, please. (...)Leh'seb min fadlak"
321,Do you serve alcohol?,Do you serve alcohol? (fi kohool?)
322,Is there table service?,Is there table service? (...)
323,"A beer/two beers, please.","A beer/two beers, please. (bīra)"
324,"A glass of red/white wine, please.","A glass of red/white wine, please. (kaset nbeed)"
325,"A pint, please.","A pint, please. (...)"
326,"A bottle, please.","A bottle, please. (aneeneh)"
327,"_____ (hard liquor) and _____ (mixer), please.","_____ and _____, please. (...)"
328,whiskey,whiskey (...)
329,vodka,vodka (...)
330,rum,rum (...)
331,water,ماء ( mā' )
332,club soda,club soda (soda)
333,tonic water,tonic water (...)
334,orange juice,orange juice (aseer bortoqal)
335,Coke (soda),Coke (cola)
336,Do you have any bar snacks?,Do you have any bar snacks? (...)
337,"One more, please.","One more, please. (kaman wahed)"
338,"Another round, please.","Another round, please. (kaman wahed)"
339,When is closing time?,When is closing time? (emta bitsakro?)
340,Do you have this in my size?,Do you have this in my size? (fi maqas?)
341,How much is this?,بكم هذا؟ (bikam hatha)
342,That's too expensive.,"that's too expensive. (...) ""ghali katheer!"""
343,Would you take _____?,Would you take _____? (...)
344,expensive,غالي (ghali)
345,cheap,رخيص(rakhees)
346,I can't afford it.,I can't afford it. (...)
347,I don't want it.,I don't want it. (ma beddi)
348,You're cheating me.,You're cheating me. (harami)
349,I'm not interested.,I'm not interested. (lust muhtam)
350,"OK, I'll take it.","OK, I'll take it. (ok)"
351,Can I have a bag?,Can I have a bag? (urīo kīs)
352,Do you ship (overseas)?,Do you ship (overseas)? (...)
353,I need...,I need... (...) ahtāj
354,...toothpaste.,...toothpaste. (ma`jūn asnān)
355,...a toothbrush.,...a toothbrush. (forshāt asnān)
356,...tampons.,...tampons. (always)
357,...soap.,...soap. (saboon)
358,...shampoo.,...shampoo. (shambū)
359,"...pain reliever. (e.g., aspirin or ibuprofen)",...pain reliever. (mussakin)
360,...cold medicine.,...cold medicine. (dawa rash-h)
361,...stomach medicine.,...stomach medicine. (dawa baten)
362,...a razor.,...a razor. (shafra)
363,...an umbrella.,...an umbrella. (shamseyeh)
364,...sunblock lotion.,...sunblock lotion. (...)
365,...a postcard.,...بطاقة بريدية (bitaqa bareedia)
366,...postage stamps.,...postage stamps. (tawabe' bareed)
367,...batteries.,...batteries. (batareyat)
368,...writing paper.,...ورق للكتبة (waraq lil-kitaba)
369,...a pen.,...قلم (qalam)
370,...English-language books.,...كتب إنجليزية (kutub ingliziya)
371,...English-language magazines.,... مجلات انكليزية English-language magazines. (majalat engiliziya)
372,...an English-language newspaper.,...جرائد إنجليزية(jara'id ingliziya)
373,...an English-English dictionary.,...an English-English dictionary. (qāmūs ingilizi-ingilizi)
374,I want to rent a car.,أريد استئجار سيارة (urīd isti'jār sayyāra)
375,Can I get insurance?,هل أستطيع الحصول على تأمين؟ (hal astatī` al-husūl `ala ta'mīn?)
376,stop (on a street sign),قف (qif)
377,one way,اتجاه واحد (ittjāh wāhid)
378,yield,(atti alaolwyeh(?))
379,no parking,ممنوع الاسطفاف (mamnū` al-istifāf)
380,speed limit,السرعة القصوى (as-sur`a al-qānūniyya)
381,gas/petrol station,محطة بنزين (mahattat banzīn)
382,petrol (gasoline),بنزين (banzīn)
383,diesel,"ديزل‎, سولار‎, جاز (dīzel, sōlār, gāz)"
384,I haven't done anything wrong.,ما عملت اشي غلط (ma `emelet eshi ghalat) (Jordanian); ما عملتش حاجة غلط (ma`amaltesh hāga ghalat) (Egyptian)
385,It was a misunderstanding.,كان سوء تفاهم (kān sū' tafāhom)
386,Where are you taking me?,وين/فين آخدني (wein/fēn akhedni?)
387,Am I under arrest?,هل أنا معتقل؟ (hal ana mo`taqal?)
388,I am an American/Australian/British/Canadian citizen.,I am an American/Australian/British/Canadian citizen. (Ana Americi/Anglizi/Kanadi)
389,I want to talk to the American/Australian/British/Canadian embassy/consulate.,I need to talk to the American/Australian/British/Canadian embassy/consulate. (AhTAJ an atkalim ma'a al-Safeera al-Amrikiya/Australiya/Britaniya/Kanadiya.)
390,I need to talk to a lawyer.,محتاج أحكي مع محامي (mehtāj ahki ma`a mohāmi )
391,Can I just pay a fine now?,أقدر أدفع غرامة الآن؟ (aqdar adfa` gharāma al'ān?)
