,ar,cn,en,pos
150,,请把所有的随身行李放在一个筐里，然后把筐放在传送带上。,Please put all carry-on luggage in a basket and then place it on the conveyor.,sent
151,,请把你的手提行李放在传送带上。,"Put your carry-on luggage on the belt, please.",sent
152,,请把你的手提箱和那个盒子放在传送带上好吗?,Will you please put your suitcase and that box on the belt?,sent
153,,请把您的电脑从包里取出放入筐里。,Please take your computer out and put it in the basket.,sent
154,,笔记本电脑从随身行李取出接受X光安检。,Laptop computers must be removed from carry-on and placed on X-ray.,sent
155,,便携电器、钥匙、硬币、和其他金属物品置放单独盒内后，放X光安检传送带上。,"All portable electronic devices, keys, coins and other metal objects should be placed on X-ray belt in separate container.",sent
156,,现在请把口袋里的东西掏出来放在这里，从检测器走过。,Now put everything from your pockets in this tray and come through the detector.,sent
157,,请把您随身携带的所有金属物品，如硬币、手机、口香糖、香烟、以 及带锡纸的物品等放在篮子里。,"Please put all your metallic objects such as coin,cellphone,chewing gum,cigarettes,and anything with Aluminum foil into the basket.",sent
158,,口袋里还有其它物品吗？,Anything else in your pocket?,sent
159,,脱掉您的外套和鞋子，把它们放进盒子里。,Take off your coat and shoes and put then in the box.,sent
160,,所有旅客都必须从这个检查口通过。,All the leaving passengers must go through this gate.,sent
161,,请通过安全门。,"Go through the gate, please.",sent
162,,请走过这个安检门。,"Walk through the security gate, please.",sent
163,,请一个一个通过探测门。,Please pass through the detector one by one.,sent
164,,跟紧。,Stay close.,sent
165,,请过来接受检查。,Please come over for inspection.,sent
166,,请把你的包打开，我们要检查一下。,Please open your bag. We'd like to have a look.,sent
167,,我只是要确定你没有携带液体。,Just make sure you don't have any liquid with you.,sent
168,,您介意打开您的手提电脑吗?,And would you mind opening your lap-top?,sent
169,,没关系，给你。,"No, not at all. there you go.",sent
170,,请脱掉您的鞋子。,Please take off your shoes.,sent
171,,请您抬起双臂。,Please raise your arms.,sent
172,,请转身。,Turn around please.,sent
173,,我还要脱掉夹克吗?,Should I take off my jacket too?,sent
174,,请把您的衣扣打开。,Please unbutton your coat.,sent
175,,请解下您的皮带。,"Take off your belt, please.",sent
176,,我们用手检，你看如何?,"We'll check you by hand, what do you think?",sent
177,,您不能携带任何液体。,You can't have any liquid with you.,sent
178,,这是违禁品。,It is a prohibited item.,sent
179,,这些东西是违禁品。,These items are forbidden by law.,sent
180,,您不能把它带上飞机。,You can't take it with you into the aircraft.,sent
181,,易燃品不能随身带上飞机。,Flammable items cannot be taken with you into the aircraft.,sent
182,,我们必须没收。,We will have to be confiscated.,sent
183,,这是给您的没收单据。,Here is your receipt.,sent
184,,您可以办理托运或在我们这儿办理暂存，我们可以替您保留一个月。,"We could check it in for you ,or you could have it deposited temporarily at our place for up to one month.",sent
185,,如果一个月之内，您不来领的话，我们将不再替您保存。,"If you can't come back within a month, we won't keep it for you.",sent
186,,这是政府规定的，为了您和其他旅客的安全，请您理解和配合我们的工作。,"This is the government's rule. For your own safety and other passangers, we need your understanding and corporation.",sent
187,,一切检查完毕。,Everything checks out.,sent
188,,检查完毕，谢谢合作。,"Checking is done, thankyou for your corporation.",sent
189,,您可以拿行李了。,You can take your baggage now.,sent
190,,.你可以走了，带好你的东西。,You may go now. Please take your things,sent
191,,当心不要遗忘携带物品。,"Take care, not to leave things behind.",sent
192,,遗忘物品超过*天我们概不负责。,We are not responsible for items left over * days.,vp
193,,祝您旅途愉快。,I wish you a happy joumey.,sent
194,,各位旅客请注意，由于气候不佳，所有飞往台北的班机都将延后起飞。,"Attention, please. Due to weather condition, all flights to Taipei will be delayed.",sent
195,,由于天气不好航班延误了。,The flight is delayed due to bad weather conditions.,sent
196,,我们对此深表谦意，并感谢您的配合与耐心。,We truly regret the delay. Thank you for your cooperation and patience.,sent
197,,我们将尽快通知您的新班机的起飞时候，谢谢。,We will inform you of the new departure time as soon as possible. Thank you.,sent
198,,我刚听到广播说我的班机延迟了。,I just heard an announcement that my flight has been delayed.,sent
199,,你的班机号是什么?,What's your flight number?,sent
200,,*号班机，去费城的。,Flight *-bound for Philadelphia.,vp
201,,延迟出发是因为机械故障。,The delay is due to mechanical difficulties.,sent
202,,你知道会延误多久吗?,Do you know how long it will be?,sent
203,,大概不会超过两小时。,Probably not more than two hours.,sent
204,,我会赶不上我下一段的班机了。,I'm afraid I'll miss my connecting flight.,sent
205,,现在还有别的班机可以坐吗?,Is there another flight available?,sent
206,,请等一下，让我看看。,Just a minute. Let me check.,sent
207,,有，有一架班机十分钟内去费城，可是已经满座了。我可以把您列为候补，如果您愿意的话。,"Yes, there is a flight leaving for Philadelphia in ten minutes, but it's full. I could put you on standby if you wish.",sent
208,,请把我列为候补。,Please put me on the waiting list.,sent
209,,好吧。可是假如我上不了那架飞机，能换一班转飞迈阿密的班机吗?,"Yes, all right. But if I don't get on that flight, would it be possible to change the connecting flight to Miami?",sent
210,,我看一下...今天晚上七点四十五分联合航空公司有一班机由费城起飞。,Let's see... there's a United flight leaving Philadelphia at * this evening.,vp
211,,能设法让我搭上那班飞机吗?,"Could you get me on that flight, please?",sent
212,,好，我查查看还有没有剩余位置。,"Yes, I'll check to see if there's any space left.",sent
213,,登机口。,Gate.,sent
214,,登机口。,Departure Gate.,sent
215,,登机口。,Boarding Gate.,sent
216,,这班飞机的登机口在哪儿?,Where is the boarding gate for this flight?,sent
217,,登机口在哪儿?,Where is the gate?,sent
218,,跟着指示走，你将看到登机口。,Go straight following the sign ang you will see the gate.,sent
219,,下一班可以登机的航班是飞往内布拉斯加州，林肯市。,"The next flight available for boarding is to Lincoln, Nebraska.",sent
220,,什么时候登机呢?,What is the boarding time?,sent
221,,什么时候登机呢?,When is the boarding time?,sent
222,,飞往曼谷的泰航TG*班，已经开始登机。,Thai Airlines flight TG * to Bangkok is now boarding.,vp
223,,请头等舱的旅客前往登机门。,"Passengers in the first class, please proceed to the boarding gate now.",sent
224,,欢迎登机。,Welcome aboard.,sent
225,,请出示登记证和身份证!,"Boarding passes and IDs, please!",sent
226,,请把机票和登机牌准备好接受检查。,Please have your ticket or boarding card ready for inspection.,sent
227,,请准备好带照片的身份证接受检查。,Please have photo identification ready for inspection.,sent
228,,我可以看看你的票吗?,"Can I see your ticket, please?",sent
229,,请出示一下你的机票和登机牌好吗?,Would you please show me your ticket and boarding pass?,sent
230,,这是我的护照和机票。,Here are my passport and ticket.,sent
231,,飞行愉快!,Enjoy your flight!,sent
232,,飞行愉快!,Have a nice flight!,sent
233,,现在正在登机。,It's boarding now.,sent
234,,登机口关闭。,Closing.,sent
235,,*号候机楼。,Terminal * Departure.,vp
236,,*号货运航班候机楼。,Terminal * & Cargo.,vp
237,,出港。,Departures.,sent
238,,国内出发。,Domestic Departure.,sent
239,,国内航班。,Domestic Flights.,sent
240,,候机和登机。,Waiting And Boarding.,sent
241,,候机厅。,Waiting Room.,sent
242,,候机厅。,Waiting Hall.,sent
243,,候机厅。,Waiting Lounge.,sent
244,,候机厅。,Departure Lounge.,sent
245,,贵宾候机厅。,Very Important Person(VIP) Suite.,sent
246,,贵宾候机亭。,Lounge Pavilion.,sent
247,,国际旅客候机厅。,International Passenger Lobby.,sent
248,,过境旅客。,Transit Passenger.,sent
249,,海关监管区。,Area Of Customs Control.,sent
250,,海关申请表。,Customs Declaration form.,sent
251,,海关申报台。,Customs Declaration Counter.,sent
252,,保安部。,Security Office.,sent
253,,行李车。,Luggage Car.,sent
254,,行李手推车。,Trolley.,sent
255,,行李称重处。,Luggage Weighting.,sent
256,,行李寄存。,Left Baggage.,sent
257,,行李寄存（处）。,Luggage Storage (Counter).,sent
258,,行李架。,Baggage Rack.,sent
259,,行李检查台。,Luggage Inspection.,sent
260,,行李交付。,Luggage Delivery.,sent
261,,行李提取（区）。,Baggage Claim (Area).,sent
262,,行包托运须知。,Notice On Luggage Check-In.,sent
263,,随身携带的物品限制规定。,Restriction of hand carry-on articles.,sent
264,,禁止随身携带的物品。,Goods Prohibited To Be Hand-Carried.,sent
265,,禁止携带出境的物品。,Goods Prohibited To Exit The Country.,sent
266,,除指定区域外，禁止吸烟。,No Smoking Except In Designated Area.,sent
267,,快速通道。,Express Pass.,sent
268,,紧急出口。,Emergency Exit.,sent
269,,各通道出口。,Exit To All Routes.,sent
270,,机场巴士。,Airport Bus.,sent
271,,机场巴士。,Shuttle Bus.,sent
272,,机场班车。,Airport Limousine.,sent
273,,机场班车。,Airport Shuttle.,sent
274,,走失求救热线。,Missing People Help Line.,sent
275,,走失儿童认领。,Lost Child Information.,sent
276,,飞行员驾驶舱。,Pilot's Cockpit.,sent
277,,就坐后请系好安全带。,Fasten Seat Belt While Seated.,sent
278,,耳机。,Earphone Set.,sent
279,,飞行中。,In-Flight.,sent
280,,飞行时间。,Flying Time.,sent
281,,飞行速度。,Speed Per Hour.,sent
282,,返航时间。,Departure Time On Reverse.,sent
283,,我的座位在哪儿?,Where is my seat?,sent
284,,A号座位在哪儿?,Where is seat *A? *,vp
285,,你能告诉我*A座位在哪儿吗?,Can you tell me where seat *A is?,vp
286,,你能指给我的座位吗?,Can you show me the way to my seat?,sent
287,,你能帮我找到我的座位吗?,Can you help me find my seat?,sent
288,,您的座位在客舱的中部。,Your seat is in the middle of the cabin.,sent
289,,就在那里，靠窗的那一个。,It's over there next to the window.,sent
290,,这个座位是*A吗?,Is this seat *A?,vp
291,,不好意思，你坐到我的位子了。,Excuse me. You have my seat.,sent
292,,我想这是我的座位。,I think this is my seat.,sent
293,,这应该是我的座位了。,This is supposed to be my seat.,sent
294,,我们的座位是分开的。,Our seats are separated.,sent
295,,哪有在一起的空座位呢?,Do you have any empty seats together somewhere?,sent
296,,我们想坐在一起。,We'd like to sit together.,sent
297,,你介意跟我换下座位吗?,Do you mind changing seats with me?,sent
298,,我可以跟你换位子吗?,Can I change seats with you?,sent
299,,我们可以交换座位吗?,Would it be possible for us to trade seats?,sent
300,,我可以移到那边的空座位吗?,Can I move to an empty seat over there?,sent
301,,我可以坐在那边其中的一个空座吗?,Can I take one of those empty saets over there?,sent
302,,可以帮我把行李放上去吗?,Could you please help me put my baggage up there?,sent
303,,上面的行李箱都满了。,The overhead compartments are all full.,sent
304,,我的包放不进上面的行李箱了。,I can't get my bag to fit into the overhead compartment.,sent
305,,我的行李放哪儿呢?,Where can I put my baggage?,sent
306,,请把你的行李放在座位下面。,Please put your package under your seat.,sent
307,,您可以将行李放在前面的座位下面。,You can place the baggage under the seat in front of you.,sent
308,,我怎么让我的椅子躺下?,How do I recline my seat?,sent
309,,请竖直椅背好吗?,"Could you put your seat up, please?",sent
310,,请系好安全带。,Please keep your seat belt fastened.,sent
311,,请系好安全带。,"Put on your seat belt, please.",sent
312,,您能告诉我怎么系安全带吗?,Can you tell me how to fasten the seat belt?,sent
313,,您能告诉我安全带怎么解开吗?,Can you tell me how to unfasten the seat belt?,sent
314,,各位乘客请注意，飞机准备起飞了，请关闭所有电子装置。,"The passengers, in preparation for takeoff, please turn off all electronic devices.",sent
315,,机上电影什么时候开始播放?,What time does the inflight movie start?,sent
316,,哪个是电影频道?,Which is the movie channel?,sent
317,,这副耳机是坏的，能给我一副新的吗?,This headphone is not working. Can I have a new one?,sent
318,,你们有没有中文报纸?,Do you have Chinese newspapers?,sent
319,,请问怎样开阅读灯?,How do I turn on the light?,sent
320,,请问洗手间在哪里?,Where is the lavatory?,sent
321,,请问晚餐几点开始供应?,When do you start to serve dinner?,sent
322,,晚餐时间到了，请放下桌子。,Please pull your table down. It's supper time.,sent
323,,你晚餐吃什么?,What would you like to have for dinner?,sent
324,,你推荐什么?,What would you suggest?,sent
325,,你可以选择鱼或者是牛肉。,You may choose from the fish and beef.,sent
326,,晚餐想吃牛肉、鸡肉还是鱼?,"Which would you like for dinner, beef, chicken or fish?",sent
327,,我想牛肉比较好。,I think beef is better.,sent
328,,我要牛肉。,I'd like the beef.,sent
329,,打扰一下，请问您要吃什么，中餐还是西餐?,"Excuse me. What would you like to eat, Chinese food or Western food?",sent
330,,中餐是什么?,What is the Chinese food?,sent
331,,白粥。,Porridge.,sent
332,,西餐呢?,And the Western food?,sent
333,,火腿肠煎蛋。,Fried eggs with ham.,sent
334,,那给我来双份西餐吧。,Then give me a double Western.,sent
335,,给我一些饮料可以吗?,"May I have a drink, please?",sent
336,,当然可以。 你想要什么饮料?,Sure. What kind of drink do you want?,sent
337,,你喝点什么?,What would you like to drink?,sent
338,,如果可能的话来点鸡尾酒吧。,A cocktail if possible.,sent
339,,现在恐怕没有鸡尾酒了。,I'm afraid we have no cocktails now.,sent
340,,其他的怎么样，咖啡、茶、果汁、可乐、或啤酒?,"What about something else, coffee,tea, juice, coke or beer?",sent
341,,要茶还是咖啡呢?,Would you like a cup of tea or coffee?,sent
342,,好吧，我要一杯咖啡。,"Well, I'll have a cup of coffee.",sent
343,,请给我一杯可乐。,"I'll have a coke, please.",sent
344,,不，我更想要一杯果汁。,"No,I'd rather have a glass of juice, please.",sent
345,,你们都有什么果汁?,What kinds do you have?,sent
346,,我们有橙汁、苹果汁、葡萄汁和柠檬汁。,"We have a selection of orange, apple, grape and lemonade.",sent
347,,我要一杯柠檬汁，请多放一点冰块。,"I'll have a glass of lemonade. More ice,please.",sent
348,,好的，还需要别的吗?,All right. Will there be anything else?,sent
349,,你能多给一些餐巾纸吗?,Could you give me more paper napkins?,sent
350,,好的，我马上拿给你。,OK. I'll have that right out.,sent
351,,祝您用餐愉快。,Enjoy your meal.,sent
352,,如果你需要其他什么东西，就告诉我。,Just let me know if you need anything else.,sent
353,,如果还有其他需求，可以按呼叫按钮通知我们。,Press the call button if you need any more help.,sent
354,,请再给我一个枕头。,"One extra pillow, please.",sent
355,,我觉得有点冷。,I feel a little bit cold.,sent
356,,我能再要条毯子吗?,Can I have another blank?,sent
357,,能再给我一条毯子吗?,Could you give me one more blanket?,sent
358,,好的。,All right.,sent
359,,你还可以调小空调。,You can also turn down the air-conditioner.,sent
360,,各位旅客请注意，本班机即将行经乱流区。,"Ladies and gentlemen, we are approaching an area of turbulence.",sent
361,,请您回到您的座位，并系好安全带，以求安全。谢谢您的合作。,"For your own safety, please go back to your seat and fasten the seat belts. Thank you.",sent
362,,我什么时候才能使用电子设备?,When can I use my electronic devices?,sent
363,,飞机降落在机场后，你就能打开手机了。,"After landing on the airport, you can turn on you cell phone.",sent
364,,飞机什么时候着陆?,When does your flight land?,sent
365,,飞机什么时候着陆?,When is the plane due?,sent
366,,*分钟后我们即将降落在曼谷国际机场。,We will be landing at Bangkok international Airport in * minutes.,vp
367,,当地时间为晚上*点*分，地面温度摄氏*度，华氏*度。,"The local time is * p. m. and the ground temperature is * degrees Centigrade, or * degrees Fahrenheit.",vp
368,,机长汤尼与所有组员感谢各位旅客搭乘本班机。,Captain Tony and all the members of his crew thank you for flying with us.,sent
369,,我们希望你们满意这次的飞行。,We hope you enjoyed your flight.,sent
370,,你怎么了?,What's wrong with you?,sent
371,,我感到不舒服。,I'm not feeling well.,sent
372,,我觉的不太舒服。,I don't feel well.,sent
373,,我感觉头晕、虚弱，耳朵也有点疼。,I feel dizzy and weak. And I'm having this pain in my ear.,sent
374,,我想我是病了。,I think I am sick.,sent
375,,我觉得晕机了。,I'm feeling kind of airsick.,sent
376,,我有点晕机。,I have a little airsickness.,sent
377,,我想吐。,I feel like vomiting.,sent
378,,我需要一个呕吐袋。,I need an airsickness bag.,sent
379,,放松点。,Just relax a little bit.,sent
380,,在椅兜里有呕吐袋。,There's an airsickness bag in the seat pocket.,sent
381,,你们有晕机药吗?,Do you have anything for airsickness?,sent
382,,你们有晕机药吗?,Do you have any medicine for airsickness?,sent
383,,能给我些晕机药吗?,Could you give me some airsickness medicine?,sent
384,,我马上去给你拿些药来。,I'll get some medicine for you right away.,sent
385,,这是给你的药。,Here's your medicine.,sent
386,,您可以吃点晕机药。,You can take some airsick pills.,sent
387,,为什么在飞机上会有这种感觉? 我感觉很难受。,Why does this happen to me when I am on the plane? I feel bad.,sent
388,,不用担心，先生。只是由于低气压的缘故。,"Don't worry, Sir. It's just due to the lower pressure.",sent
389,,我该怎么做呢?,What should I do about it?,sent
390,,如果嚼点口香糖或花生会感觉舒服些。,You may feel much better if you chew some gum or peanuts.,sent
391,,真的有用吗? 我来试试。,Does that really work? I'll give it a try.,sent
392,,现在感觉如何?,How are you feeling now?,sent
393,,.好多了，谢谢。,Much better. Thank you,sent
394,,不客气。如果需要什么帮助，请按按钮。,You are welcome. Please press the button when you need any help.,sent
395,,我要转机去香港。,I am going to transfer in Hong Kong.,sent
396,,我必须转机去纽约。,I have to transfer to New York.,sent
397,,我要去哪里赶衔接的航班?,Where do I go to catch my connecting flight?,sent
398,,您能告诉我去哪里办理手续吗?,Could you tell me where to deal with the formalities?,sent
399,,您可以去转机柜台。,You can go to the flight connection counter.,sent
400,,请到转机柜台办理。,Please go to the transfer counter.,sent
401,,转机柜台在哪儿?,Where is the transfer desk?,sent
402,,华航的转机柜台在哪里?,Where is the CAL transfer desk?,sent
403,,衔接的航班什么时候起飞?,When will the connecting flight take off?,sent
404,,我可以换成早一点的航班吗?,Can I get on the earlier flight instead?,sent
405,,您有下一趟航班的登机牌吗?,Do you have the boarding pass for the next flight?,sent
406,,我的行李怎么办呢?,How do I deal with my luggage?,sent
407,,您的行李将会转到下一班飞机上。,Your luggage will be trasferred to your next plane.,sent
408,,我们有足够的时间转飞机。,We have enough time to transfer the flight.,sent
409,,我们有足够的时间转飞机。,There is enough time for us for the connection.,sent
410,,所有转机旅客请到*号登机门。,All the connecting passengers are requested to proceed to Gate *,vp
411,,去行李领取处怎么走呢?,How can I get to the baggage claim area?,sent
412,,行李领取处在哪儿?,Where is the baggage claim area?,sent
413,,*的行李提取处在哪里?,Which carousel is for flight TG *? TG,vp
414,,我在等我的行李。,I'm waiting for my luggage.,sent
415,,借过一下，这是我的行李。,"Excuse me, this is my bag.",sent
416,,哪里有行李推车。,Where can I find a baggage trolley?,sent
417,,我找不到行李了。,I can't find my baggage.,sent
418,,我的行李不见了。,I lost my baggage.,sent
