en,cn,ar,pos,,
"All portable electronic devices, keys, coins and other metal objects should be placed on X-ray belt in separate container.",便携电器、钥匙、硬币、和其他金属物品置放单独盒内后，放X光安检传送带上。,"يجب وضع جميع الأجهزة الإلكترونية والمفاتيح والنقود المعدنية وغيرها من الأجسام المعدنية على حزام الأشعة السينية في حاوية منفصلة.
",sent,,
All right.,好的。,حسنًا.,sent,,
All right. Will there be anything else?,好的，还需要别的吗?,حسنًا. هل سيكون هناك شيء أخر؟,sent,,
All the connecting passengers are requested to proceed to Gate *,所有转机旅客请到*号登机门。,"يُطلب من جميع ركاب الرحلات المتصلة الانتقال إلى بوابة *
",vp,,
All the leaving passengers must go through this gate.,所有旅客都必须从这个检查口通过。,يجب على جميع الركاب المغادرين المرور عبر هذه البوابة.,sent,,
altitude,高度,ارتفاع,np,,
aluminum foil,铝箔,ورق ألومنيوم,np,,
Always Use Deadbolt.,始终使用死栓。,استخدم دائمًا الترباس,sent,,
Am I under arrest?,我被捕了吗？,هل أنا معتقل؟,sent,,
ambitious,有雄心壮志的,طموح,np,,
amiable,和蔼可亲的,ودي,np,,
amicable,友好的,ظريف,np,,
Amsterdam,阿姆斯特丹,أمستردام,np,,
"An aisle seat, please.",请给我一个靠走道的座位。,مقعد الممر ، من فضلك.,sent,,
analytical,善于分析的,تحليلية,np,,
ancestor,祖先,سلف,np,,
"And now you want to change the booking, do you?",你想变更一下入住时间吗?,والآن تريد تغيير الحجز ، أليس كذلك؟,sent,,
And would you mind opening your laptop?,您介意打开您的手提电脑吗?,هل تمانع في فتح جهاز الكمبيوتر المحمول الخاص بك؟,sent,,
"And your telephone number, please?",请问你的电话号码是多少?,ورقم هاتفك ، من فضلك؟,sent,,
Andorra,安道尔,أندورا,np,,
Angola,安哥拉,أنغولا,np,,
Ankara,安卡拉,أنقرة,np,,
Antigua,安提瓜,أنتيغوا,np,,
Any brothers or sisters?,有兄弟姐妹吗?,هل لديك اخوة او اخوات؟,sent,,
Anything else in your pocket?,口袋里还有其它物品吗？,هل لديك أي شيء آخر في جيبك؟,sent,,
apple,苹果,تفاحة,np,,
apprehensive,有理解力的,قلق,np,,
April,四月,أبريل,np,,
Are there any discount tickets for me?,我买票有折扣吗?,هل هناك أي تذاكر مخفضة لي؟,sent,,
Are there any restaurants still open near here?,这附近还有在营业的饭店吗?,هل هناك أي مطاعم لا تزال مفتوحة بالقرب من هنا؟,sent,,
Are they non-stop flights?,它们是直飞班机吗?,هل هي رحلات بدون توقف؟,sent,,
Are you here by yourself?,,هل أنت بمفردك؟,sent,,
Are you looking for something particular?,您在找什么呢?,هل تبحث عن شيء معين؟,sent,,
area of customs control,海关监管区,منطقة الرقابة الجمركية,np,,
Area Of Customs Control.,海关监管区。,منطقة الرقابة الجمركية,sent,,
Argentina,阿根廷,الأرجنتين,np,,
Armenia,亚美尼亚,أرمينيا,np,,
armrest,座椅扶手,مسند الذراع,np,,
Around the corner.,转角,قريب من هنا,sent,,
arrivals,进港,الوصول,np,,
assistance,问讯处,مساعدة,np,,
"At gate * go through the security check and turn left, take the moving staircase at the end of the hall, then you will find it.",*号登机口，在通过安检后左转，走到大厅的尽头乘电梯能到。,"عند البوابة * اذهب من خلال الفحص الأمني واستدر لليسار وخذ الدرج المتحرك في نهاية القاعة ، ثم ستجده.
",vp,,
At what aisle is the frozen food?,冷冻食品在哪条通道?,في أي ممر سأجد الطعام المجمد؟,sent,,
Athens,雅典,أثينا,np,,
Attendant Call.,呼叫服务员,دعوة الحاضرين,sent,,
"Attention, please. Due to weather condition, all flights to * will be delayed.",各位旅客请注意，由于气候不佳，所有飞往*的班机都将延后起飞。,يرجى الانتباه. نظرًا لحالة الطقس ، ستتأخر جميع الرحلات إلى,vp,,
Auckland,奥克兰,أوكلاند,np,,
August,八月,أغسطس,np,,
aunt,姑母,عمة\ خالة,np,,
Australia,澳大利亚,أستراليا,np,,
Austria,奥地利,النمسا,np,,
automatic ticket machine,自动售票机,آلة التذاكر الآلية,np,,
autonomous region,自治区,منطقة الحكم الذاتي,np,,
avenue,大道,سبيل,np,,
Azerbaijan,阿塞拜疆,أذربيجان,np,,
bachelor,学士,أعزب/ حامل بكالوريا,np,,
back,背,ظهر,np,,
baggage,行李,الأمتعة,np,,
Baggage Claim,行李提取,استلام الأمتعة,sent,,
baggage claim area,行李领取处,منطقة استلام الأمتعة,np,,
Baggage Rack,行李架,رف الأمتعة,sent,,
baggage tag,行李牌,علامة الأمتعة,np,,
Bahamas,巴哈马,الباهاما,np,,
Bahrain,巴林,البحرين,np,,
bakery,面包店,مخبز,np,,
Bali,巴厘岛,بالي,np,,
banana latte,香蕉咖啡拿铁,لاتيه بالموز,np,,
banana mocha,香蕉摩卡咖啡,موكا بالموز,np,,
Bangalore,班加罗尔,بنغالور,np,,
Bangkok,曼谷,بانكوك,np,,
Bangladesh,孟加拉国,بنغلاديش,np,,
bank,银行,بنك,np,,
bar,酒巴,بار,np,,
Barbados,巴巴多斯,بربادوس,np,,
Barcelona,巴塞罗那,برشلونة,np,,
bars,酒吧,مشرب,np,,
basket,篮子,سلة,np,,
bathroom,卫生间,‏حمام,np,,
batteries,电池,بطارية,np,,
Be Careful When Using The Bath.,使用此浴室时小心。,كن حذرًا عند استخدام الحمام.,sent,,
Be Careful.,小心路滑。,كن حذرًا ,sent,,
"Be seated, please.",请坐。,اجلس ، من فضلك.,sent,,
beans,豆,فول,np,,
bedsheets,床单,ملاءات السرير,np,,
beef,牛肉,لحم بقري,np,,
beer,啤酒,بيرة,np,,
beer glass,啤酒杯,كأس البيرة,np,,
before,以前,قبل,adv,,
Beijing,北京,بكين,np,,
Beirut,贝鲁特,بيروت,np,,
Belarus,白俄罗斯,روسيا البيضاء,np,,
Belfast,贝尔法斯特,بلفاست,np,,
Belgium,比利时,بلجيكا,np,,
Belgrade,贝尔格莱德,بلغراد,np,,
Belize,伯利兹,بليز,np,,
belt,带,حزام,np,,
Benin,贝宁,بنين,np,,
Berlin,柏林,البرلينية,np,,
beware of pickpocket,谨防扒手,احذر النشل,np,,
Bhopal,博帕尔,بوبال,np,,
Bhutan,不丹,بوتان,np,,
bigger,更大,أكبر,adj,,
bike parking,自行车存车处,موقف الدراجات,np,,
billion,十亿,مليار‎,num,,
Birmingham,伯明翰,برمنغهام,np,,
birthdate,出生日期,تاريخ الميلاد,np,,
birthday,生日,عيد الميلاد,np,,
birthplace,出生地点,مسقط الرأس,np,,
black,黑色,أسود,adj,,
"Black coffee, please.",请来杯黑咖啡。,قهوة سوداء من فضلك.,sent,,
black pepper,黑胡椒,فلفل أسود,np,,
black tea,红茶,شاي أسود,np,,
blackberry latte,黑莓咖啡拿铁,لاتيه بتوت العليق الأسود,np,,
blanket,毛毯,بطانية,np,,
bloodtype,血型,فصيلة الدم,np,,
blue,蓝色,أزرق,adj,,
boarder,寄宿生,ساكن,np,,
boarding,登机,الصعود,np,,
boarding gate,登机口,بوابة الصعود إلى الطائرة,np,,
Boarding Gate.,登机口。,بوابة الصعود إلى الطائرة,sent,,
boarding pass,登机牌,بطاقة الصعود,np,,
"Boarding passes and IDs, please!",请出示登记证和身份证!,بطاقات الصعود إلى الطائرة والهويات، من فضلكم!,sent,,
Boarding time is *.,登机时间是*。,وقت الصعود هو *.,vp,,
body,身体,الجسم,np,,
boeing,波音,بوينج,np,,
Bogota,波哥大,بوغوتا,np,,
boiled water,开水,ماء مغلي,np,,
Bolivia,玻利维亚,بوليفيا,np,,
Bordeaux,波尔多,بوردو,np,,
born,生于,مولود,np,,
Bosnia Herzegovina,波黑,البوسنة الهرسك,np,,
Both flights have seats available.,两次航班都有座。,كلا الرحلتين بهما مقاعد متاحة.,sent,,
Botswana,博茨瓦纳,بوتسوانا,np,,
bottled water,矿泉水,مياه معبأة,np,,
Bottoms up!,干杯!,في صحتك!,sent,,
Brasilia,巴西利亚,برازيليا,np,,
Bratislava,布拉迪斯拉发,براتيسلافا,np,,
Brazil,巴西,البرازيل,np,,
bread,面包,خبز,np,,
bread plate,面包碟,صحن الخبز,np,,
breakfast,早饭,وجبة افطار,np,,
Brighton,布莱顿,برايتون,np,,
Brisbane,布里斯班,بريسبان,np,,
Bristol,布里斯托尔,بريستول,np,,
brother,兄弟,أخ,np,,
brother-in-law,大伯,نسيب,np,,
brown,褐色,بني,adj,,
brown sugar,红糖,سكر بني,np,,
Brunei,文莱,بروناي,np,,
Brussels,布鲁塞尔,بروكسل,np,,
Bucharest,布加勒斯特,بوخارست,np,,
Budapest,布达佩斯,بودابست,np,,
Buenos Aires,布宜诺斯艾利斯,بوينس آيرس،,np,,
Bulgaria,保加利亚,بلغاريا,np,,
bumpy flight,不平稳的飞行,رحلة وعرة,np,,
Burkina,布基纳法索,فاسو,np,,
Burundi,布隆迪,بوروندي,np,,
bus,公共汽车,حافلة,np,,
bus station,公家车站,محطة حافلات,np,,
Busan,釜山,بوسان,np,,
business class,商务客舱,درجة رجال الأعمال,np,,
Business class.,公务舱。,درجة رجال الأعمال,sent,,
business hours,营业时间,ساعات العمل,np,,
business phone,办公电话,هاتف العمل,np,,
butter,黄油,زبدة,np,,
butter knife,牛油刀,سكين الزبدة,np,,
butter plate,牛油碟,لوحة زبدة,np,,
buttocks,屁股,مؤخرة,np,,
Bye,拜拜。,إلى اللقاء,sent,,
cafe,咖啡室,مقهى,np,,
cafe americano,美式咖啡,قهوة امريكانو,np,,
cafe latte,拿铁咖啡,قهوة لاتيه,np,,
Cairo,开罗,القاهرة,np,,
cake knife,柄铲,سكين الكعكة,np,,
Calgary,卡尔加里,كالجاري,np,,
Cali,卡利,كالي,np,,
Cambodia,柬埔寨,كمبوديا,np,,
Cameroon,喀麦隆,الكاميرون,np,,
Can anyone tell me where I can buy the ingredients to make * food?,谁能告诉我哪里可以买到做*菜的原材料?,"هل يمكن لأحد أن يقول لي أين يمكنني شراء المكونات لصنع * الطعام؟
",vp,,
Can I cancel my reservation?,我能取消我的预定吗?,هل يمكنني إلغاء الحجز الخاص بي؟,sent,,
Can I change seats with you?,我可以跟你换位子吗?,هل يمكنني تغيير المقاعد معك؟,sent,,
Can I get a bag?,我可以要一个袋子吗？,هل استطيع الحصول على حقيبة؟,sent,,
Can I get insurance?,我可以买保险吗？,هل أستطيع الحصول على تأمين؟,sent,,
Can I get on the earlier flight instead?,我可以换成早一点的航班吗?,هل يمكنني الركوب في الرحلة السابقة بدلاً من ذلك؟,sent,,
"Can I have a one-way ticket to *, please?",请给我一张去*的单程票好吗?,هل يمكنني الحصول على تذكرة ذهاب فقط إلى * ، من فضلك؟,vp,,
Can I have another blank?,我能再要条毯子吗?,هل أستطيع الحصول على بطانية أخرى؟,sent,,
Can I just pay a fine now?,我可以缴交罚款吗？,هل يمكنني دفع غرامة الآن؟,sent,,
"Can I look at the menu, please?",请给我看看菜单.,هل يمكن أن أنظر إلى القائمة من فضلك؟,sent,,
Can I make a telephone call?,我可以打个电话吗？,هل يمكنني الحصول على مكالمة هاتفية؟,sent,,
Can I make an appointment?,我可以预约吗？,هل يمكنني حجز موعد؟,sent,,
Can I make international calls here?,可以打国际电话吗?,هل استطيع القيام بمكالمة دولية من هنا؟,sent,,
Can I move to an empty seat over there?,我可以移到那边的空座位吗?,هل يمكنني الانتقال إلى مقعد فارغ هناك؟,sent,,
Can I print here?,我可以复印吗？,هل يمكنني الطبع من هنا؟,sent,,
"Can I see your ticket, please?",我可以看看你的票吗?,هل يمكنني رؤية تذكرتك من فضلك؟,sent,,
Can I take one of those empty saets over there?,我可以坐在那边其中的一个空座吗?,هل يمكنني أخذ واحد من تلك المقاعد الفارغة هناك؟,sent,,
Can I use your cell phone?,我可以用您的手机吗？,أيمكنني إستخدام هاتفك؟,sent,,
Can I use your phone?,我可以用您的电话吗？,أيمكنني استخدام هاتفك النقال؟,sent,,
Can we have a quiet area?,我可以要一个安静的地方吗?,هل يمكننا الحصول على منطقة هادئة؟,sent,,
Can you change money for me?,你可以帮我换钱吗？,هل يمكنك تحويل مال لي؟,sent,,
"Can you change the reservation, please?",我能更改一下订票的班机吗?,هل تستطيع تغيير الحجز من فضلك؟,sent,,
Can you come here when you have a second?,你有空时能到这里来一下吗?,هل يمكنك أن تأتي إلى هنا عندما يكون لديك الوقت؟,sent,,
Can you get a doctor?,你可以帮我找一位医生吗？,هل يمكنك أن تحضر طبيب؟,sent,,
Can you give me your contact information?,你能给我你的联系方式吗?,هل يمكن أن تعطوني معلومات الاتصال الخاصة بك؟,sent,,
Can you help me find my seat?,你能帮我找到我的座位吗?,هل يمكنك مساعدتي في العثور على مقعدي؟,sent,,
Can you help me get my baggage? It's too heavy.,你能帮我拿行李吗? 实在太重了。,هل يمكنك مساعدتي في الحصول على أمتعتي؟ إنها ثقيلة جدًا.,sent,,
Can you show me on the map?,你可以在地图上指给我看?,هل يمكنك أن تريني أين هو على الخريطة؟,sent,,
Can you show me the way to my seat?,你能指给我的座位吗?,هل يمكنك أن تريني الطريق إلى مقعدي؟,sent,,
Can you speak *?,你可以说*吗？,هل يمكنك تحدث ال*؟,vp,,
Can you suggest another hotel?,你有其他推荐的酒店吗？,هل يمكنك اقتراح فندق آخر؟,sent,,
Can you tell me how to fasten the seat belt?,您能告诉我怎么系安全带吗?,هل يمكن أن تخبرني عن كيفية ربط حزام الأمان؟,sent,,
Can you tell me how to unfasten the seat belt?,您能告诉我安全带怎么解开吗?,هل يمكن أن تخبرني كيف أقوم بفك حزام الأمان؟,sent,,
Can you tell me where * is?,你可以告诉我*在那里吗？,هل يمكن أن تخبرني أين *؟,vp,,
Can you tell me where seat * is?,你能告诉我*座位在哪儿吗?,هل يمكن أن تخبرني أين يوجد المقعد *؟,vp,,
Can you tell me your flight number?,能告诉我你乘坐的航班号吗?,هل يمكنك إخباري برقم رحلتك؟,sent,,
Can you wake me at *?,请在明天*点钟叫醒我。,هل تستطيع إيقاظي الساعة *؟,vp,,
Can you write the name and address down?,你可以写下名字和地址吗？,هل يمكنك أن تكتب لي الاسم و العنوان؟,sent,,
Canada,加拿大,كندا,np,,
Canberra,堪培拉,كانبيرا,np,,
candid,正直的,صريح,np,,
Cape Town,开普敦,كيب تاون,np,,
Cape Verde,佛得角,الرأس الأخضر,np,,
cappuccino,意大利泡沫咖啡,كابتشينو,np,,
captain,机长,قائد الطائرة,np,,
Captain and all the members of his crew thank you for flying with us.,机长和所有组员感谢各位旅客搭乘本班机。,"قائد الطائرة وجميع أعضاء طاقمه يشكركم على الطيران معنا.
",sent,,
captain orde,点菜本,أمر قائد الطائرة ,np,,
car,汽车,سيارة,np,,
car hire,租车处,تأجير السيارات,np,,
carbonated water,碳酸水,مياه غازية,np,,
Cardiff,加的夫,كارديف,np,,
carrier,承运公司,الناقل,np,,
carry-on baggage,随身行李,حقائب محمولة,np,,
Casablanca,卡萨布兰卡,الدار البيضاء,np,,
cash,现金,أوراق مالية,np,,
Caution：Slippery!,注意：滑!,تحذير: زلق!,sent,,
cellphone,手机,الهاتف المحمول,np,,
Central African Republic,中非共和国,ممثل وسط افريقيا,np,,
Chad,乍得,تشاد,np,,
cheap,便宜,رخيص,adj,,
cheaper,比较便宜,أرخص,adj,,
check,支票,شيك,np,,
check in area,办理登机区,منطقة تسجيل الوصول,np,,
Check in area.,办理登机区。,منطقة تسجيل الوصول,sent,,
Check in zone.,办理登机区。,منطقة تسجيل الوصول,sent,,
Check In.,办理入住。,تسجيل الوصول,sent,,
Check Out.,办理离店手续。,تسجيل الرحيل,sent,,
check-in,登机手续办理,تسجيل الوصول,np,,
Check-in all destinations.,办理飞往世界各地登机手续。,تسجيل الوصول في جميع الأماكن,sent,,
checked baggage,托运的行李,الأمتعة المفحوصة,np,,
"Checking is done, thank you for your corporation.",检查完毕，谢谢合作。,تم الفحص، نشكركم على تعاونكم معنا,sent,,
Cheers!,干杯!,في صحتك!,sent,,
cheese,奶酪,جبنة,np,,
cheese powder,芝士粉,مسحوق الجبن,np,,
Chengdu,成都,تشنغدو,np,,
Chennai,奈,تشيناي,np,,
cherry latte,樱桃咖啡拿铁,لاتيه بالكرز,np,,
cherry mocha,樱桃摩卡咖啡,موكا بالكرز,np,,
chest,胸部,صدر,np,,
chewing gum,口香糖,علكة,np,,
chicken,鸡,دجاج,np,,
child,孩子,طفل,np,,
children and women first,妇女、儿童优先,الأطفال والنساء أولًا,np,,
Chile,智利,تشيلي,np,,
chili sauce,辣椒酱,صلصة الفلفل الحار,np,,
China,中国,الصين,np,,
chocolate coffee,巧克力咖啡,قهوة الشوكولاتة,np,,
Chongqing,渝,تشونغتشينغ,np,,
Christchurch,克赖斯特彻奇,كرايستشيرش,np,,
cigarette,香烟,سيجارة,np,,
circling,盘旋,طواف,np,,
citizenship,国籍,المواطنة,np,,
city,市,المدينة,np,,
city and state,城市及国家,المدينة والولاية,np,,
city where visa was issued,签证签发地,المدينة التي تم إصدار التأشيرة فيها,np,,
city where you boarded,登机城市,المدينة التي ركبت منها الطائرة,np,,
cleaner,清洁工,أنظف,np,,
clerk,办事员,موظف كتابي,np,,
closed,关闭,مغلق,adj,,
Closing.,登机口关闭。,إغلاق.,sent,,
club soda,苏打水,صودا,np,,
coachpick-up point,大轿车乘车点,نقطة التقاط مدرب,np,,
coaste,杯垫,,np,,
coconut mocha,椰子摩卡咖啡,موكا بجوز الهند,np,,
coffee,咖啡,قهوة,np,,
coffee cup,咖啡杯,فنجان قهوة,np,,
coffee pot,咖啡壶,وعاء القهوة,np,,
coffee warmer,咖啡炉,مسخن القهوة,np,,
coin,硬币,عملة,np,,
cointreau coffee,君度咖啡,قهوة كوانترو,np,,
Coke,可乐,الكولا,np,,
cold medicine,感冒药,دواء للزكام,np,,
Cologne,科隆,كولونيا,np,,
Colombia,哥伦比亚,كولومبيا,np,,
colombian coffee,哥伦比亚咖啡,قهوة كولومبية,np,,
Come this way please.,来这边请。,تعال من هذا الطريق من فضلك.,sent,,
"Come to pay the fare and fetch your ticket * days before departure, please.",请于起飞前*天来付款取票。,تعال لدفع الأجرة واحضر تذكرتك * أيام قبل المغادرة ، من فضلك.,vp,,
commerce,商业人员,تجارة,np,,
commit no nuisance,禁止小便,لا تلحق أي إزعاج,np,,
commoner,自费生,من عامة الشعب,np,,
Comoros,科摩罗,جزر القمر,np,,
complaint box,意见箱,مربع الشكوى,np,,
concord,协和,اتفاق,np,,
condiments,调料,التوابل,np,,
Conference Facilities.,会议设施。,مرافق المؤتمرات.,sent,,
confiscated,没收,مصادرة,np,,
Congo,刚果,الكونغو,np,,
control tower,机场控制台,برج التحكم,np,,
conveyor,输送带,الناقل,np,,
cooperative,有合作精神的,متعاون,np,,
Copenhagen,哥本哈根,كوبنهاغن,np,,
Costa Rica,哥斯达黎加,كوستا ريكا,np,,
cough,咳嗽,سعال,np,,
Could I ask when you will arrive?,请问您什么时候到达?,هل يمكنني أن أسأل متى ستصل؟,sent,,
Could I talk to someone in charge?,我能跟主管谈谈吗?,هل يمكنني التحدث مع شخص مسؤول؟,sent,,
Could we have another one?,我们能换个其他的吗?,هل يمكننا الحصول على واحد آخر؟,sent,,
Could you describe your baggage?,你能描述一下你的行李吗?,هل يمكن أن تصف أمتعتك؟,sent,,
Could you get a few small plates for us?,能给我们拿些小盘吗?,هل يمكنك الحصول على عدد قليل من الأطباق الصغيرة لنا؟,sent,,
"Could you get me on that flight, please?",能设法让我搭上那班飞机吗?,هل يمكنك أن تعطيني هذه الرحلة من فضلك؟,sent,,
Could you give me a window seat?,可以给我靠窗的座位吗?,هل يمكنك أن تعطيني مقعد نافذة؟,sent,,
Could you give me more paper napkins?,你能多给一些餐巾纸吗?,هل يمكنك أن تعطيني المزيد من المناديل الورقية؟,sent,,
Could you give me one more blanket?,能再给我一条毯子吗?,هل يمكنك أن تعطيني بطانية أكثر؟,sent,,
Could you give me some airsickness medicine?,能给我些晕机药吗?,هل يمكن أن تعطيني بعض أدوية أمراض الهواء؟,sent,,
"Could you hold the line, please? I'll check our room availability for that day.",请别挂断? 我要查一下那天的空房间。,هل تستطيع أن تبقى معي على الخط؟ سوف أتحقق من توافر غرفتك لهذا اليوم.,sent,,
Could you please *?,可以请你*吗？,لو سمحتو هل يمكنك أن *؟,vp,,
Could you please help me put my baggage up there?,可以帮我把行李放上去吗?,هل يمكنك مساعدتي في وضع أمتعتي هناك؟,sent,,
"Could you put your seat up, please?",请竖直椅背好吗?,هل يمكنك وضع مقعدك ، من فضلك؟,sent,,
Could you recommend some good restaurants around here?,你能推荐几家附近的好餐馆吗?,هل يمكنك أن توصي ببعض المطاعم الجيدة هنا؟,sent,,
Could you repeat that?,你可以重复一遍吗？,هل يمكنك أن تكرر هذا؟,sent,,
Could you repeat your order again?,能再说下您点的餐吗?,هل يمكنك تكرار طلبك مرة أخرى؟,sent,,
Could you see if it's ready?,能看看是否做好了吗?,هل يمكنك معرفة إذا كان جاهزًا؟,sent,,
Could you tell me the current price?,你能告诉我现在房价是多少吗?,هل يمكن أن تخبرني بالسعر الحالي؟,sent,,
Could you tell me where to deal with the formalities?,您能告诉我去哪里办理手续吗?,هل يمكن أن تخبرني أين التعامل مع الإجراءات؟,sent,,
"Could you tell me your name, Sir?",能告诉我你的名字吗，先生?,هل يمكن أن تخبرني باسمك يا سيدي؟,sent,,
"Could you wait a little longer, please?",请您等稍长点时间可以吗?,هل تستطيع الانتظار لفترة أطول ، من فضلك؟,sent,,
Could you wait at the bar until I find an approprite table for you?,您能在吧台等一下，我为您找张合适的桌子?,هل يمكنك الانتظار عند المنضدة حتى أجد جدولًا مناسبًا لك؟,sent,,
"Could you wait in line until a table is free, please?",请您排队等候空位好吗?,هل يمكنك الانتظار في الطابور حتى تتوفر طاولة ، من فضلك؟,sent,,
Could you weight this?,你能称一下这个吗?,هل يمكنك وزن هذا؟,sent,,
Could you wrap this?,你能把这个打包吗?,هل يمكن أن تلف هذا؟,sent,,
country of citizenship,国籍,البلد التي تنتمي لها,np,,
country of origin,原住地,بلد المنشأ,np,,
county,县,إقليم,np,,
couple,夫妻,زوجان,np,,
courses taken,所学课程,الدورات التي اتخذت,np,,
cousin,堂兄妹,قريب,np,,
Coventry,考文垂,كوفنتري,np,,
cover,菜盖,التغطية,np,,
Cream and sugar.,要加糖和奶油。,القشدة و السكر.,sent,,
creamer,奶勺,المقشدة,np,,
credit card,信用卡,بطاقة ائتمان,np,,
Croatia,克罗地亚,كرواتيا,np,,
Cuba,古巴,كوبا,np,,
currency declaration,货币申报,إعلان العملة,np,,
current address,目前住址,العنوان الحالي,np,,
curriculum,课程,منهاج دراسي,np,,
curry,咖喱,كاري,np,,
customers lounges,旅客休息室,صالات العملاء,np,,
customs,海关,الجمارك,np,,
customs declaration counter,海关申报台,مكتب البيان الجمركي,np,,
Customs Declaration Counter.,海关申报台。,مكتب البيان الجمركي,sent,,
customs declaration form,海关申请表,نموذج البيان الجمركي,np,,
Customs Declaration form.,海关申请表。,نموذج البيان الجمركي,sent,,
customs service area,海关申报处,منطقة خدمة الجمارك,np,,
Cyprus,塞浦路斯,قبرص,np,,
Czech Republic,捷克共和国,جمهورية التشيك,np,,
dad,爸爸,أب,np,,
dame coffee,贵妇人咖啡,سيدة القهوة,np,,
danger,危险,خطر,np,,
Dar es Salaam,达累斯萨拉姆,دار السلام,np,,
date,起飞日期,تاريخ,np,,
date issue,签发日期,تاريخ الإصدار,np,,
date of birth,出生日期,تاريخ الولادة,np,,
daughter,女儿,ابنة,np,,
