,en,cn,ar,pos
69,Alexandria,亚历山大,الإسكندرية,np
70,Algeria,阿尔及利亚,الجزائر,np
71,alias,别名,الاسم المستعار,np
72,All bags-packages and persons are subject to search.,所有行李包裹以及个人一律接受安检。,جميع حزم الحقائب والأشخاص تخضع للبحث.,sent
73,All our rooms are full occupied.,我们所有的房间都满了。,جميع غرفنا مشغولة بالكامل.,sent
74,"All portable electronic devices, keys, coins and other metal objects should be placed on X-ray belt in separate container.",便携电器、钥匙、硬币、和其他金属物品置放单独盒内后，放X光安检传送带上。,"يجب وضع جميع الأجهزة الإلكترونية والمفاتيح والنقود المعدنية وغيرها من الأجسام المعدنية على حزام الأشعة السينية في حاوية منفصلة.
",sent
75,All right.,好的。,حسنا.,sent
76,All right. Will there be anything else?,好的，还需要别的吗?,حسنًا. هل سيكون هناك شيء أخر؟,sent
77,All the connecting passengers are requested to proceed to Gate *,所有转机旅客请到*号登机门。,"يُطلب من جميع ركاب الرحلات المتصلة الانتقال إلى بوابة *
",vp
78,All the leaving passengers must go through this gate.,所有旅客都必须从这个检查口通过。,يجب على جميع الركاب المغادرين المرور عبر هذه البوابة.,sent
79,altitude,高度,ارتفاع,np
80,aluminum foil,铝箔,ورق ألومنيوم,np
81,Always Use Deadbolt.,始终使用死栓。,استخدم دائمًا الترباس,sent
82,Am I under arrest?,我被捕了吗？,هل أنا معتقل؟,sent
83,ambitious,有雄心壮志的,طموح,np
84,amiable,和蔼可亲的,ودي,np
85,amicable,友好的,ظريف,np
86,Amsterdam,阿姆斯特丹,أمستردام,np
87,"An aisle seat, please.",请给我一个靠走道的座位。,مقعد الممر ، من فضلك.,sent
88,analytical,善于分析的,تحليلية,np
89,ancestor,祖先,سلف,np
90,"And now you want to change the booking, do you?",你想变更一下入住时间吗?,والآن تريد تغيير الحجز ، أليس كذلك؟,sent
91,And would you mind opening your laptop?,您介意打开您的手提电脑吗?,هل تمانع في فتح جهاز الكمبيوتر المحمول الخاص بك؟,sent
92,"And your telephone number, please?",请问你的电话号码是多少?,ورقم هاتفك ، من فضلك؟,sent
93,Andorra,安道尔,أندورا,np
94,Angola,安哥拉,أنغولا,np
95,Ankara,安卡拉,أنقرة,np
96,Antigua,安提瓜,أنتيغوا,np
97,Any brothers or sisters?,有兄弟姐妹吗?,هل لديك اخوة او اخوات؟,sent
98,Anything else in your pocket?,口袋里还有其它物品吗？,هل لديك أي شيء آخر في جيبك؟,sent
99,apple,苹果,تفاحة,np
100,apprehensive,有理解力的,قلق,np
101,April,四月,أبريل,np
102,Are there any discount tickets for me?,我买票有折扣吗?,هل هناك أي تذاكر مخفضة لي؟,sent
103,Are there any restaurants still open near here?,这附近还有在营业的饭店吗?,هل هناك أي مطاعم لا تزال مفتوحة بالقرب من هنا؟,sent
104,Are they non-stop flights?,它们是直飞班机吗?,هل هي رحلات بدون توقف؟,sent
105,Are you looking for something particular?,您在找什么呢?,هل تبحث عن شيء معين؟,sent
106,area of customs control,海关监管区,منطقة الرقابة الجمركية,np
107,Argentina,阿根廷,الأرجنتين,np
108,Armenia,亚美尼亚,أرمينيا,np
109,armrest,座椅扶手,مسند الذراع,np
110,Around the corner.,转角,قريب من هنا,sent
111,arrivals,进港,الوصول,np
112,assistance,问讯处,مساعدة,np
113,"At gate * go through the security check and turn left, take the moving staircase at the end of the hall, then you will find it.",*号登机口，在通过安检后左转，走到大厅的尽头乘电梯能到。,"عند البوابة * اذهب من خلال الفحص الأمني واستدر لليسار وخذ الدرج المتحرك في نهاية القاعة ، ثم ستجده.
",vp
114,At what aisle is the frozen food?,冷冻食品在哪条通道?,في أي ممر سأجد الطعام المجمد؟,sent
115,Athens,雅典,أثينا,np
116,Attendant Call.,呼叫服务员,دعوة الحاضرين,sent
117,"Attention, please. Due to weather condition, all flights to * will be delayed.",各位旅客请注意，由于气候不佳，所有飞往*的班机都将延后起飞。,يرجى الانتباه. نظرًا لحالة الطقس ، ستتأخر جميع الرحلات إلى,vp
118,Auckland,奥克兰,أوكلاند,np
119,August,八月,أغسطس,np
120,aunt,姑母,عمة\ خالة,np
121,Australia,澳大利亚,أستراليا,np
122,Austria,奥地利,النمسا,np
123,automatic ticket machine,自动售票机,آلة التذاكر الآلية,np
124,autonomous region,自治区,منطقة الحكم الذاتي,np
125,avenue,大道,سبيل,np
126,Azerbaijan,阿塞拜疆,أذربيجان,np
127,bachelor,学士,أعزب/ حامل بكالوريا,np
128,back,背,ظهر,np
129,baggage,行李,الأمتعة,np
130,Baggage Claim,行李提取,استلام الأمتعة,sent
131,baggage claim area,行李领取处,منطقة استلام الأمتعة,np
132,Baggage Rack,行李架,رف الأمتعة,sent
133,baggage tag,行李牌,علامة الأمتعة,np
134,Bahamas,巴哈马,الباهاما,np
135,Bahrain,巴林,البحرين,np
136,bakery,面包店,مخبز,np
137,Bali,巴厘岛,بالي,np
138,banana,香蕉,موز,np
139,Bangalore,班加罗尔,بنغالور,np
140,Bangkok,曼谷,بانكوك,np
141,Bangladesh,孟加拉国,بنغلاديش,np
142,bank,银行,بنك,np
143,bar,酒巴,بار,np
144,Barbados,巴巴多斯,بربادوس,np
145,Barcelona,巴塞罗那,برشلونة,np
146,bars,酒吧,مشرب,np
147,basket,篮子,سلة,np
148,bathroom,卫生间,حمام,np
149,batteries,电池,بطارية,np
150,Be Careful When Using The Bath.,使用此浴室时小心。,كن حذرًا عند استخدام الحمام.,sent
151,Be Careful.,小心路滑。,كن حذرًا ,sent
152,"Be seated, please.",请坐。,اجلس ، من فضلك.,sent
153,beans,豆,فول,np
154,bedsheets,床单,ملاءات السرير,np
155,beef,牛肉,لحم بقري,np
156,beer,啤酒,بيرة,np
157,beer glass,啤酒杯,كأس البيرة,np
158,before,以前,قبل,adv
159,Beijing,北京,بكين,np
160,Beirut,贝鲁特,بيروت,np
161,Belarus,白俄罗斯,روسيا البيضاء,np
162,Belfast,贝尔法斯特,بلفاست,np
163,Belgium,比利时,بلجيكا,np
164,Belgrade,贝尔格莱德,بلغراد,np
165,Belize,伯利兹,بليز,np
166,belt,带,حزام,np
167,Benin,贝宁,بنين,np
168,Berlin,柏林,البرلينية,np
169,beware of pickpocket,谨防扒手,احذر النشل,np
170,Bhopal,博帕尔,بوبال,np
171,Bhutan,不丹,بوتان,np
172,bigger,更大,أكبر,adj
173,bike parking,自行车存车处,موقف الدراجات,np
174,billion,十亿,مليار‎,num
175,Birmingham,伯明翰,برمنغهام,np
176,birthdate,出生日期,تاريخ الميلاد,np
177,birthday,生日,عيد الميلاد,np
178,birthplace,出生地点,مسقط الرأس,np
179,black,黑色,أسود,adj
180,"Black coffee, please.",请来杯黑咖啡。,قهوة سوداء من فضلك.,sent
181,black pepper,黑胡椒,فلفل أسود,np
182,black tea,红茶,شاي أسود,np
183,blackberry latte,黑莓咖啡拿铁,لاتيه بتوت العليق الأسود,np
184,blanket,毛毯,بطانية,np
185,bloodtype,血型,فصيلة الدم,np
186,blue,蓝色,أزرق,adj
187,boarder,寄宿生,ساكن,np
188,boarding,登机,الصعود,np
189,boarding gate,登机口,بوابة الصعود إلى الطائرة,np
190,boarding pass,登机牌,بطاقة الصعود,np
191,"Boarding passes and IDs, please!",请出示登记证和身份证!,بطاقات الصعود إلى الطائرة والهويات، من فضلكم!,sent
192,Boarding time is *.,登机时间是*。,وقت الصعود هو *.,vp
193,body,身体,الجسم,np
194,boeing,波音,بوينج,np
195,Bogota,波哥大,بوغوتا,np
196,boiled water,开水,ماء مغلي,np
197,Bolivia,玻利维亚,بوليفيا,np
198,Bordeaux,波尔多,بوردو,np
199,born,生于,مولود,np
200,Bosnia Herzegovina,波黑,البوسنة الهرسك,np
201,Both flights have seats available.,两次航班都有座。,كلا الرحلتين بهما مقاعد متاحة.,sent
202,Botswana,博茨瓦纳,بوتسوانا,np
203,bottled water,矿泉水,مياه معبأة,np
204,Bottoms up!,干杯!,في صحتك!,sent
205,Brasilia,巴西利亚,برازيليا,np
206,Bratislava,布拉迪斯拉发,براتيسلافا,np
207,Brazil,巴西,البرازيل,np
208,bread,面包,خبز,np
209,bread plate,面包碟,صحن الخبز,np
210,breakfast,早饭,وجبة افطار,np
211,Brighton,布莱顿,برايتون,np
212,Brisbane,布里斯班,بريسبان,np
213,Bristol,布里斯托尔,بريستول,np
214,brother,兄弟,أخ,np
215,brother-in-law,大伯,نسيب,np
216,brown,褐色,بني,adj
217,brown sugar,红糖,سكر بني,np
218,Brunei,文莱,بروناي,np
219,Brussels,布鲁塞尔,بروكسل,np
220,Bucharest,布加勒斯特,بوخارست,np
221,Budapest,布达佩斯,بودابست,np
222,Buenos Aires,布宜诺斯艾利斯,بوينس آيرس،,np
223,Bulgaria,保加利亚,بلغاريا,np
224,bumpy flight,不平稳的飞行,رحلة وعرة,np
225,Burkina,布基纳法索,فاسو,np
226,Burundi,布隆迪,بوروندي,np
227,bus,公共汽车,حافلة,np
228,bus station,公家车站,محطة حافلات,np
229,Busan,釜山,بوسان,np
230,business class,商务客舱,درجة رجال الأعمال,np
231,business hours,营业时间,ساعات العمل,np
232,business phone,办公电话,هاتف العمل,np
233,butter,黄油,زبدة,np
234,butter knife,牛油刀,سكين الزبدة,np
235,butter plate,牛油碟,لوحة زبدة,np
236,buttocks,屁股,مؤخرة,np
237,Bye,拜拜。,باي باي,sent
238,cafe,咖啡室,مقهى,np
239,cafe americano,美式咖啡,قهوة امريكانو,np
240,cafe latte,拿铁咖啡,قهوة لاتيه,np
241,Cairo,开罗,القاهرة,np
242,cake knife,柄铲,سكين الكعكة,np
243,Calgary,卡尔加里,كالجاري,np
244,Cali,卡利,كالي,np
245,Cambodia,柬埔寨,كمبوديا,np
246,Cameroon,喀麦隆,الكاميرون,np
247,Can anyone tell me where I can buy the ingredients to make * food?,谁能告诉我哪里可以买到做*菜的原材料?,"هل يمكن لأحد أن يقول لي أين يمكنني شراء المكونات لصنع * الطعام؟
",vp
248,Can I cancel my reservation?,我能取消我的预定吗?,هل يمكنني إلغاء الحجز الخاص بي؟,sent
249,Can I change seats with you?,我可以跟你换位子吗?,هل يمكنني تغيير المقاعد معك؟,sent
250,Can I get a bag?,我可以要一个袋子吗？,هل استطيع الحصول على حقيبة؟,sent
251,Can I get insurance?,我可以买保险吗？,هل أستطيع الحصول على تأمين؟,sent
252,Can I get on the earlier flight instead?,我可以换成早一点的航班吗?,هل يمكنني الركوب في الرحلة السابقة بدلاً من ذلك؟,sent
253,"Can I have a one-way ticket to *, please?",请给我一张去*的单程票好吗?,هل يمكنني الحصول على تذكرة ذهاب فقط إلى * ، من فضلك؟,vp
254,Can I have another blank?,我能再要条毯子吗?,هل أستطيع الحصول على بطانية أخرى؟,sent
255,Can I just pay a fine now?,我可以缴交罚款吗？,هل استطيع دفع غرامة أدفع غرامة الآن؟,sent
256,"Can I look at the menu, please?",请给我看看菜单.,قائمة الطعام، من فضلك؟,sent
257,Can I make a telephone call?,我可以打个电话吗？,هل يمكنني الحصول على مكالمة هاتفية؟,sent
258,Can I make an appointment?,我可以预约吗？,هل يمكنني حجز موعد؟,sent
259,Can I make international calls here?,可以打国际电话吗?,هل استطيع القيام بمكالمة دولية من هنا؟,sent
260,Can I move to an empty seat over there?,我可以移到那边的空座位吗?,هل يمكنني الانتقال إلى مقعد فارغ هناك؟,sent
261,Can I print here?,我可以复印吗？,هل يمكنني الطبع من هنا؟,sent
262,"Can I see your ticket, please?",我可以看看你的票吗?,هل يمكنني رؤية تذكرتك من فضلك؟,sent
263,Can I take one of those empty saets over there?,我可以坐在那边其中的一个空座吗?,هل يمكنني أخذ واحد من تلك المقاعد الفارغة هناك؟,sent
264,Can I use your cell phone?,我可以用您的手机吗？,أيمكنني إستخدام هاتفك؟,sent
265,Can I use your phone?,我可以用您的电话吗？,أيمكنني استخدام هاتفك النقال؟,sent
266,Can we have a quiet area?,我可以要一个安静的地方吗?,هل يمكننا الحصول على منطقة هادئة؟,sent
267,Can you change money for me?,你可以帮我换钱吗？,هل يمكنك تحويل مال لي؟,sent
268,"Can you change the reservation, please?",我能更改一下订票的班机吗?,هل تستطيع تغيير الحجز من فضلك؟,sent
269,Can you come here when you have a second?,你有空时能到这里来一下吗?,هل يمكنك أن تأتي إلى هنا عندما يكون لديك الوقت؟,sent
270,Can you get a doctor?,你可以帮我找一位医生吗？,هل يمكنك أن تحضر طبيب؟,sent
271,Can you give me your contact information?,你能给我你的联系方式吗?,هل يمكن أن تعطوني معلومات الاتصال الخاصة بك؟,sent
272,Can you help me find my seat?,你能帮我找到我的座位吗?,هل يمكنك مساعدتي في العثور على مقعدي؟,sent
273,Can you help me get my baggage? It's too heavy.,你能帮我拿行李吗? 实在太重了。,هل يمكنك مساعدتي في الحصول على أمتعتي؟ إنها ثقيلة جدًا.,sent
274,Can you show me on the map?,你可以在地图上指给我看?,هل يمكنك أن تريني أين هو على الخريطة؟,sent
275,Can you show me the way to my seat?,你能指给我的座位吗?,هل يمكنك أن تريني الطريق إلى مقعدي؟,sent
276,Can you speak *?,你可以说*吗？,عل يمكنك تحدث ال*؟,vp
277,Can you suggest another hotel?,你有其他推荐的酒店吗？,هل يمكنك اقتراح فندق آخر؟,sent
278,Can you tell me how to fasten the seat belt?,您能告诉我怎么系安全带吗?,هل يمكن أن تخبرني عن كيفية ربط حزام الأمان؟,sent
279,Can you tell me how to unfasten the seat belt?,您能告诉我安全带怎么解开吗?,هل يمكن أن تخبرني كيف أقوم بفك حزام الأمان؟,sent
280,Can you tell me where * is?,你可以告诉我*在那里吗？,اين *؟,vp
281,Can you tell me where seat * is?,你能告诉我*座位在哪儿吗?,هل يمكن أن تخبرني أين يوجد المقعد *؟,vp
282,Can you tell me your flight number?,能告诉我你乘坐的航班号吗?,هل يمكنك إخباري برقم رحلتك؟,sent
283,Can you wake me at *?,请在明天*点钟叫醒我。,هل تستطيع إيقاظي الساعة *؟,vp
284,Can you write the name and address down?,你可以写下名字和地址吗？,هل يمكنك أن تكتب لي الإسم و العنوان؟,sent
285,Canada,加拿大,كندا,np
286,Canberra,堪培拉,كانبيرا,np
287,candid,正直的,صريح,np
288,Cape Town,开普敦,كيب تاون,np
289,Cape Verde,佛得角,الرأس الأخضر,np
290,cappuccino,意大利泡沫咖啡,كابتشينو,np
291,captain,机长,قائد الطائرة,np
292,Captain and all the members of his crew thank you for flying with us.,机长和所有组员感谢各位旅客搭乘本班机。,"قائد الطائرة وجميع أعضاء طاقمه يشكركم على الطيران معنا.
",sent
293,captain orde,点菜本,أمر قائد الطائرة ,np
294,car,汽车,سيارة,np
295,car hire,租车处,تأجير السيارات,np
296,carbonated water,碳酸水,مياه غازية,np
297,Cardiff,加的夫,كارديف,np
298,carrier,承运公司,الناقل,np
299,carry-on baggage,随身行李,حقائب محمولة,np
300,Casablanca,卡萨布兰卡,الدار البيضاء,np
301,cash,现金,أوراق مالية,np
302,Caution：Slippery!,注意：滑!,تحذير: زلق!,sent
303,cellphone,手机,الهاتف المحمول,np
304,Central African Republic,中非共和国,ممثل وسط افريقيا,np
305,Chad,乍得,تشاد,np
306,cheap,便宜,رخيص,adj
307,cheaper,比较便宜,أرخص,adj
308,check,支票,شيك,np
309,check in area,办理登机区,منطقة تسجيل الوصول,np
310,Check in zone.,办理登机区。,منطقة تسجيل الوصول,sent
311,Check In.,办理入住。,تسجيل الوصول,sent
312,Check Out.,办理离店手续。,تسجيل الرحيل,sent
313,check-in,登机手续办理,تسجيل الوصول,np
314,Check-in all destinations.,办理飞往世界各地登机手续。,تسجيل الوصول في جميع الأماكن,sent
315,checked baggage,托运的行李,الأمتعة المفحوصة,np
316,"Checking is done, thank you for your corporation.",检查完毕，谢谢合作。,تم الفحص، نشكركم على تعاونكم معنا,sent
317,Cheers!,干杯!,في صحتك!,sent
318,cheese,奶酪,جبن,np
319,cheese powder,芝士粉,مسحوق الجبن,np
320,Chengdu,成都,تشنغدو,np
321,Chennai,奈,تشيناي,np
322,cherry latte,樱桃咖啡拿铁,لاتيه بالكرز,np
323,cherry mocha,樱桃摩卡咖啡,موكا بالكرز,np
324,chest,胸部,صدر,np
325,chewing gum,口香糖,علكة,np
326,chicken,鸡,دجاج,np
327,child,孩子,طفل,np
328,children and women first,妇女、儿童优先,الأطفال والنساء أولًا,np
329,Chile,智利,تشيلي,np
330,chili sauce,辣椒酱,صلصة الفلفل الحار,np
331,China,中国,الصين,np
332,chocolate coffee,巧克力咖啡,قهوة الشوكولاتة,np
333,Chongqing,渝,تشونغتشينغ,np
334,Christchurch,克赖斯特彻奇,كرايستشيرش,np
335,cigarette,香烟,سيجارة,np
336,circling,盘旋,طواف,np
337,citizenship,国籍,المواطنة,np
338,city,市,المدينة,np
339,city and state,城市及国家,المدينة والولاية,np
340,city where visa was issued,签证签发地,المدينة التي تم إصدار التأشيرة فيها,np
341,city where you boarded,登机城市,المدينة التي ركبت منها الطائرة,np
342,cleaner,清洁工,أنظف,np
343,clerk,办事员,موظف كتابي,np
344,closed,关闭,مغلق,adj
345,Closing.,登机口关闭。,إغلاق.,sent
346,club soda,苏打水,صودا,np
347,coachpick-up point,大轿车乘车点,نقطة التقاط مدرب,np
348,coaste,杯垫,,np
349,coconut mocha,椰子摩卡咖啡,موكا بجوز الهند,np
350,coffee,咖啡,قهوة,np
351,coffee cup,咖啡杯,فنجان قهوة,np
352,coffee pot,咖啡壶,وعاء القهوة,np
353,coffee warmer,咖啡炉,مسخن القهوة,np
354,coin,硬币,عملة,np
355,cointreau coffee,君度咖啡,قهوة كوانترو,np
356,Coke,可乐,الكولا,np
357,cold medicine,感冒药,دواء للزكام,np
358,Cologne,科隆,كولونيا,np
359,Colombia,哥伦比亚,كولومبيا,np
360,colombian coffee,哥伦比亚咖啡,قهوة كولومبية,np
361,Come this way please.,来这边请。,تعال من هذا الطريق من فضلك.,sent
362,"Come to pay the fare and fetch your ticket * days before departure, please.",请于起飞前*天来付款取票。,تعال لدفع الأجرة واحضر تذكرتك * أيام قبل المغادرة ، من فضلك.,vp
363,commerce,商业人员,تجارة,np
364,commit no nuisance,禁止小便,لا تلحق أي إزعاج,np
365,commoner,自费生,من عامة الشعب,np
366,Comoros,科摩罗,جزر القمر,np
367,complaint box,意见箱,مربع الشكوى,np
368,concord,协和,اتفاق,np
369,condiments,调料,التوابل,np
370,Conference Facilities.,会议设施。,مرافق المؤتمرات.,sent
371,confiscated,没收,مصادرة,np
372,Congo,刚果,الكونغو,np
373,control tower,机场控制台,برج التحكم,np
374,conveyor,输送带,الناقل,np
375,cooperative,有合作精神的,متعاون,np
376,Copenhagen,哥本哈根,كوبنهاغن,np
377,Costa Rica,哥斯达黎加,كوستا ريكا,np
378,cough,咳嗽,سعال,np
379,Could I ask when you will arrive?,请问您什么时候到达?,هل يمكنني أن أسأل متى ستصل؟,sent
380,Could I talk to someone in charge?,我能跟主管谈谈吗?,هل يمكنني التحدث مع شخص مسؤول؟,sent
381,Could we have another one?,我们能换个其他的吗?,هل يمكننا الحصول على واحد آخر؟,sent
382,Could you describe your baggage?,你能描述一下你的行李吗?,هل يمكن أن تصف أمتعتك؟,sent
383,Could you get a few small plates for us?,能给我们拿些小盘吗?,هل يمكنك الحصول على عدد قليل من الأطباق الصغيرة لنا؟,sent
384,"Could you get me on that flight, please?",能设法让我搭上那班飞机吗?,هل يمكنك أن تعطيني هذه الرحلة من فضلك؟,sent
385,Could you give me a window seat?,可以给我靠窗的座位吗?,هل يمكنك أن تعطيني مقعد نافذة؟,sent
386,Could you give me more paper napkins?,你能多给一些餐巾纸吗?,هل يمكنك أن تعطيني المزيد من المناديل الورقية؟,sent
387,Could you give me one more blanket?,能再给我一条毯子吗?,هل يمكنك أن تعطيني بطانية أكثر؟,sent
388,Could you give me some airsickness medicine?,能给我些晕机药吗?,هل يمكن أن تعطيني بعض أدوية أمراض الهواء؟,sent
389,"Could you hold the line, please? I'll check our room availability for that day.",请别挂断? 我要查一下那天的空房间。,هل تستطيع أن تبقى معي على الخط؟ سوف أتحقق من توافر غرفتك لهذا اليوم.,sent
390,Could you please *?,可以请你*吗？,لو سمحتو هل يمكنك أن *؟,vp
391,Could you please help me put my baggage up there?,可以帮我把行李放上去吗?,هل يمكنك مساعدتي في وضع أمتعتي هناك؟,sent
392,"Could you put your seat up, please?",请竖直椅背好吗?,هل يمكنك وضع مقعدك ، من فضلك؟,sent
393,Could you recommend some good restaurants around here?,你能推荐几家附近的好餐馆吗?,هل يمكنك أن توصي ببعض المطاعم الجيدة هنا؟,sent
394,Could you repeat that?,你可以重复一遍吗？,هل يمكنك أن تكرر هذا؟,sent
395,Could you repeat your order again?,能再说下您点的餐吗?,هل يمكنك تكرار طلبك مرة أخرى؟,sent
396,Could you see if it's ready?,能看看是否做好了吗?,هل يمكنك معرفة إذا كان جاهزًا؟,sent
397,Could you tell me the current price?,你能告诉我现在房价是多少吗?,هل يمكن أن تخبرني بالسعر الحالي؟,sent
398,Could you tell me where to deal with the formalities?,您能告诉我去哪里办理手续吗?,هل يمكن أن تخبرني أين التعامل مع الإجراءات؟,sent
399,"Could you tell me your name, Sir?",能告诉我你的名字吗，先生?,هل يمكن أن تخبرني باسمك يا سيدي؟,sent
400,"Could you wait a little longer, please?",请您等稍长点时间可以吗?,هل تستطيع الانتظار لفترة أطول ، من فضلك؟,sent
401,Could you wait at the bar until I find an approprite table for you?,您能在吧台等一下，我为您找张合适的桌子?,هل يمكنك الانتظار عند المنضدة حتى أجد جدولًا مناسبًا لك؟,sent
402,"Could you wait in line until a table is free, please?",请您排队等候空位好吗?,هل يمكنك الانتظار في الطابور حتى تتوفر طاولة ، من فضلك؟,sent
403,Could you weight this?,你能称一下这个吗?,هل يمكنك وزن هذا؟,sent
404,Could you wrap this?,你能把这个打包吗?,هل يمكن أن تلف هذا؟,sent
405,country of citizenship,国籍,البلد التي تنتمي لها,np
406,country of origin,原住地,بلد المنشأ,np
407,county,县,إقليم,np
408,couple,夫妻,زوج,np
409,courses taken,所学课程,الدورات التي اتخذت,np
410,cousin,堂兄妹,قريب,np
411,Coventry,考文垂,كوفنتري,np
412,cover,菜盖,التغطية,np
413,Cream and sugar.,要加糖和奶油。,القشدة و السكر.,sent
414,creamer,奶勺,المقشدة,np
415,credit card,信用卡,بطاقة ائتمان,np
416,Croatia,克罗地亚,كرواتيا,np
417,Cuba,古巴,كوبا,np
418,currency declaration,货币申报,إعلان العملة,np
419,current address,目前住址,العنوان الحالي,np
420,curriculum,课程,منهاج دراسي,np
421,curry,咖喱,كاري,np
422,customers lounges,旅客休息室,صالات العملاء,np
423,customs,海关,الجمارك,np
424,customs declaration counter,海关申报台,مكتب البيان الجمركي,np
425,customs declaration form,海关申请表,نموذج البيان الجمركي,np
426,customs service area,海关申报处,منطقة خدمة الجمارك,np
427,Cyprus,塞浦路斯,قبرص,np
428,Czech Republic,捷克共和国,جمهورية التشيك,np
429,dad,爸爸,أب,np
430,danger,危险,خطر,np
431,Dar es Salaam,达累斯萨拉姆,دار السلام,np
432,date,起飞日期,تاريخ,np
433,date issue,签发日期,تاريخ الإصدار,np
434,date of birth,出生日期,تاريخ الولادة,np
435,daughter,女儿,ابنة,np
436,daughter-in-law,儿媳,زوجة الإبن,np
437,day,日,يوم,np
438,day-student,走读生,تلميذ خارجي,np
439,decaffeinated coffee,低因咖啡,قهوة منزوعة الكافيين,np
440,December,十二月,ديسمبر,np
441,degree,学位,الدرجة العلمية,np
442,delayed,延误,مؤجل,np
443,Delhi,新德里,دلهي,np
444,demi-spoon,小咖啡勺,ملعقة صغيرة,np
445,Democratic Republic of Congo,刚果民主共和国,جمهورية الكونغو الديمقراطية,np
446,Denmark,丹麦,الدنمارك,np
447,Departure Gate.,登机口。,بوابة المغادرة.,sent
448,departure lounge,候机厅,صالة المغادرة,np
449,departure time,起飞时间,وقت المغادرة,np
450,Departure Time On Reverse.,返航时间。,وقت المغادرة عكسي.,sent
451,"Departure, Terminal *",*号候机楼,المغادرة ، المحطة *,vp
452,departures,出港,لمغادرين,np
453,deposit,押金,وديعة,np
454,Depress Handle Until Bowl Is Empty.,压下把手直至便盆冲净为止。,اضغط على المقبض حتى يتم إفراغ الوعاء.,sent
455,descent,世系,نزول,np
